Nazwa,Cena,Miasto,Dzielnica,Pokoje,Pow. całkowita,Piętro,Liczba pięter,Liczba poziomów mieszkania,Liczba sypialni,Rynek,Rodzaj umowy,Typ budynku,Materiał budowlany,Rok budowy,Ogrzewanie,Data dodania,Aktualizacja,Numer ogłoszenia,Liczba odsłon,Liczba Punktów Podbić,Typ kuchni,Liczba łazienek,Balkon,Taras,Forma własności,Stan budynku,Stan nieruchomości,Stolarka okienna,Dostępne od,Wysokość wnętrza,łazienka razem z WC,Depozyt za wynajem,Pow. balkonu,Pow. ogródka,Cena do negocjacji,Pow. łazienki,Pow. użytkowa,Pow. tarasu,Dodatkowe koszty,Pow. loggii,Typ domu,Urządzony ogród,Typ nieruchomości,Typ oferty
Gustowny Apartament z wejściem od Monte Cassino,14000.0,Sopot,Dolny Sopot, 4,175.0,2,3,1.0,2.0,Wtórny,Na wyłączność,Kamienica,Cegła,1901.0,Gazowe,05.06.2023,09.10.2023,morizon-102548,853,26,,,,,,,,,,,,,,,,,,,,,,,,Najmu
Nowe mieszkanie niskie opłatyk/SKM Sopot Wyścigi,4450.0,Sopot,Wyścigi, 3,50.0,3,3,,,Wtórny,Na wyłączność,,,,Elektryczne,01.03.2024,01.03.2024,morizon-RR02080,470,25,Półotwarta,1.0,Nie,Nie,Własność,Wysoki standard,,,,,,,,,,,,,,,,,,Najmu
Mieszkanie na wynajem Sopot,3700.0,Sopot,Górny Sopot, 3,40.0,1,3,,,Wtórny,,Kamienica,,1920.0,Własne gazowe – junkers,05.04.2024,05.04.2024,morizon-827956,191,19,,,,,,,Po remoncie,Nowe PCV,,,,,,,,,,,,,,,,Najmu
2-pokojoweumeblowanehala garażowa,2800.0,Sopot,Świemirowo, 2,47.0,1,2,,,Wtórny,Na wyłączność,Blok,,2006.0,Co Miejskie,09.01.2024,12.04.2024,morizon-469111,431,5,,,Tak,,,,,,,,,,,,,,,,,,,,,Najmu
Mieszkanie w Sopocie Dolnym - 2 min od morza,4500.0,Sopot,Dolny Sopot, 1,26.6,3,3,,,Wtórny,Na wyłączność,Kamienica,Cegła,1900.0,Elektryczne,19.02.2024,15.04.2024,morizon-PAN479788,252,1,,,Nie,Nie,,,,,,,,,,,,,,,,,,,,Najmu
Mieszkanie na wynajem na cały rok Sopot Centrum,5000.0,Sopot,Górny Sopot, 4,71.6,1,1,,3.0,Wtórny,,Kamienica,Cegła,1940.0,Gazowe,05.04.2024,05.04.2024,morizon-WH751333,150,0,,,,,,,,,31.03.2024,,,,,,,,,,,,,,,Najmu
Wynajem długoterminowy2 pokojeSopot23 Marca,2800.0,Sopot,Górny Sopot, 2,36.0,3,4,,1.0,Wtórny,,Blok,,,Co Miejskie,18.04.2024,18.04.2024,morizon-DH209065,50,0,,,Nie,,,,,,01.05.2024,,,,,,,,,,,,,,,Najmu
Sopotkameralna inwestycjablisko SKMplaża ,3000.0,Sopot,Kamienny Potok, 2,56.0,3,3,,1.0,Wtórny,,Apartamentowiec,,2014.0,Co Własne,18.04.2024,18.04.2024,morizon-DH855262,43,0,,,Tak,,,,,,15.05.2024,,,,,,,,,,,,,,,Najmu
Apartament z widokiem na morze,12000.0,Sopot,Górny Sopot, 3,87.0,3,3,,2.0,Wtórny,Na wyłączność,Apartamentowiec,YTong,2016.0,Co Miejskie,12.04.2024,12.04.2024,morizon-WH284165,117,0,,,Tak,,,,,,12.04.2024,,,,,,,,,,,,,,,Najmu
Ciche mieszkanie w Sopocie w pięknej okolicy,3800.0,Sopot,Górny Sopot, 2,52.0,1,3,,,Wtórny,Na wyłączność,,,,,10.04.2024,19.04.2024,morizon-48876/2089/OMW,125,0,ANEKS KUCHENNY,1.0,Tak,,WŁASNOŚĆ,,WYSOKI STANDARD,,02.04.2024,285 cm,,,,,,,,,,,,,,Najmu
Duże mieszkanie w Sopocieblisko lasu,3500.0,Sopot,Brodwino, 4,69.0,7,10,1.0,3.0,Wtórny,Na wyłączność,Wieżowiec,Konstrukcja mieszana,1973.0,Co Miejskie,27.03.2024,27.03.2024,morizon-PN262456,190,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Najmu
Mieszkanie 2-pokojowe Sopot Aquarius,3400.0,Sopot,Górny Sopot, 2,38.0,2,4,,1.0,Wtórny,Na wyłączność,Apartamentowiec,Inny,2014.0,Miejskie,10.04.2024,10.04.2024,morizon-67,158,0,Aneks,1.0,Tak,,Inny,,Bardzo dobry,PCV,10.04.2024,,Tak,1000.0,,,,,,,,,,,,Najmu
2 pok mieszkanie w Sopocie z miejscem postojowym,3500.0,Sopot,Dolny Sopot, 2,40.0,2,3,1.0,1.0,Wtórny,Na wyłączność,Kamienica,Pustak,2005.0,Co Miejskie,17.03.2024,21.04.2024,morizon-DJ519166,298,0,,,Tak,,,,,,13.04.2024,,,,,,,,,,,,,,,Najmu
Mieszkanie z dwoma balkonaminajem długoterminowy,5000.0,Sopot,Karlikowo, 3,62.0,2,3,1.0,2.0,Wtórny,Na wyłączność,,,,,09.04.2024,12.04.2024,morizon-EC160571,136,0,,,Tak,,,,,,01.06.2024,,,,,,,,,,,,,,,Najmu
Piękny apartament w przedwojennym domu w Sopocie,5700.0,Sopot,Górny Sopot, 4,110.0,3,3,,,Wtórny,,Dom wielorodzinny,,,Co Miejskie,04.03.2024,17.04.2024,morizon-DH604251,283,0,,,,,,,,,24.10.2023,,,,,,,,,,,,,,,Najmu
Sopot Kamienny Potok z charakterem,2900.0,Sopot,Kamienny Potok, 2,45.63,7,7,,,Wtórny,Na wyłączność,Wieżowiec,,,C.O. Z SIECI MIEJSKIEJ,22.03.2024,21.04.2024,morizon-48828/2089/OMW,221,0,ANEKS KUCHENNY,1.0,Tak,,SPÓŁDZIELCZE WŁASNOŚCIOWE,,,,25.03.2024,240 cm,,,,,,,,,,,,,,Najmu
Trzypokojowy apartement z dużym ogródkiem,6500.0,Sopot,Karlikowo, 3,74.0,3,3,,,Wtórny,,Blok,,,,18.04.2024,18.04.2024,morizon-24/7067/OMW,36,0,,,,,,,WYSOKI STANDARD,,,,,,,,,,,,,,,,,Najmu
Wysoki standardcicha okolica1 miejsce w hali,3500.0,Sopot,Dolny Sopot, 2,42.0,1,3,,,Wtórny,Na wyłączność,Blok,YTong,2019.0,Co Miejskie,11.04.2024,12.04.2024,morizon-PAN189265,135,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Najmu
3 pokoje z dużym tarasem i ogródkiem,6500.0,Sopot,Karlikowo, 3,74.0,3,3,,2.0,Wtórny,Na wyłączność,Blok,Konstrukcja mieszana,2000.0,Co Miejskie,18.03.2024,04.04.2024,morizon-CP27617170,66,0,,,,Tak,,,,,15.03.2024,,,,,,,,,,,,,,,Najmu
Sopot2-pokojeul. Łokietka 19,4000.0,Sopot,Karlikowo, 2,45.0,1,3,,1.0,Wtórny,Na wyłączność,Apartamentowiec,Inny,2011.0,Miejskie,02.02.2024,10.04.2024,morizon-265,331,0,Aneks,1.0,Tak,,Inny,,Bardzo dobry,PCV,05.02.2024,,Tak,1000.0,,,,,,,,,,,,Najmu
Idealna lokalizacja- Sopot ul. Władysława IV,2000.0,Sopot,Karlikowo, 2,37.0,2,3,,1.0,Wtórny,Na wyłączność,,,,,18.04.2024,18.04.2024,morizon-448354,78,0,,,,,,,,,,,,,,,,,,,,,,,,Najmu
2-pokojowe mieszkanie na os.Parkur,2400.0,Sopot,Karlikowo, 2,41.0,3,3,1.0,,Wtórny,,Apartamentowiec,,2006.0,Co Miejskie,31.12.2023,12.04.2024,morizon-DJ547146,1 083,0,,,,Tak,,,,,13.03.2024,,,,,,,,,,,,,,,Najmu
Wyjątkowe mieszkanie na wynajem w Sopocie,5500.0,Sopot,Dolny Sopot, 3,69.0,3,3,,2.0,Wtórny,Na wyłączność,Kamienica,,,Co Miejskie,19.12.2023,15.04.2024,morizon-DH815056,285,0,,,Tak,,,,,,20.12.2023,,,,,,,,,,,,,,,Najmu
