Nazwa,Cena,Miasto,Dzielnica,Pokoje,Pow. całkowita,Piętro,Liczba pięter,Liczba poziomów mieszkania,Liczba sypialni,Rynek,Rodzaj umowy,Typ budynku,Materiał budowlany,Rok budowy,Ogrzewanie,Data dodania,Aktualizacja,Numer ogłoszenia,Liczba odsłon,Liczba Punktów Podbić,Typ kuchni,Liczba łazienek,Balkon,Taras,Forma własności,Stan budynku,Stan nieruchomości,Stolarka okienna,Dostępne od,Wysokość wnętrza,łazienka razem z WC,Depozyt za wynajem,Pow. balkonu,Pow. ogródka,Cena do negocjacji,Pow. łazienki,Pow. użytkowa,Pow. tarasu,Dodatkowe koszty,Pow. loggii,Typ domu,Urządzony ogród,Typ nieruchomości,Typ oferty
Mieszkanie - Sopot Brodwino,2900.0,Sopot,Brodwino, 3,54.0,10,10,,,Wtórny,,,,1975.0,C.o. miejskie,18.02.2024,20.04.2024,morizon-IB07297,273,0,Osobna,1.0,Tak,Nie,Spółdzielcze własnościowe z KW,Bardzo dobry,,,,,Nie,,4 m²,,,,,,,,,,,Najmu
Dwa pokoje z ogrodem 5 min od plaży,4000.0,Sopot,Wyścigi, 2,52.5,3,3,,1.0,Wtórny,Na wyłączność,Apartamentowiec,YTong,2010.0,Co Miejskie,12.02.2024,17.04.2024,morizon-WH114665,276,0,,,,Tak,,,,,29.02.2024,,,,,,,,,,,,,,,Najmu
Mieszkanie - Sopot,400.0,Sopot,Brodwino, 3,48.0,1,4,,,Wtórny,Na wyłączność,,,,C.o. miejskie,11.04.2024,20.03.2024,morizon-IT01304,157,0,Osobna,1.0,Tak,Nie,Własność,Bardzo dobry,,,,,,,,,,,,,,,,,,Najmu
ŚWIETNIE ZLOKALIZOWANE MIESZKANIE - 70 M OD PLAŻY,4000.0,Sopot,Dolny Sopot, 2,51.0,3,3,,,Wtórny,Na wyłączność,Apartamentowiec,,,C.O. Z SIECI MIEJSKIEJ,18.12.2023,10.04.2024,morizon-48244/2089/OMW,254,0,ANEKS KUCHENNY,1.0,Tak,,WŁASNOŚĆ,,WYSOKI STANDARD,,07.12.2023,,,,,,,,,,,,,,,Najmu
Klimatyczny apartament z kominkiem,6000.0,Sopot,Dolny Sopot, 4,100.0,1,4,1.0,,Wtórny,Na wyłączność,Kamienica,,,Gazowe,24.08.2023,13.01.2024,morizon-EC302327,379,0,,,Tak,Nie,,,,,,,,,,,,,,,,,,,,Najmu
boho mieszkanie w sopockiej kamienicy,2000.0,Sopot,Górny Sopot, 2,31.0,1,4,,,Wtórny,Na wyłączność,,,,,06.10.2023,22.03.2024,morizon-825973744,1 106,0,,,,,,,,,,,,,,,,,,,,,,,,Najmu
Mieszkanie - Sopot Dolny,250.0,Sopot,Dolny Sopot, 2,49.34,2,3,,,Wtórny,,,,2018.0,C.o. miejskie,23.07.2018,26.07.2023,morizon-IT0958,3 414,0,Półotwarta,1.0,Nie,Tak,Własność,Wysoki standard,,,,,,,,,,,,,,,,,,Najmu
nieruchomość w samym sercu Sopotu,6900.0,Sopot,Dolny Sopot, 5,136.26,2,3,,,Wtórny,Na wyłączność,Kamienica,Cegła,1910.0,Gazowe,08.11.2022,20.09.2023,morizon-PH791593,960,0,,,Tak,,,,,,,,,,,,,,,,,,,,,Najmu
Od poł. września | kawalerka blisko SKM,1400.0,Sopot,Górny Sopot, 1,18.31,4,5,,,Wtórny,Na wyłączność,,,,,10.01.2024,13.04.2024,morizon-PARK1709537,471,0,,,,,,,,,,,,,,,,,,,,,,,,Najmu
Mieszkanie - Sopot Centrum,250.0,Sopot,Dolny Sopot, 3,46.0,9,11,,,Wtórny,Na wyłączność,,,1975.0,C.o. miejskie,27.07.2020,26.07.2023,morizon-IT01158,3 149,0,Półotwarta,1.0,Tak,Nie,Własność,Bardzo dobry,,,,,,,,,,,,,,,,,,Najmu
Dwupoziomowy 3-pokojowy apartament w Sopocie,4400.0,Sopot,Wyścigi, 3,58.0,2,2,1.0,,Wtórny,,Apartamentowiec,,2019.0,Pompa Ciepła,21.09.2023,07.03.2024,morizon-DJ837193,304,0,,,Tak,Tak,,,,,19.09.2023,,,,,,,,,,,,,,,Najmu
Luksusowe mieszkanie w Sopocie,6500.0,Sopot,Dolny Sopot, 2,52.0,1,4,,,Wtórny,,Blok,,,Co Miejskie,10.08.2023,18.10.2023,morizon-DH784090,186,0,,,Tak,,,,,,01.09.2023,,,,,,,,,,,,,,,Najmu
2-pokojowe mieszkanie z DWOMA BALKONAMI w Sopocie,3000.0,Sopot,Dolny Sopot, 2,55.0,1,3,1.0,,Wtórny,,Blok,Pustak,2001.0,Co Własne,31.12.2023,07.03.2024,morizon-DJ940236,276,0,,,Tak,,,,,,03.07.2023,,,,,,,,,,,,,,,Najmu
Mieszkanie - Sopot Dolny,250.0,Sopot,Dolny Sopot, 3,66.26,4,4,,,Wtórny,Na wyłączność,,,1975.0,C.o. miejskie,16.06.2017,27.03.2023,morizon-IT0625,2 476,0,Osobna,1.0,Tak,Nie,Spółdzielcze własnościowe,Bardzo dobry,,,,,,,3 m²,,,,,,,,,,,Najmu
2-pokojowy apartament w Sopocie,2900.0,Sopot,Wyścigi, 2,38.0,2,2,1.0,,Wtórny,,Apartamentowiec,,2019.0,Pompa Ciepła,21.10.2023,07.03.2024,morizon-DJ749378,289,0,,,Tak,,,,,,09.12.2023,,,,,,,,,,,,,,,Najmu
Apartament z Patio (ogródkiem),7000.0,Sopot,Karlikowo, 3,70.0,3,3,1.0,,Wtórny,Na wyłączność,Blok,Bloczki,,Miejskie,15.03.2024,18.03.2024,morizon-231,181,0,Aneks,1.0,,,Własność,Bardzo dobry,Bardzo dobry,,29.03.2024,,Tak,,,40 m²,Tak,,,,,,,,,Najmu
Słoneczny138-metrowy Lokal na wynajem,8000.0,Sopot,Dolny Sopot, 4,138.0,2,4,1.0,,Wtórny,,,,,,17.07.2023,12.02.2024,morizon-EC775535,300,0,,,,,,,,,,,,,,,,,,,,,,,,Najmu
Luksusowy 5-pokojowy apartament o pow. 132 m2,12000.0,Sopot,Dolny Sopot, 5,132.0,3,3,1.0,4.0,Wtórny,,,,2014.0,,26.06.2023,17.11.2023,morizon-EC358808,261,0,,,,,,,,,,,,,,,,,,,,,,,,Najmu
Mieszkanie 3 pokoje - idealne na podnajem! Centrum Sopotu,6000.0,Sopot,Dolny Sopot, 3,90.0,1,3,1.0,,Wtórny,,Kamienica,,1970.0,,03.06.2022,18.03.2024,morizon-106-1,417,0,Otwarta,1.0,Tak,Nie,,Dobry,,,01.04.2024,280 cm,Tak,,2 m²,,,7 m²,,,,,,,,Najmu
Mieszkanie na wynajem - Sopot - nad morzem,3050.0,Sopot,Wyścigi, 2,32.0,2,3,,,Wtórny,,Blok,,,Co Miejskie,18.09.2023,27.11.2023,morizon-DH440034,198,0,,,,,,,,,01.09.2023,,,,,,,,,,,,,,,Najmu
Do wynajęcia przytulne mieszkanie w Sopocie,2600.0,Sopot,Dolny Sopot, 2,30.0,3,3,,,Wtórny,,,,,C.o. miejskie,03.11.2023,02.11.2023,morizon-GB05842,430,0,Półotwarta,1.0,Nie,Nie,Własność,Bardzo dobry,,,,,,,,,,,,,,,,,,Najmu
Mieszkanie - Sopot Kamienny Potok,2200.0,Sopot,Kamienny Potok, 2,36.0,7,10,,,Wtórny,Na wyłączność,,,1975.0,C.o. miejskie,27.09.2023,02.10.2023,morizon-IT01294,427,0,Osobna,1.0,Nie,Nie,Własność,Bardzo dobry,,,,,,,,,,,,,,,,,,Najmu
Wynajmę umeblowane mieszkanie w Sopocie Brodwino,3000.0,Sopot,Brodwino, 3,55.0,9,11,,,Wtórny,,Blok,,,,25.03.2023,25.04.2023,morizon-gratka-29944959,1 376,0,Aneks,,Tak,,,,Dobry,,01.04.2023,,Tak,,,,,,,,,,,,,Najmu
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
Unikatowy loft blisko morzaSopot Dolny,1350000.0,Sopot,Dolny Sopot, 3,90.0,2,2,2.0,,Wtórny,Na wyłączność,Kamienica,Cegła,1923.0,Elektryczne,17.11.2023,14.02.2024,morizon-WH259236,893,300,,,,,,,,,17.11.2023,,,,,,,,48 m²,,,,,,,Sprzedaży
Eleganckie 3 pokoje w Sopocie Dolnym,1890000.0,Sopot,Dolny Sopot, 3,81.0,1,2,1.0,2.0,Wtórny,,Kamienica,Cegła,1920.0,Gazowe,02.11.2023,22.01.2024,morizon-WH183127,539,300,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
W pełni wyposażone 2 pok. w centrum Sopotu,1459000.0,Sopot,Dolny Sopot, 2,49.0,3,4,,,Wtórny,,Blok,,1967.0,,17.04.2024,17.04.2024,morizon-gratka-34312935,41,100,Osobna,,Tak,,Spoldzielcze-wlasnosciowe-KW,,Wysoki standard,,,,Tak,,,,,,,,,,,,,Sprzedaży
Słoneczne mieszkanie idealne pod inwestycję,779000.0,Sopot,Dolny Sopot, 1,30.0,2,2,,,Wtórny,,Kamienica,Cegła,1930.0,,08.04.2024,08.04.2024,morizon-gratka-34213929,180,100,Osobna,,,,Własność,,Wysoki standard,,09.04.2024,,Tak,,,,,,,,,,,,,Sprzedaży
Połowa domu w Górnym Sopocie ogród taras garaż,2650000.0,Sopot,Górny Sopot, 3,105.0,1,1,,2.0,Wtórny,,Kamienica,Cegła,1920.0,Gazowe,07.04.2023,28.02.2024,morizon-EC926966,2 614,53,,,,Tak,,,,,07.04.2023,,,,,,,,,,,,,,,Sprzedaży
Przestronne i stylowe mieszkanie w sercu Sopotu,939999.0,Sopot,Dolny Sopot, 2,60.0,4,4,,,Wtórny,,Kamienica,Cegła,,,17.01.2024,19.04.2024,morizon-gratka-33069239,156,50,Osobna,,,,Własność,,Wysoki standard,,01.05.2024,,Tak,,,,,,,,,,,,,Sprzedaży
Mieszkanie - Sopot Dolny,980000.0,Sopot,Dolny Sopot, 2,48.41,1,2,1.0,,Wtórny,,Dom wielorodzinny,Cegła,1960.0,C.o. miejskie,14.11.2023,16.03.2024,morizon-PU0244,1 379,40,Osobna,1.0,Tak,Nie,Własność,Częściowo po remoncie,Do remontu,,,,Tak,,,,,,,,,,,,,Sprzedaży
3 min. spacerkiem do plaży,659000.0,Sopot,Dolny Sopot, 1,32.1,3,3,,,Wtórny,,,,,Gazowe,17.11.2023,21.04.2024,morizon-ET033034,569,31,Brak,1.0,Nie,Nie,(Nieznany),Bardzo dobry,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie do remontu w kamienicy Górny Sopot,999000.0,Sopot,Górny Sopot, 3,66.1,3,3,1.0,2.0,Wtórny,,Kamienica,Cegła,1890.0,Gazowe,27.02.2024,15.04.2024,morizon-211006,1 072,26,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament inwestycyjny z najemcą w Sopocie Górnym,1995000.0,Sopot,Górny Sopot, 2,69.0,2,3,1.0,1.0,Wtórny,Na wyłączność,Apartamentowiec,,2015.0,Co Miejskie,26.01.2024,15.04.2024,morizon-832341,910,26,,,Tak,,,,,,01.09.2023,,,,,,,,,,,,,,,Sprzedaży
Spektakularny apartament w nowoczesnej willi,8690000.0,Sopot,Dolny Sopot, 4,200.11,2,3,2.0,,Wtórny,Na wyłączność,Wolnostojący,,2022.0,Gazowe,22.02.2024,04.04.2024,morizon-935319,1 236,26,,,Tak,Tak,,,,,21.12.2023,,,,,,,,178 m²,,,,,,,Sprzedaży
Trzypokojowy apartament z wygodnym tarasem,1870530.0,Sopot,Górny Sopot, 3,78.9,3,3,1.0,2.0,Wtórny,,Apartamentowiec,Konstrukcja mieszana,2023.0,Co Miejskie,08.01.2024,15.04.2024,morizon-175434,745,26,,,,,,,,,,,,,,,,,"74,42 m²",,,,,,,Sprzedaży
Apartamenty wakacyjne tuż przy sopockim molo,3500000.0,Sopot,Dolny Sopot, 9,160.0,2,4,1.0,9.0,Wtórny,Na wyłączność,Kamienica,Cegła,1920.0,Gazowe,24.12.2021,13.04.2024,morizon-713465,5 811,26,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament przy molo w Sopocie,4200000.0,Sopot,Dolny Sopot, 4,175.0,2,3,1.0,2.0,Wtórny,Na wyłączność,Kamienica,Cegła,1901.0,Co Własne,13.07.2023,15.03.2024,morizon-965277,2 183,26,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Dwa nietuzinkowe apartamenty 300 metrów od plaży,2999000.0,Sopot,Dolny Sopot, 5,121.98,3,3,1.0,3.0,Wtórny,,Kamienica,Cegła,1911.0,Gazowe,19.02.2023,15.02.2024,morizon-584115,2 497,26,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament z pięknym tarasem,3543204.0,Sopot,Dolny Sopot, 4,105.6,1,3,1.0,3.0,Wtórny,,Apartamentowiec,Konstrukcja mieszana,2018.0,Co Miejskie,11.12.2023,15.04.2024,morizon-994248879,847,26,,,,,,,,,07.12.2023,,,,,,,,"99,91 m²",,,,,,,Sprzedaży
Apartament z ogródkiem - Sopot,972047.0,Sopot,Świemirowo, 2,49.4,3,3,,1.0,Pierwotny,,Apartamentowiec,,2024.0,,03.04.2024,05.04.2024,morizon-EC446521,158,25,,,,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
Górny Sopot 2 pok. 45 m,899000.0,Sopot,Górny Sopot, 2,44.9,3,3,,,Wtórny,Na wyłączność,,Różnorodny,1937.0,C.o. miejskie,11.04.2024,12.04.2024,morizon-AK0916,234,25,Osobna,1.0,Nie,Nie,Własność,Do remontu,,,,,,,,,,,,,,,,,,Sprzedaży
Bezczynszowe mieszkanie w Sopocie 47 13m2,678000.0,Sopot,Górny Sopot, 2,47.13,1,2,,,Wtórny,Na wyłączność,Kamienica,Cegła,1930.0,Gazowe,02.02.2024,17.04.2024,morizon-LDK211739,995,25,,,,,,,,,22.01.2024,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie w Sopocieblisko plaży,975000.0,Sopot,Karlikowo, 2,53.1,2,2,,,Wtórny,,,,1920.0,,05.01.2024,19.04.2024,morizon-814100,1 313,25,,,Tak,,,,,,15.09.2023,,,,,,,,"42,34 m²",,,,,,,Sprzedaży
Mieszkanie - Sopot Karlikowo,1220000.0,Sopot,Karlikowo, 4,77.9,6,11,1.0,,Wtórny,,Blok,Wielka płyta,1970.0,C.o. miejskie,04.11.2023,22.03.2024,morizon-BE0550,848,25,Otwarta,1.0,Tak,Nie,Spółdzielcze własnościowe z KW,Bardzo dobry,Bardzo dobry,,21.03.2024,260 cm,Tak,,4 m²,,Tak,4 m²,,,,,,,,Sprzedaży
Apartament w Kamiennym Potoku,1250000.0,Sopot,Kamienny Potok, 3,64.6,2,2,1.0,,Wtórny,,Apartamentowiec,,,,09.04.2024,15.04.2024,morizon-1538590169,235,25,Osobna,,Tak,,Własność,,Wysoki standard,,Od zaraz,,Tak,,,,Tak,,,,,,,,,Sprzedaży
Lukusowy apartament bezposrednio,1520000.0,Sopot,Dolny Sopot, 2,50.0,4,4,1.0,,Pierwotny,,Apartamentowiec,Cegła,2014.0,Gazowe,29.03.2024,29.03.2024,morizon-1538551944,309,25,Aneks,,,,Własność,,Bardzo dobry,,Od zaraz,,Tak,,,,,,,,,,,,,Sprzedaży
Piękny apartament w centrum starego Sopotu,2190000.0,Sopot,Dolny Sopot, 3,67.28,3,4,4.0,,Wtórny,,Kamienica,Cegła,1900.0,,20.03.2024,12.04.2024,morizon-1538487076,442,25,Otwarta,,Tak,,Własność,,Bardzo dobry,,Od zaraz,,Tak,,,,,,,,,,,,,Sprzedaży
PIĘKNE mieszkaniepas nadmorski2 pok. Sopot,570000.0,Sopot,Brodwino, 2,33.0,3,3,,,Wtórny,,,,,,13.04.2024,13.04.2024,morizon-1538637552,162,25,,,,,,,,,Od zaraz,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie 400 m od plaży!!! / Dolny SOPOT,856900.0,Sopot,Dolny Sopot, 2,41.0,1,3,,,Wtórny,,,,,,19.04.2024,19.04.2024,morizon-1538670595,41,25,,,,,,,,,Od zaraz,,,,,,,,,,,,,,,Sprzedaży
Nieruchomość w zabytkowej kamienicy !SERCE SOPOTU,1699000.0,Sopot,Dolny Sopot, 4,86.6,3,3,1.0,3.0,Wtórny,Na wyłączność,Kamienica,,1930.0,Gazowe,14.04.2024,14.04.2024,morizon-MG617712,90,4,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Piękna kawalerka Sopot Sobieskiego,919000.0,Sopot,Dolny Sopot, 1,34.1,3,4,1.0,,Wtórny,Na wyłączność,Blok,,2000.0,Co Miejskie,11.03.2024,14.03.2024,morizon-MG275414,119,4,,,,,,,,,01.04.2024,,,,,,,,,,,,,,,Sprzedaży
Sopotpo remoncieinwestycjagaraż,899000.0,Sopot,Górny Sopot, 3,70.9,3,3,2.0,,Wtórny,Na wyłączność,Kamienica,,1963.0,Gazowe,12.06.2023,12.03.2024,morizon-MG695903,1 212,4,,,,Tak,,,,,,,,,,,,,,,,,,,,Sprzedaży
Ogród 201m2 w centrum Sopotu! | Balkon 4.5m2,699000.0,Sopot,Górny Sopot, 2,40.69,1,2,1.0,,Wtórny,Na wyłączność,Kamienica,,1930.0,Gazowe,05.01.2024,02.04.2024,morizon-MG414313,655,4,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
3 pokoje Sopot Monte Casino,2500000.0,Sopot,Dolny Sopot, 3,100.0,1,3,,,Wtórny,Na wyłączność,Kamienica,,1906.0,Elektryczne,19.08.2022,03.08.2023,morizon-MG949496,1 618,4,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Mieszkanie w Sopocieblisko plaży,975000.0,Sopot,Karlikowo, 2,53.1,2,2,,,Wtórny,,,,1920.0,,20.09.2023,24.03.2024,morizon-JGN351104,789,3,,,Tak,,,,,,15.09.2023,,,,,,,,"42,34 m²",,,,,,,Sprzedaży
Blisko morza | Kawalerka typu STUDIO | Po remoncie,679000.0,Sopot,Dolny Sopot, 1,26.07,3,3,1.0,,Wtórny,,Blok,,1980.0,Co Miejskie,11.04.2024,19.04.2024,morizon-MG608937,52,2,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Apartament Aquarius Sopot,1995000.0,Sopot,Górny Sopot, 3,69.0,2,3,1.0,,Wtórny,,Blok,,2011.0,Co Miejskie,01.03.2024,19.04.2024,morizon-MG691459,127,2,,,Tak,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Blisko morza | Inwestycyjnie | Parking,555000.0,Sopot,Górny Sopot, 2,34.62,3,4,1.0,,Wtórny,,Blok,,1970.0,Co Miejskie,11.03.2024,10.04.2024,morizon-MG602853,194,2,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
Unikatowy apartament ok.150 m2 z tarasemSopot,5320000.0,Sopot,Dolny Sopot, 3,150.0,3,3,,,Wtórny,,Kamienica,CEGŁA,1906.0,C.O. GAZOWE,02.04.2024,02.04.2024,morizon-5598/1826/OMS,221,0,ODDZIELNA,2.0,,,WŁASNOŚĆ,,BARDZO WYSOKI STANDARD,,,340 cm,,,,,,,,,,,,,,Sprzedaży
Apartament w sercu Sopotupiękna kamienica,1980000.0,Sopot,Górny Sopot, 3,101.0,1,2,1.0,,Wtórny,,Kamienica,,1915.0,Gazowe,26.02.2024,17.04.2024,morizon-MG895351,150,2,,,,,,,,,,,,,,,,,,,,,,,,Sprzedaży
