Nazwa|Cena|Miasto|Dzielnica|Pokoje|Pow. całkowita|Piętro|Liczba pięter|Liczba sypialni|Balkon|Rynek|Rodzaj umowy|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba poziomów mieszkania|Dostępne od|Typ budynku|Materiał budowlany|Ogrzewanie|Inwestycja|Stan nieruchomości|Typ kuchni|Liczba łazienek|łazienka razem z WC|Taras|Pow. ogródka|Forma własności|Stolarka okienna|Pow. tarasu|Pow. loggii|Pow. balkonu|Stan budynku|Wysokość wnętrza|Pow. łazienki|Pow. użytkowa|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
Nowy Ekskluzywny Apartament 3- pokoje, blisko plaży|1 147 000 zł|Gdańsk, |Letnica, | • 3 pokoje|67,50 m²|6/17|17|||Wtórny|||14.03.2024|15.04.2024|morizon-gratka-33749967|418|110||14.03.2024|Apartamentowiec|Cegła|||Wysoki standard|Aneks||Tak|||Własność||||||||||||||
Mieszkanie - Gdańsk Przymorze|599 000 zł|Gdańsk, |Przymorze, | • 2 pokoje|45 m²||4||Tak|Wtórny||1970|12.04.2024|16.04.2024|morizon-HL0931|161|108|||||C.o. miejskie|||Osobna|1||Nie||Własność|||||Do odświeżenia|||||||||
Przepiękne mieszkanie w sercu Oliwy: 3 pokoje, miejsca parkingowe - wyjątkowe|1 065 000 zł|Gdańsk, |Oliwa, | • 3 pokoje|70,25 m²|2/2|2|||Wtórny||1930|19.04.2024|19.04.2024|morizon-gratka-34340269|55|100||01.04.2024|Kamienica|Cegła||||Aneks||Tak|||Własność||||||||||||||
Apartament nad brzegiem Motławy luxusowe cena brutto bez PCC|1 020 000 zł|Gdańsk, |Stare Miasto, | • 2 pokoje|37 m²|2/5|5||Tak|Wtórny||2023|16.03.2024|16.04.2024|morizon-gratka-33793533|186|100||01.03.2024|Apartamentowiec|||||||Tak|||||||||||||||||
Sprzedam nowe mieszaknie 3 pokojowe 62m2 Matemblewo|970 000 zł|Gdańsk, |Potokowa| • 3 pokoje|62 m²|1/2|2||Tak|Wtórny||2023|26.02.2024|28.03.2024|morizon-gratka-33487975|379|100||01.02.2024|Apartamentowiec|Silikat|||Wysoki standard|Aneks||Tak|||Własność||||||||||||||
MIESZKANIE 3-pokojowe 68m2 + ogródek 90m2 , PARTER|699 000 zł|Gdańsk, |Ujeścisko, | • 3 pokoje|68 m²||2|||Wtórny|||22.02.2024|24.03.2024|morizon-gratka-33439091|423|100||01.03.2024|Dom wielorodzinny|||||||Tak|||Własność||||||||||||||
Mieszkanie 47 m 2 pokoje z kuchnią na parterze w Gdańsk Chełm sprzedam|560 000 zł|Gdańsk, |Chełm, | •  47 m² |47 m²||3||Tak|Wtórny||2005|14.04.2024|14.04.2024|morizon-gratka-34278339|77|100||15.04.2024|Blok|Pustak|||Dobry|Osobna||Tak|||Własność||||||||||||||
Komfortowy Apartament- Gdańsk Stare Miasto , przy Motławie , Stara Stocznia 20|1 577 000 zł|Gdańsk, |Stare Miasto, | • 2 pokoje|49 m²|3/6|6||Tak|Wtórny||2023|08.02.2024|18.04.2024|morizon-24403|1 126|79|||Apartamentowiec||Miejskie||Do wprowadzenia|||||||Nowe drewniane|||||||||||||
Luksusowy Apartament Stare Miasto Gdańsk, Stara Stocznia 8|2 077 000 zł|Gdańsk, |Stare Miasto, | • 3 pokoje|70 m²|4/6|6||Tak|Wtórny||2023|21.12.2023|22.04.2024|morizon-23513|1 547|79|||Apartamentowiec||Miejskie||Po remoncie|||||||Nowe drewniane|||||||||||||
Mieszkanie 3-pok. na Oruni Górnej w Gdańsku|590 000 zł|Gdańsk, |Orunia Górna-Gdańsk Południe, | • 3 pokoje|61,08 m²|2/4|4||Tak|Wtórny|Na wyłączność|1993|06.03.2024|17.04.2024|morizon-39|762|55|1|24.06.2024|Blok|Wielka płyta|Miejskie||Do remontu|Osobna|1|Nie|Nie||Spółdzielcze-własnościowe z KW||||5 m²|Dobry|255 cm|3,70 m²|||||||
