Nazwa|Cena|Miasto|Dzielnica|Pokoje|Pow. całkowita|Piętro|Liczba pięter|Liczba sypialni|Balkon|Rynek|Rodzaj umowy|Rok budowy|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba poziomów mieszkania|Dostępne od|Typ budynku|Materiał budowlany|Ogrzewanie|Inwestycja|Stan nieruchomości|Typ kuchni|Liczba łazienek|łazienka razem z WC|Taras|Pow. ogródka|Forma własności|Stolarka okienna|Pow. tarasu|Pow. loggii|Pow. balkonu|Stan budynku|Wysokość wnętrza|Pow. łazienki|Pow. użytkowa|Dodatkowe koszty|Cena do negocjacji|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
Apartament inwestycyjny w prestiżowej lokalizacji|1 000 000 zł|Gdańsk, |Śródmieście, | • 2 pokoje|49,04 m²|1/5|5||Tak|Wtórny|Na wyłączność|2023|13.04.2024|21.04.2024|morizon-PAN406570|45|0|||Apartamentowiec|Pustak|Co Miejskie||||||Nie||||||||||||||||
Luksusowa nieruchomość w malowniczej okolicy|1 149 000 zł|Gdańsk, |Morena, | • 4 pokoje|110 m²|3/3|3|3|Tak|Wtórny|Na wyłączność|2009|12.04.2024|20.04.2024|morizon-436395|176|0|||Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie||||||Tak||||||||||90,92 m²||||||
"| Świetna lokalizacja | dobra cena |"|1 160 000 zł|Gdańsk, |Wrzeszcz, | • 3 pokoje|70 m²|2/7|7||Tak|Wtórny|Na wyłączność|2010|16.04.2024|22.04.2024|morizon-SOZI269|35|0|||Apartamentowiec|Mieszana|Ogrzewanie miejskie||Do odnowienia||||||Własność||||||270 cm||||||||
Kameralna Inwestycja - Zamieszkaj lub zainwestuj|1 207 605 zł|Gdańsk, |Śródmieście, | • 3 pokoje|65,72 m²|1/5|5|2|Tak|Pierwotny||2024|01.04.2024|09.04.2024|morizon-EC658191|42|0|||Apartamentowiec||||||||||||||||||||||||
"Apartament z widokiem na jezioro \""Przystań Jasień\"""|1 329 000 zł|Gdańsk, |Jasień, | • 4 pokoje|94,73 m²|2/3|3||Tak|Wtórny|Na wyłączność|2023|15.04.2024|18.04.2024|morizon-ON273070|48|0|||Blok Mieszkalny||Co Miejskie||||||||||||||||||||||
Komfortowy apartament - Zamieszkaj lub zainwestuj|1 340 042 zł|Gdańsk, |Śródmieście, | • 3 pokoje|67,17 m²|5/5|5|2|Tak|Pierwotny||2024|01.04.2024|01.04.2024|morizon-EC275058|57|0|||Apartamentowiec||||||||||||||||||||||||
Słoneczne 3 pokoje w najnowszym etapie Garnizonu|1 415 000 zł|Gdańsk, |Wrzeszcz, | • 3 pokoje|64,40 m²|2/5|5|2|Tak|Wtórny|Na wyłączność|2023|03.04.2024|09.04.2024|morizon-DH690870|73|0||30.06.2024|Apartamentowiec||Co Miejskie||||||||||||||||||||||
3-pok, garderoba, 2 miejsca w hali, piwnica- Zaspa|1 438 000 zł|Gdańsk, |Zaspa, | • 3 pokoje|73,94 m²|3/4|4||Tak|Wtórny|Na wyłączność|2018|10.04.2024|19.04.2024|morizon-23064/2089/OMS|65|0||01.08.2024|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD|ANEKS KUCHENNY|1||||||||||||||||||
Opis nieruchomości|1 613 869 zł|Gdańsk, |Oliwa, | • 3 pokoje|80,34 m²||3||Tak|Wtórny||2024|08.04.2024|08.04.2024|morizon-PH870961|40|0|||Apartamentowiec|Pustak|Co Miejskie||||||||||||||||||||||
Komfortowy Apartament - Prestiżowy Adres|2 048 189 zł|Gdańsk, |Śródmieście, | • 4 pokoje|106,10 m²|5/6|6|3||Wtórny||2021|29.03.2024|06.04.2024|morizon-EC882681|156|0|1||Apartamentowiec||Co Miejskie||||||||||||||||||||||
Apartament Gdańsk Brabank z frontowym widokiem na Motławę|3 200 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje|88 m²|6/6|6|||Wtórny||2021|09.04.2024|16.04.2024|morizon-gratka-34228297|225|0||14.04.2024|Apartamentowiec|||||||Tak|Tak||Własność||||||||||||||
Stylowe dwa pokoje w doskonałej lokalizacji|499 000 zł|Gdańsk|| • 2 pokoje|31,30 m²|3/3|3|||Wtórny||2016|12.04.2024|12.04.2024|morizon-R-756428|90|0|1|30.04.2024|Blok Mieszkalny||||||||||||||||||||||||
Przymorze 2 pokoje 38m2 do zamieszkania FALOWIEC|515 000 zł|Gdańsk, |Przymorze, | • 2 pokoje|38 m²|3/10|10||Tak|Wtórny||1970|11.04.2024|17.04.2024|morizon-877792|116|0|1|12.04.2024|Falowiec|Wielka płyta|Co Miejskie||Do odświeżenia|Osobna|1|Tak|||Własność||||2,50 m²|Dobry|258 cm||||||||
Atrakcyjna oferta! Pozostaje całe wyposażenie|527 000 zł|Gdańsk, |Jasień, | • 1 pokój|37,87 m²|3/4|4||Tak|Wtórny|Na wyłączność|2014|08.04.2024|08.04.2024|morizon-DH973178|44|0||07.04.2024|Blok Mieszkalny||Co Miejskie||||||||||||||||||||||
2 pokoje-gotowe do wprowadzenia-spokojna okolica|550 000 zł|Gdańsk, |Jasień, | • 2 pokoje|44 m²|3/4|4|1|Tak|Wtórny||2016|10.04.2024|17.04.2024|morizon-CP990895|84|0|||Blok Mieszkalny||Co Miejskie||||||||||||||||||||||
Wysoki standard w przystępnej cenie|574 000 zł|Gdańsk, |Kokoszki, | • 2 pokoje|47,90 m²||4|2||Wtórny||2023|04.04.2024|04.04.2024|morizon-WE962437|78|0|||Blok Mieszkalny||Co Miejskie||||||||||||||||||||||
Mieszkanie - Gdańsk Przymorze|575 000 zł|Gdańsk, |Przymorze, | • 2 pokoje|41,02 m²|3/10|10||Tak|Wtórny||1979|20.04.2024|19.04.2024|morizon-PU0247|33|0|||||C.o. miejskie|||Osobna|1||Nie||Własność|||||Dobry|||||||||
3 pokoje gotowe do odbioru od zaraz - Gdańsk|590 000 zł|Gdańsk, |Łostowice, | • 3 pokoje|58,09 m²|3/4|4|2|Tak|Pierwotny||2024|18.04.2024|19.04.2024|morizon-PAN559852|15|0|1||Blok Mieszkalny|Konstrukcja mieszana|Co Miejskie||||||Nie||||||||||||||||
Gotowe do odbioru! Ustawne i jasne|591 000 zł|Gdańsk, |Łostowice, | • 3 pokoje|56,66 m²|4/4|4|||Pierwotny||2023|01.03.2024|01.03.2024|morizon-9040/8976/OMS|78|0|||NISKI BLOK||||DO WYKOŃCZENIA||||||WŁASNOŚĆ||||||||||||||
Spółdzielczo własnościowe. 3 pokoje dla rodziny|600 000 zł|Gdańsk, |Suchanino, | • 3 pokoje|52,78 m²|3/10|10||Tak|Wtórny|Na wyłączność|1978|25.02.2024|07.03.2024|morizon-TY462676|207|0|||Blok Mieszkalny|Wielka płyta|Co Miejskie||||||||||||||||||||||
Komfortowa nieruchomość w centralnej dzielnicy|665 000 zł|Gdańsk, |Morena, | • 2 pokoje|46 m²|3/3|3||Tak|Wtórny||2010|30.03.2024|09.04.2024|morizon-357827|120|0|||Blok Mieszkalny|Inne|Co Miejskie||||||||||||||||||||||
Ustawne 2 pokojowe mieszkanie na Morenie|689 000 zł|Gdańsk, |Morena, | • 2 pokoje|42,10 m²|4/4|4||Tak|Wtórny||2015|18.04.2024|20.04.2024|morizon-MG203719|17|0|1||Blok Mieszkalny||Co Miejskie||||||||||||||||||||||
Gdańsk-Kokoszki, 3 pokoje + antresola i ogródek|702 500 zł|Gdańsk, |Kokoszki, | • 3 pokoje|88,67 m²|1/1|1|1|Tak|Wtórny||2024|10.04.2024|10.04.2024|morizon-148452|68|0|2||Blok Mieszkalny||Gazowe||||||||||||||||||||||
Mieszkanie 4 pokojowe I Wyjątkowa architektura|702 500 zł|Gdańsk, |Kokoszki, | • 4 pokoje|88,72 m²|1/1|1||Tak|Pierwotny||2024|10.04.2024|20.04.2024|morizon-00133202|48|0||30.04.2024|Szeregowy|Pustak|Co Miejskie||Do wykończenia|Aneks||Tak|||Własność|||||Bardzo dobry|||||||||
Słoneczne mieszkanie z antresolą ponad 80 m2|799 000 zł|Gdańsk, |Hokejowa| • 3 pokoje|80 m²|3/4|4||Tak|Wtórny||2015|11.04.2024|22.04.2024|morizon-29730/3685/OMS|84|0||13.04.2024|NISKI BLOK|YTONG|C.O. Z SIECI MIEJSKIEJ||BARDZO WYSOKI STANDARD|ANEKS KUCHENNY|1||||WŁASNOŚĆ||||||||||||||
2 pokoje + kawalerka, DWUPAK w sercu Wrzeszcza|849 000 zł|Gdańsk, |Wrzeszcz, | • 3 pokoje|66,10 m²|2/2|2|||Wtórny|Na wyłączność|1900|26.03.2024|27.03.2024|morizon-TY846468|271|0|||Kamienica||Co Miejskie||||||||||||||||||||||
"Nowe i Gotowe do zamieszkania | 3 pok. | Wysoki Standard | Gdańsk Kokoszki"|855 000 zł|Gdańsk, |Kokoszki, | • 3 pokoje|57,26 m²|2/4|4|||Wtórny||2023|04.04.2024|04.04.2024|morizon-gratka-34174417|50|0||04.04.2024|Blok||||Wysoki standard|Aneks||Nie|||Własność||||||||||||||
Ścisłe centrum nad Motławą! W pełni Nowe wyposaż|859 000 zł|Gdańsk, |Śródmieście, | • 1 pokój|31 m²|1/6|6|||Wtórny||2022|11.04.2024|11.04.2024|morizon-139750|51|0|||Apartamentowiec||Co Miejskie||||||||||||||||||||||
Słoneczne dwa poziomy-z możliwością podziału|869 000 zł|Gdańsk, |Wrzeszcz, | • 4 pokoje|90,50 m²|2/3|3|||Wtórny|Na wyłączność|1930|18.04.2024|18.04.2024|morizon-16018/9376/OMS|43|0|||KAMIENICA|CEGŁA|C.O. GAZOWE||DOBRY|ODDZIELNA|||||WŁASNOŚĆ||||||||||||||
Inwestycja Nowa Letnica 2024|1 160 000 zł|Gdańsk, |Letnica, | • 3 pokoje|64,77 m²|8/17|17|2||Wtórny||2024|20.04.2024|20.04.2024|morizon-352465|36|0|||||||||||||||||||||||||||
Opis nieruchomości|639 900 zł|Gdańsk, |Stogi, | • 2 pokoje|44,23 m²||3|||Pierwotny||2024|29.03.2024|03.04.2024|morizon-0.9|171|147||||||Apartamenty Diuna|||||||||7,92 m²|63 m²|||||||||||
Podzielone mieszkanie inwestycyjne przy Motławie|1 163 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje|58,15 m²|1/5|5||Tak|Wtórny|Na wyłączność|2018|19.04.2024|19.04.2024|morizon-DH830481|21|0|||Apartamentowiec||Co Miejskie||||||||||||||||||||||
Kup i zarabiaj- wyposażony gotowiec inwestycyjny|1 202 400 zł|Gdańsk, |Śródmieście, | • 3 pokoje|60,12 m²|1/5|5||Tak|Wtórny|Na wyłączność|2018|19.04.2024|19.04.2024|morizon-DH844854|20|0|||Apartamentowiec||Co Miejskie||||||||||||||||||||||
Jednopoziomowe 108mkw, 2x balkony, 2x miejsca parkingowe, kominek|1 500 000 zł|Gdańsk, |Piecki-Migowo, | • 4 pokoje|108 m²|2/3|3||Tak|Wtórny||2007|28.03.2024|28.03.2024|morizon-gratka-34029907|214|0|||Blok|||||Aneks||Nie|||Własność||||||||||||||
GOTOWY Apartament premium 3 pok. z ogródkiem|1 626 170 zł|Gdańsk, |Oliwa, | • 3 pokoje|80,34 m²||3|2|Nie|Pierwotny||2023|26.03.2024|26.03.2024|morizon-DH808180|71|0||29.01.2024|Apartamentowiec||Co Miejskie||||||Tak||||||||||||||||
Klimatyczne mieszkanie z WIDOKIEM na morze|1 799 000 zł|Gdańsk, |Wrzeszcz, | • 3 pokoje|79 m²|13/16|16|||Wtórny||2011|08.04.2024|08.04.2024|morizon-WE427848|79|0|||Apartamentowiec||Co Miejskie||||||||||||||||||||||
Elegancki apartament z widokiem na marinę|1 970 090 zł|Gdańsk|| • 3 pokoje|79,71 m²||3||Tak|Wtórny||2022|16.04.2024|16.04.2024|morizon-29791/3685/OMS|26|0||01.05.2024|APARTAMENTOWIEC||||BARDZO WYSOKI STANDARD|ANEKS KUCHENNY|2||||WŁASNOŚĆ||||||||||||||
Luksusowa inwestycja z powiewem nadmorskiej bryzy|2 050 000 zł|Gdańsk, |Jelitkowo, | • 3 pokoje|61 m²||3|3||Wtórny|Na wyłączność|2017|19.04.2024|19.04.2024|morizon-766824|34|0|1||Apartamentowiec|Silikat|Co Miejskie||||||Tak||||||||||||||||
Wyjątkowy apartament LOFT GARNIZON 5 pokoi|2 150 000 zł|Gdańsk, |Wrzeszcz, | • 5 pokoi|138 m²|5/6|6|4||Wtórny||2011|09.04.2024|20.04.2024|morizon-TY937810|67|0|||Apartamentowiec|Konstrukcja mieszana|Co Miejskie||||||||||||||||97 m²||||||
2 pokoje/ Apartament/ Przymorze/ blisko plaży|2 150 000 zł|Gdańsk, |Przymorze, | • 2 pokoje|83 m²|1/4|4|1|Tak|Wtórny||2014|11.03.2024|11.03.2024|morizon-657457|91|0||11.03.2024|Apartamentowiec||Co Miejskie||||||||||||||||||||||
Mieszkanie przy Garnizonie w stanie deweloperskim|2 895 000 zł|Gdańsk, |Wrzeszcz, | • 4 pokoje|201,73 m²||2|||Wtórny|Na wyłączność||25.03.2024|25.03.2024|morizon-510164|145|0|||Szeregowy||||||||Tak||||||||||||||||
Przestronna kawalerka na gdańskim Jasieniu|395 000 zł|Gdańsk, |Jasień, | • 1 pokój|27,20 m²|3/4|4||Tak|Wtórny||2023|11.04.2024|17.04.2024|morizon-PAN358295|74|0||01.01.2024|Blok Mieszkalny|Pustak|Co Miejskie||||||Nie||||||||||||||||
od południa z ogrodem ponad 30m2 - Cichy Zakątek|399 315 zł|Gdańsk, |Jasień, | • 2 pokoje|38,03 m²||4|||Pierwotny||2024|06.04.2024|06.04.2024|morizon-HEX458083|131|0|1|30.03.2025|Blok Mieszkalny|Silikat|Co Miejskie||||||||||||||||||||||
Wygodne mieszkanie z antresolą - Cichy Zakątek|499 950 zł|Gdańsk, |Jasień, | • 2 pokoje|45,45 m²|3/4|4|||Pierwotny||2024|20.04.2024|20.04.2024|morizon-HEX862153|23|0|1|30.03.2025|Blok Mieszkalny|Silikat|Co Miejskie||||||Tak||||||||||||||||
"2 POKOJE| Gdańsk Chełm| Blisko komunikacji"|509 000 zł|Gdańsk, |Wincentego Witosa| • 2 pokoje|41,10 m²|3/10|10||Tak|Wtórny||1986|15.04.2024|15.04.2024|morizon-TH159210|51|0||15.04.2024|Blok Mieszkalny||Co Miejskie||||||||||||||||||||||
2 niezależne pokoje blisko SKM Żabianka i AWFiS|579 000 zł|Gdańsk, |Żabianka, | • 2 pokoje|40,40 m²|1/10|10|||Wtórny|Na wyłączność|1970|04.04.2024|11.04.2024|morizon-Ecn192875|149|0||31.05.2024|||||||||||||||||||38 m²||||||
Opis nieruchomości|597 850 zł|Gdańsk, |Łostowice, | • 3 pokoje|54,35 m²|1/5|5||Tak|Wtórny||2024|19.03.2024|27.03.2024|morizon-PH505689|59|0|||Blok Mieszkalny|YTong|Co Miejskie||||||||||||||||||||||
Wykończone mieszkanie w nowym budownictwie|599 000 zł|Gdańsk, |Łostowice, | • 2 pokoje|47 m²||4|||Wtórny|Na wyłączność|2023|18.04.2024|18.04.2024|morizon-MG878270|24|0|1||Blok Mieszkalny||Co Miejskie||||||||||||||||||||||
Opis nieruchomości|603 570 zł|Gdańsk, |Łostowice, | • 3 pokoje|54,87 m²|1/5|5||Tak|Wtórny||2023|19.03.2024|27.03.2024|morizon-PH626219|47|0|||Blok Mieszkalny|YTong|Co Miejskie||||||||||||||||||||||
Przytulne, zadbane w świetnej okolicy|639 000 zł|Gdańsk, |Przymorze, | • 2 pokoje|45 m²|3/4|4|1|Tak|Wtórny||1980|06.04.2024|17.04.2024|morizon-TC107841|117|0|1|04.04.2024|Blok Mieszkalny|Wielka płyta|Co Miejskie||||||||||||||||||||||
"Zamieszkaj 10 minut od plaży! | Przymorze"|689 000 zł|Gdańsk, |Przymorze, | • 2 pokoje|46 m²|1/10|10|1|Tak|Wtórny||1970|22.04.2024|22.04.2024|morizon-ON830213|1|0|1|19.04.2024|Falowiec|Wielka płyta|Co Miejskie||||||Nie||||||||||||||||
Sprzedam mieszkanie 3 pokoje Gdańsk ul. Guderskiego|723 000 zł|Gdańsk, |Guderskiego| • 3 pokoje|57,80 m²|1/3|3||Tak|Wtórny||2010|15.04.2024|15.04.2024|morizon-124|29|0|1||Blok||Miejskie||Bardzo dobry|Aneks|1||Nie||Własność|||||Bardzo dobry|||||||||
Mieszkanie dla rodziny z pięknym ogrodem|799 000 zł|Gdańsk, |Chełm, | • 3 pokoje|67 m²|1/1|1|2|Nie|Wtórny|Na wyłączność|1940|15.04.2024|16.04.2024|morizon-DH434317|57|0|||Kamienica||Gazowe||||||||||||||||||||||
Opis nieruchomości|803 017 zł|Gdańsk, |Oliwa, | • 1 pokój|36,27 m²||3||Tak|Wtórny||2024|08.04.2024|08.04.2024|morizon-PH866472|45|0|||Apartamentowiec|Pustak|Co Miejskie||||||||||||||||||||||
Duże mieszkanie w Śródmieściu Gdańska|820 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje|85,50 m²|3/3|3|||Wtórny||1930|16.04.2024|16.04.2024|morizon-670/3071/OMS|35|0|||KAMIENICA|CEGŁA|C.O. WŁASNE||WYSOKI STANDARD|Z OKNEM|1||||WŁASNOŚĆ||||||277 cm||||||||
3 pokoje w gdańskim Śródmieściu|820 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje|85,50 m²|3/3|3|3|Nie|Wtórny||1930|12.04.2024|17.04.2024|morizon-PAN222443|100|0|||Kamienica|Cegła|Co Własne||||||Nie||||||||||||||||
3 POKOJE DUŻY BALKON 2 MIEJSCA W HALI JASIEŃ|850 000 zł|Gdańsk, |Jasień, | • 3 pokoje|68,14 m²|2/3|3||Tak|Wtórny|Na wyłączność|2021|11.04.2024|15.04.2024|morizon-PAN989650|87|0|||Blok Mieszkalny|Pustak|Co Miejskie||||||Nie||||||||||||||||
Słoneczny apartament z balkonem - Gdańsk Przymorze|860 000 zł|Gdańsk, |Przymorze, | • 2 pokoje|40,72 m²|1/4|4||Tak|Wtórny||2017|15.04.2024|18.04.2024|morizon-DH520660|57|0|||Apartamentowiec||Co Miejskie||||||||||||||||||||||
"Mieszkanie z ogrodem o powierzchni 77m2 | Brzeźno"|959 000 zł|Gdańsk, |Brzeźno, | • 5 pokoi|77 m²||1||Nie|Wtórny|Na wyłączność|1925|17.04.2024|18.04.2024|morizon-ON795838|38|0|||Kamienica||Co Miejskie||||||||||||||||||||||
Mieszkanie inwestycyjne w doskonałej lokalizacji|970 000 zł|Gdańsk, |Wrzeszcz Górny, | • 3 pokoje|97 m²|1/2|2|||Wtórny||1910|09.04.2024|17.04.2024|morizon-PH478281|75|0|||||Gazowe||||||||||||||||||||||
3 pokoje, niezależny układ! Oliwa-inwestycja|979 000 zł|Gdańsk, |Oliwa| • 3 pokoje|69,04 m²|1/3|3||Nie|Wtórny|Na wyłączność|1920|16.04.2024|22.04.2024|morizon-24/PB/W/5|86|0|1|31.05.2024|Kamienica|Cegła|Miejskie||Do odświeżenia|Osobna|1|Tak|Nie|50 m²|Własność|||||Dobry|300 cm|4 m²|69 m²||||||
Wysoki standard, 3 pokoje, gotowe do zamieszkania|1 069 000 zł|Gdańsk, |Letnica, | • 3 pokoje|54,59 m²|4/7|7||Tak|Wtórny|Na wyłączność|2022|16.04.2024|19.04.2024|morizon-NN758293|24|0|||Blok Mieszkalny||Co Miejskie||||||||||||||||||||||
2 pokoje na Garnizonie! Wysoki standard|1 099 000 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje|47,54 m²|4/5|5|1|Tak|Wtórny||2014|09.04.2024|09.04.2024|morizon-PH703287|58|0|||Apartamentowiec||Co Miejskie||||||||||||||||||||||
Nad morzem 3 pokoje, wysoki standard wykończenia|1 160 000 zł|Gdańsk, |Letnica, | • 3 pokoje|64,77 m²|8/17|17|||Wtórny||2023|20.04.2024|19.04.2024|morizon-MG422560499|8|0|1||Blok Mieszkalny||Co Miejskie||||||||||||||||62,70 m²||||||
"Nowe 3 pokoje | osiedle Perspektywa Eurostyl"|1 165 500 zł|Gdańsk, |Siedlce, | • 3 pokoje|63 m²|3/6|6|2|Tak|Wtórny|Na wyłączność|2022|18.04.2024|22.04.2024|morizon-TC114783|25|0||05.09.2023|Apartamentowiec|Konstrukcja mieszana|Co Miejskie||||||||||||||||||||||
"Nowe wykończone 3 pokoje | Perspektywa Eurostyl"|1 230 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje|66,90 m²|3/4|4|2|Tak|Wtórny|Na wyłączność|2022|16.04.2024|22.04.2024|morizon-TC535980|39|0||05.09.2023|Apartamentowiec|Konstrukcja mieszana|Co Miejskie||||||||||||||||||||||
Prestiżowy apartament w Jelitkowie, Neptun Park|3 200 000 zł|Gdańsk, |Jelitkowo, | • 4 pokoje|82 m²|2/3|3|1|Tak|Wtórny||2010|28.12.2023|29.03.2024|morizon-500802|459|0|||Apartamentowiec||Co Miejskie||||||||||||||||||||||
Opis nieruchomości|1 270 015 zł|Gdańsk, |Oliwa, | • 2 pokoje|50,04 m²||3||Tak|Wtórny||2024|08.04.2024|08.04.2024|morizon-PH596656|41|0|||Apartamentowiec|Pustak|Co Miejskie||||||||||||||||||||||
Wygodny Apartament - Butikowa Inwestycja|1 271 668 zł|Gdańsk, |Śródmieście, | • 4 pokoje|68,04 m²|2/5|5|3|Tak|Pierwotny||2024|01.04.2024|09.04.2024|morizon-EC999011|37|0|||Apartamentowiec||||||||||||||||||||||||
Apartament Najwyższy Standard, Oliwa|1 441 632 zł|Gdańsk, |Oliwa, | • 3 pokoje|72,32 m²|1/3|3|2|Tak|Pierwotny||2023|20.03.2024|20.03.2024|morizon-476812|62|0|||Apartamentowiec||Co Miejskie||||||||||||||||||||||
"Apartament PREMIUM | 4 pokoje | 2 balkony | Garaż"|1 599 999 zł|Gdańsk, |Oliwa, | • 4 pokoje|81,24 m²|2/3|3||Tak|Pierwotny|Na wyłączność|2024|14.03.2024|14.03.2024|morizon-184|127|0|1|15.07.2024|Apartamentowiec|Zróżnicowany|Miejskie||Do wykończenia|Osobna|2|Nie|||Własność|||||Bardzo dobry|280 cm||||||||
"Neptun Park | Luksusowy apartament | Pas nadmorski"|1 999 000 zł|Gdańsk, |Jelitkowo, | • 2 pokoje|51,72 m²|1/4|4|1|Tak|Wtórny||2017|22.04.2024|22.04.2024|morizon-510018|1|0|1||Apartamentowiec||Co Miejskie||||||||||||||||||||||
Ostatni taki Penthouse z widokiem na morze|6 569 092 zł|Gdańsk, |Przymorze, | • 6 pokoi|220,68 m²|9/11|11||Tak|Wtórny|||20.04.2024|22.04.2024|morizon-163894|33|0|||Apartamentowiec||Co Miejskie||||||Tak||||||||||||||||
Funkcjonalne mieszkanie w świetnej lokalizacji|399 000 zł|Gdańsk, |Siedlce, | • 1 pokój|30,94 m²|9/10|10|||Wtórny||1977|08.04.2024|08.04.2024|morizon-R-542590|78|0||08.04.2024|Blok Mieszkalny||||||||||||||||||||||||
BALKON I POŁUDNIOWE I BEZ PROWIZJI I 4P|470 000 zł|Gdańsk, |Przymorze, | • 2 pokoje|38 m²|4/10|10||Tak|Wtórny||1975|11.04.2024|22.04.2024|morizon-PAN838873|87|0|||Falowiec|Wielka płyta|Co Miejskie||||||Nie||||||||||||||||
kawalerka blisko UG i OBC|478 000 zł|Gdańsk, |Strzyża, | • 1 pokój|32,60 m²|1/10|10||Tak|Wtórny|Na wyłączność|1982|18.03.2024|18.03.2024|morizon-TY548359|127|0|||Blok Mieszkalny||Co Miejskie||||||||||||||||||||||
"Centrum | Do remontu | Z potencjałem"|540 000 zł|Gdańsk, |Dolne Miasto, | • 2 pokoje|38 m²|2/3|3|||Wtórny|Na wyłączność|1920|07.03.2024|07.03.2024|morizon-12292/8653/OMS|174|0||14.03.2024|KAMIENICA|CEGŁA|PIEC||DO REMONTU|OTWARTA|||||WŁASNOŚĆ||||||300 cm||||||||
Blisko tramwaj, dwa niezależne pokoje|549 000 zł|Gdańsk, |Chełm, | • 2 pokoje|43,10 m²|1/5|5||Tak|Wtórny|Na wyłączność|2007|21.04.2024|21.04.2024|morizon-MG941387|23|0|1||Blok Mieszkalny||Co Miejskie||||||||||||||||||||||
Dwu poziomowe mieszkanie - Cichy Zakątek|555 940 zł|Gdańsk, |Jasień, | • 3 pokoje|58,52 m²|3/4|4|||Pierwotny||2024|06.04.2024|06.04.2024|morizon-HEX257084|70|0|2|30.03.2025|Blok Mieszkalny|Silikat|Co Miejskie||||||||||||||||||||||
świetnie zlokalizowane 3 pokojowe umeblowane|570 000 zł|Gdańsk, |Olszynka| • 3 pokoje|60,60 m²|1/1|1||Tak|Wtórny|Na wyłączność|2016|12.04.2024|19.04.2024|morizon-23/12590/OMS|63|0|2|12.04.2024|SEGMENT|BETON|C.O. GAZOWE||WYSOKI STANDARD|OTWARTA|1|Tak|Nie||WŁASNOŚĆ|||||Bardzo dobry|||||||||
Pokój hotelowy w GRANO,4*HOTEL NA WYSPIE SPICHRZÓW|620 000 zł|Gdańsk, |Stare Miasto, | • 1 pokój|27,31 m²|1/6|6|||Wtórny||2019|22.03.2024|25.03.2024|morizon-TY552634|114|0|||Apartamentowiec||Co Miejskie||||||||||||||||||||||
Urocze mieszkanie z ogródkiem * Spokojne osiedle|629 000 zł|Gdańsk, |Ujeścisko, | • 2 pokoje|45 m²||3|1||Wtórny||2018|19.04.2024|19.04.2024|morizon-WE539074|25|0|||Blok Mieszkalny||Co Miejskie||||||||||||||||||||||
"Gdańsk 2-pok | 5min od Motławy | Bez podatku PCC"|645 000 zł|Gdańsk, |Śródmieście, | • 2 pokoje|37 m²|1/4|4|||Wtórny||1960|04.04.2024|04.04.2024|morizon-25436/7649/OMS|51|0||03.04.2024|BLOK|CEGŁA|C.O. Z SIECI MIEJSKIEJ||WYSOKI STANDARD|ANEKS KUCHENNY|1||||SPÓŁDZIELCZE WŁASNOŚCIOWE||||||260 cm||||||||
4 pokoje w najwyższym standardzie! Cicha okolica|899 000 zł|Gdańsk, |Łostowice, | • 4 pokoje|82,83 m²|3/3|3||Tak|Wtórny||2022|05.04.2024|13.04.2024|morizon-PH968029|57|0|||Apartamentowiec||Co Miejskie||||||||||||||||||||||
2 pokoje na Garnizonie|899 000 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje|41,78 m²|1/5|5||Tak|Wtórny||2017|30.03.2024|07.04.2024|morizon-PH898649|79|0|||Apartamentowiec||Co Miejskie||||||||||||||||||||||
Twoje miejsce na Starym Mieście|998 000 zł|Gdańsk, |Główne Miasto, | • 2 pokoje|42,30 m²|3/4|4|1|Tak|Wtórny||1960|04.04.2024|17.04.2024|morizon-TC770798|33|0|2|04.04.2024|Kamienica|Cegła|Co Miejskie||||||||||||||||||||||
Opis nieruchomości|1 080 000 zł|Gdańsk, |Śródmieście, | • 2 pokoje|57,80 m²|3/7|7|1||Wtórny||2015|29.03.2024|06.04.2024|morizon-WE556665|95|0|||Apartamentowiec||Co Miejskie||||||||||||||||||||||
4 POKOJE DO WPROWADZENIA, 2 MIEJSCA POSTOJOWE|1 100 000 zł|Gdańsk, |Jasień, | • 4 pokoje|96,40 m²|7/8|8|3|Tak|Wtórny|||08.04.2024|08.04.2024|morizon-957521|82|0|1|08.04.2024|Blok Mieszkalny|Inne|||||||||||||||||||||||
Komfortowy apartament - Zamieszkaj lub zainwestuj|1 207 605 zł|Gdańsk, |Śródmieście, | • 3 pokoje|65,72 m²|1/5|5|2|Tak|Pierwotny||2024|01.04.2024|09.04.2024|morizon-EC760521|39|0|||Apartamentowiec||||||||||||||||||||||||
