Nazwa|Cena|Miasto|Dzielnica|Stan nieruchomości|Pow. całkowita|Piętro|Liczba pięter|Typ kuchni|łazienka razem z WC|Stolarka okienna|Depozyt za wynajem|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Balkon|Rok budowy|Liczba poziomów mieszkania|Liczba łazienek|Stan budynku|Pow. łazienki|Taras|Pow. ogródka|Liczba sypialni|Wysokość wnętrza|Pow. balkonu|Cena do negocjacji|Pow. tarasu|Pow. użytkowa|Dodatkowe koszty|Pow. loggii
Gdańsk - studio w samym centrum|2 500 zł|Gdańsk, |Stare Miasto, |Bardzo dobry|24 m²|1/4|4|Aneks|Tak|PCV|1000|Wtórny|05.03.2024|Inny|Na wyłączność|Inny|Inny|Inne|09.10.2023|10.04.2024|morizon-180|413|127||||||||||||||||
APARTAMENT salon + 2 sypialnie CHMIELNA 73 WYNAJMĘ|8 500 zł|Gdańsk, |Chmielna|Wysoki standard|75 m²|2/6|6|Aneks|Tak|||Wtórny|05.04.2024|||Apartamentowiec|||04.04.2024|04.04.2024|morizon-gratka-34171879|42|100|Tak|||||||||||||||
Apartament salon + 2 sypialnie ul. Sadowa 25 WYNAJMĘ|4 800 zł|Gdańsk, |Sadowa|Wysoki standard|69,76 m²|1/4|4|Aneks|Nie|||Wtórny|23.02.2024|||Apartamentowiec|Inny||23.02.2024|25.03.2024|morizon-gratka-33461237|409|100|Tak|2022||||||||||||||
Bezpośrednio wynajmę słoneczne 2 pokojowe na Zaspie. Umeblowane i wyposażone|2 985 zł|Gdańsk, |Zaspa, ||40 m²|3/4|4||Tak|||Wtórny|01.10.2023|Własność||Blok|Inna|Miejskie|28.02.2023|23.02.2024|morizon-2-14|3 023|60|Nie|2022|1|1|Bardzo dobry|||||||||||
Mieszkanie na wynajem/STOGI|2 000 zł|Gdańsk, |Stogi, |Dobry|37 m²|4/4|4|Osobna|Tak|||Wtórny|15.04.2024|||Blok|Wielka płyta||09.04.2024|10.04.2024|morizon-gratka-34224491|64|50||||||||||||||||
Mieszkanie dla rodziny z widokiem na morze|6 700 zł|Gdańsk, |Żabianka, |Wysoki standard|77 m²|7/10|10||Tak|||Wtórny|01.09.2024|||Blok|Beton||12.03.2024|12.04.2024|morizon-gratka-33716323|270|50|Tak|2011||||||||||||||
Bezpośrednio wynajmę 1 pokojowe. Słoneczne. Nowe meble i sprzęty AGD|2 422 zł|Gdańsk, |Zaspa, ||25 m²|3/4|4|Aneks|Tak|||Wtórny|22.08.2023|Własność||Blok|Inna||16.02.2022|01.03.2024|morizon-2-12|2 604|50|Nie|2022|1|1|Po remoncie|3,90 m²||||||||||
Nowe, wyposażone kawalerki, wysoki standard, k/SKM|2 850 zł|Gdańsk, |Przymorze, ||27,38 m²|1/5|5|Półotwarta||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|27.01.2024|22.03.2024|morizon-RR02057|423|35|Nie|2022||1|Bardzo dobry||Nie|||||||||
Bezpośrednio wynajmę 1 pokojowe z widokiem na zieleń. Umeblowane, z nowym AGD|2 322 zł|Gdańsk, |Zaspa, ||19,50 m²||4|Aneks|Tak|||Wtórny|01.10.2023|Własność|Na wyłączność|Blok|Inna|Miejskie|16.02.2022|06.04.2024|morizon-2-10|2 772|35|Nie|2022|1|1|Po remoncie|3,90 m²||19 m²||||||||
Bezpośrednio wynajmę 2 pokojowe mieszkanie. Nowe meble i sprzęty AGD|3 075 zł|Gdańsk, |Zaspa, ||40 m²||4||Tak|||Wtórny|01.01.2024|Własność|Na wyłączność|Blok|Inna|Miejskie|12.02.2022|06.04.2024|morizon-2-8|2 025|35|Nie|2022|1|1|Po remoncie|3,90 m²||43,63 m²||||||||
