Nazwa|Cena|Miasto|Dzielnica|Stan nieruchomości|Pow. całkowita|Piętro|Liczba pięter|Typ kuchni|łazienka razem z WC|Stolarka okienna|Depozyt za wynajem|Rynek|Dostępne od|Forma własności|Rodzaj umowy|Typ budynku|Materiał budowlany|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Balkon|Rok budowy|Liczba poziomów mieszkania|Liczba łazienek|Stan budynku|Pow. łazienki|Taras|Pow. ogródka|Liczba sypialni|Wysokość wnętrza|Pow. balkonu|Cena do negocjacji|Pow. tarasu|Pow. użytkowa|Dodatkowe koszty|Pow. loggii
Wynajmę 1-pok mieszkanie z widokiem na zieleń. Nowe budownictwo|2 477 zł|Gdańsk, |Zaspa, ||25 m²|4/4|4||Tak|||Wtórny|22.08.2023|Własność||Blok|Inna||12.02.2022|01.03.2024|morizon-2-4|3 158|35|Nie|2022|1|1|Po remoncie|3,90 m²||||||||||
Jasień 2-pokojowe z ogródkiem i parkingiem|2 200 zł|Gdańsk, |Jasień, |WYSOKI STANDARD|54 m²||4|ANEKS KUCHENNY||||Wtórny|||Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|09.01.2024|03.04.2024|morizon-8739/1621/OMW|585|27||2011||1||||||||||||
2 pokoje,z balkonem, miejsce parkingowe w cenie|3 000 zł|Gdańsk, |Lawendowe Wzgórze|BARDZO WYSOKI STANDARD|40 m²|4/4|4|ANEKS KUCHENNY||||Wtórny|23.01.2024||Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|19.01.2024|09.04.2024|morizon-8776/1621/OMW|253|27|Tak|2019||1||||||||||||
Letnica 3-pokojowy apartament + hala garażowa|4 300 zł|Gdańsk, |Letnica, |BARDZO WYSOKI STANDARD|67,84 m²|6/6|6|||||Wtórny||WŁASNOŚĆ|Na wyłączność|APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ|13.12.2023|09.03.2024|morizon-8711/1621/OMW|592|27|Tak|2023||1||||||||||||
Mieszkanie po remoncie w blisko UG w Gd Strzyża|2 800 zł|Gdańsk, |Strzyża, ||50,68 m²|1/3|3|||||Wtórny|02.01.2024||Na wyłączność|Kamienica|Cegła|Co Miejskie|28.11.2023|12.03.2024|morizon-TC626476|382|0|Tak|1954|1||||||2|||||||
Mieszkanie (54 m 2) dwupokojowe|3 800 zł|Gdańsk, |Wrzeszcz, |Bardzo dobry|54 m²|5/6|6|Aneks|Tak|||Wtórny|01.05.2024|Własność|Na wyłączność|Dom wielorodzinny|Beton|Miejskie|10.04.2024|10.04.2024|morizon-589414|50|26|Tak|2022|1||Bardzo dobry|||||300 cm||||||
"Nowoczesny i przestronny apartament | Letnica"|7 900 zł|Gdańsk, |Letnica, ||101,64 m²|2/16|16|||||Wtórny||||Blok Mieszkalny||Co Miejskie|18.02.2024|05.04.2024|morizon-204189|342|26|Tak|2021|1|||||||||||||
"Centrum Gdańska | do własnej aranżacji"|7 500 zł|Gdańsk, |Śródmieście, ||102,50 m²|6/6|6|||||Wtórny|20.02.2024||Na wyłączność|Apartamentowiec||Co Miejskie|20.02.2024|27.03.2024|morizon-848966|402|26||2013|1||||Tak||2|||||||
"Wysokość pomieszczeń 330 cm | SPA i basen"|9 900 zł|Gdańsk, |Śródmieście, ||71 m²|6/6|6|||||Wtórny||||Apartamentowiec||Co Miejskie|28.11.2023|27.03.2024|morizon-248667|647|26|Tak|2020|1||||Tak||2|||||||
Stylowy apartament w centrum Gdańska|5 500 zł|Gdańsk, |Śródmieście, ||59 m²|4/5|5|||||Wtórny|09.04.2024|||Apartamentowiec||Co Miejskie|08.04.2024|08.04.2024|morizon-241776|78|25|Tak|2019|1||||||2|||||||
Mieszkanie nad morzem w inwestycji Star Tower|4 200 zł|Gdańsk, |Letnica, ||56,50 m²|5/16|16|||||Wtórny|09.04.2024|||Apartamentowiec||Co Miejskie|08.04.2024|09.04.2024|morizon-545450|67|25|Tak|2021|1||||Tak||3|||||||
Komfortowe życie na osiedlu COMO|2 700 zł|Gdańsk, |Goska||32,94 m²|5/5|5|||||Wtórny|03.04.2024||Na wyłączność|Blok Mieszkalny||Co Miejskie|01.04.2024|05.04.2024|morizon-EC395566|124|25|Tak|2019|||||||1|||||||
Mieszkanie - Gdańsk|2 700 zł|Gdański, |Gdańsk, ||60,66 m²|2/4|4|Brak|Nie|||Wtórny||Własność|Na wyłączność||||19.03.2024|06.04.2024|morizon-H006209|356|25|Tak|2023||1|Bardzo dobry||Nie|||||||||
"Mieszkanie 3 Pokojowe | Balkon | Garaż - Przymorze | Marina Primore"|3 600 zł|Gdańsk, |Przymorze|Bardzo dobry|58 m²|5/7|7|Aneks kuchenny||||Wtórny||Własność|||||01.03.2024|08.03.2024|morizon-22942|607|25||2010||1||||||||||||
Mieszkanie - Gdańsk Orunia Górna|2 400 zł|Gdańsk, |Orunia Górna-Gdańsk Południe, |Bardzo dobry|50,40 m²|2/3|3|Półotwarta|Tak|||Wtórny||Własność||Blok||C.o. miejskie|09.03.2024|21.03.2024|morizon-BE0555|225|25|Tak|||1|Do zamieszkania||Nie|||||||||
Komfortowy apartament w centrum Gdańska|4 000 zł|Gdańsk, |Stara Stocznia||46,60 m²|5/6|6|||||Wtórny|08.11.2023||Na wyłączność|Apartamentowiec||Co Miejskie|27.10.2023|05.04.2024|morizon-EC411297|194|25|Tak|2018|1||||||1|||||||
Front Park, Sadowa 25 , Gdańsk, 2 pokojowy|3 300 zł|Gdańsk|||45 m²||3|Aneks|Tak|||Wtórny|18.03.2024||||||18.03.2024|10.04.2024|morizon-281|115|25||||1|||Tak|||||||||
Bezpośrednio, mieszkanie 1 pok. na Zaspie z ogródkiem. Umeblowane i wyposażone|2 322 zł|Gdańsk, |Zaspa, ||19,50 m²||4|Aneks|Tak|||Pierwotny|01.10.2023|Własność||Blok|Inna||10.02.2022|10.04.2024|morizon-2|2 149|25|Nie|2022|1|1|Po remoncie|||||||||||
Wynajmę 2-pok umeblowane, bez prowizji. Zieleń za oknem. Balkon|3 639 zł|Gdańsk, |Zaspa, ||39,86 m²|4/4|4|Aneks|Tak|||Wtórny|01.10.2023|Własność||Blok|Inna||16.02.2022|06.04.2024|morizon-2-11|5 685|25|Tak|2022|1|1|Po remoncie|3,90 m²||||||||||
Mieszkanie 4 pokojowe. Bezpośrednio. Zaspa. Wyposażone i umeblowane|4 654 zł|Gdańsk, |Zaspa, ||54,56 m²|2/4|4|Aneks|Tak|||Wtórny|01.10.2023|Własność||Blok|Inna||12.02.2022|06.04.2024|morizon-2-5|1 845|25|Nie|2022|1|1|Bardzo dobry|3,90 m²||||||||||
Kawalerka z balkonem w super lokalizacji-Garnizon|2 800 zł|Gdańsk, |Wrzeszcz, ||26 m²|2/5|5|Półotwarta||||Wtórny||Własność||||C.o. miejskie|10.02.2024|13.02.2024|morizon-RR02070|586|25|Tak|2019||1|Bardzo dobry||Nie|||||||||
Mieszkanie - Gdańsk|2 200 zł|Gdański, |Gdańsk, ||41,40 m²|3/4|4|Półotwarta||||Wtórny||Własność||||C.o. miejskie|20.01.2024|08.03.2024|morizon-BE0554|311|25|Tak|||1|Bardzo dobry||Nie||||4 m²|||||
Mieszkanie z malowniczym widokiem i halą garażową|2 800 zł|Gdańsk, |Piecki-Migowo, ||41 m²|3/3|3|||||Wtórny|Od zaraz||||||13.03.2024|06.04.2024|morizon-1538386722|716|25||||||||||||Tak||||
Bezpośrednio wynajmę słoneczne 1 pokojowe Gdańsk Zaspa. Wyposażone i umeblowane|2 477 zł|Gdańsk, |Zaspa, ||25 m²|4/4|4||Tak|||Wtórny|01.10.2023|Własność||Blok|Inna||12.02.2022|01.03.2024|morizon-2-3|2 059|25|Nie|2022|1|1|Po remoncie|3,90 m²||||||||||
Mieszkanie - Gdańsk Żabianka|2 200 zł|Gdańsk, |Żabianka, ||30 m²||10|Osobna||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|26.03.2024|05.04.2024|morizon-JU05064|67|20|Nie|||1|||Nie|||||||||
Mieszkanie - Gdańsk Wrzeszcz|3 000 zł|Gdańsk, |Wrzeszcz, ||46 m²|3/4|4|Półotwarta||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|13.03.2024|09.04.2024|morizon-JU05061|135|20|Tak|2021||1|Bardzo dobry||Nie|||||||||
Gdańsk, Sienna Grobla, studio|2 500 zł|Gdańsk, |Sienna Grobla, ||28 m²|1/4|4||Tak||500|Wtórny|18.03.2024||Na wyłączność||||18.03.2024|10.04.2024|morizon-280|122|20|Tak|||1||||||||||||
dwa pokoje,niedaleko centrum|1 900 zł|Gdańsk, |Orunia, ||36 m²||4|Osobna||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|12.03.2024|11.03.2024|morizon-ZA016468|232|20|Nie|||1|Bardzo dobry||Nie||||15 m²|||||
wynajmę mieszkanie|2 300 zł|Gdańsk, |Wrzeszcz, |Do wprowadzenia|50 m²|1/3|3|||Nowe PCV||Wtórny||||Blok||Miejskie|25.03.2024|25.03.2024|morizon-827858|398|19|Tak|1960||||||||||||||
3 pokoje, piwnica, miejsce postojowe|3 000 zł|M.gdańsk, |Gdańsk, ||56 m²|1/4|4|Półotwarta||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|10.04.2024|09.04.2024|morizon-ZA016491|39|10|Tak|||1|Bardzo dobry||Nie|||||||||
Atrakcyjne dwupokojowe mieszkanie / Młyny Gdańskie|3 200 zł|Gdańsk, |Siedlce, ||52 m²|2/3|3|Brak||||Wtórny||(Nieznany)||||C.o. miejskie|29.03.2024|05.04.2024|morizon-ZA016482|83|10|Tak|||1|||Nie|||||||||
Dwa pokoje , blisko środki komunikacji|2 500 zł|Gdańsk, |Stare Miasto, ||46 m²|1/4|4|Półotwarta||||Wtórny||Własność||||C.o. miejskie|03.04.2024|02.04.2024|morizon-ZA016484|95|10|Nie|||1|Dobry||Nie|||||||||
Mieszkanie dla singla lub pary, blisko parku,plaży|2 800 zł|Gdańsk, |Przymorze, ||56 m²||4|Półotwarta||||Wtórny||Własność||||C.o. miejskie|06.03.2024|06.03.2024|morizon-ZA016451|195|10|Nie|2004||1|Bardzo dobry||Tak|||||||||
Mieszkanie - Gdańsk Stare Miasto|2 800 zł|Gdańsk, |Stare Miasto, ||43 m²|1/4|4|Półotwarta||||Wtórny||Własność||||C.o. miejskie|14.02.2024|13.02.2024|morizon-ZA016418|200|10|Nie|||1|Dobry||Nie|||||||||
***3 pokoje/Gdańsk Morena/Nowe budownictwo***|3 800 zł|Gdańsk, |Ferdynanda Magellana||55 m²|||||||Wtórny|||||||16.03.2024|11.04.2024|morizon-93/5952/OMW|224|9||||||||||||||||
"Słoneczne mieszkanie z balkonem | miejsce w hali"|2 800 zł|Gdańsk, |Jacka Malczewskiego||45 m²|2/4|4|||||Wtórny|18.03.2024|||Blok Mieszkalny||Co Miejskie|01.03.2024|11.04.2024|morizon-FPO587114|329|7|Tak|2013|||||||1|||||||
Stylowe, 2-pok. mieszkanie, wysoki sufit + balkon|2 200 zł|Gdańsk, |Łostowice, ||38 m²|4/4|4|ANEKS KUCHENNY||||Wtórny|08.03.2024||Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|18.02.2024|12.04.2024|morizon-45254/2089/OMW|206|6|Tak|2022||1||||||||||||
Apartament na osiedlu Aura - na Wyspie Spichrzów|3 000 zł|Gdańsk, |Stare Przedmieście, ||43 m²|5/7|7|||||Wtórny|01.05.2024||Na wyłączność|Apartamentowiec||Co Miejskie|05.04.2024|05.04.2024|morizon-NIK697413|52|6|Tak|2012|||||||1|||||||
Mieszkanie 2 pok.Gdańsk Śródmieście/Stare Miasto ul.Grobla I|2 490 zł|Gdańsk, |Śródmieście, |Bardzo dobry|25,30 m²|1/3|3|Aneks|Tak|||Wtórny||Własność||Kamienica|Cegła||19.03.2024|07.04.2024|morizon-112|86|5|Nie|1950|1|1|Bardzo dobry||Nie|||||||||
Mieszkanie przy Garnizonie, miejsce parkingowe|2 600 zł|Gdańsk, |Wrzeszcz, |DOBRY|49 m²|1/3|3|Z OKNEM||||Wtórny|01.02.2024|WŁASNOŚĆ||KAMIENICA|CEGŁA|C.O. Z SIECI MIEJSKIEJ|10.01.2024|11.02.2024|morizon-188/3071/OMW|506|5|Tak|1960||1||||||||||||
Kawalerka / Blisko Tramwaj / Wyposażone|2 000 zł|Gdańsk, |Jasień, ||30,32 m²|5/5|5|||||Wtórny|||Na wyłączność|Blok Mieszkalny|||13.03.2024|09.04.2024|morizon-MG543675|201|4|Tak|2014||||||||||||||
Mieszkanie - Gdańsk Rębowo|2 300 zł|Gdańsk, |Rębowo, ||50 m²||4|Osobna||||Wtórny||Własność|Na wyłączność|||C.o. miejskie|03.04.2024|02.04.2024|morizon-HA015375|67|0|Tak|2008||1|Bardzo dobry||Nie|||||||||
Jelitkowski Dwór. Blisko plaży/Mola|3 700 zł|Gdański, |Gdańsk, ||72 m²|1/2|2|Osobna|Nie|||Wtórny||Własność||||C.o. miejskie|26.03.2024|26.03.2024|morizon-HA015371|117|0|Tak|2004||1|Bardzo dobry||Nie||||7 m²|||||
od 1 czerwca - blisko skm Przymorze, uniwersytet|2 200 zł|Gdańsk, |Przymorze, ||27 m²|3/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny||Co Miejskie|02.04.2024|08.04.2024|morizon-NIK655095|91|2||1980||||||||||||||
ul. Hynka 2-pokoje Apartament z widokiem + garaż|3 000 zł|Gdańsk, |Zaspa, |BARDZO WYSOKI STANDARD|45,47 m²|12/17|17|Z OKNEM||||Wtórny|||Na wyłączność|APARTAMENTOWIEC||C.O. Z SIECI MIEJSKIEJ|02.04.2024|12.04.2024|morizon-7574/1621/OMW|108|2|Tak|2021||1||||||||||||
Jasień 2-pokoje+garaż. Dla singla lub pary od 1.05|2 400 zł|Gdańsk, |Jasień, |BARDZO WYSOKI STANDARD|42 m²|1/4|4|ANEKS KUCHENNY||||Wtórny||WŁASNOŚĆ|Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|03.04.2024|03.04.2024|morizon-7941/1621/OMW|112|2|Tak|2021||1||||||||||||
Gdańsk Morena, 3pokoje, komunikacja, hala, komórka|3 000 zł|Gdańsk, |Morena, |BARDZO WYSOKI STANDARD|68 m²|3/12|12|||||Wtórny|||Na wyłączność|||C.O. Z SIECI MIEJSKIEJ|28.03.2024|11.04.2024|morizon-6985/1621/OMW|213|2|Tak|2020||||||||||||||
Kłoczkowskiego,3 pokoje z parkingiem oraz piwnicą|2 600 zł|Gdańsk, |Wacława Kłoczkowskiego|WYSOKI STANDARD|57 m²|2/4|4|ANEKS KUCHENNY||||Wtórny|05.04.2024||Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|08.04.2024|11.04.2024|morizon-8933/1621/OMW|61|2|Tak|2006||||||||||||||
Apartament 50m2 - przy Motławie - długoterminowo|3 500 zł|Gdańsk, |Śródmieście, ||50 m²|4/6|6|||||Wtórny|||Na wyłączność|Apartamentowiec||Co Miejskie|10.04.2024|12.04.2024|morizon-NIK687226|26|2|Tak|2020||||||||||||||
3-pokoje Suchanino Po remoncie / od 1 maja|2 800 zł|Gdańsk, |Suchanino, |WYSOKI STANDARD|56 m²|1/10|10|ODDZIELNA||||Wtórny||SPÓŁDZIELCZE WŁASNOŚCIOWE|Na wyłączność|WIEŻOWIEC|WIELKA PŁYTA|C.O. Z SIECI MIEJSKIEJ|18.03.2024|27.03.2024|morizon-8650/1621/OMW|198|2|Tak|1978||1||||||||||||
ul. Leskiego 2-pokojowe z piwnicą i parkingiem|2 100 zł|Gdańsk, |Jasień, |WYSOKI STANDARD|42 m²|3/4|4|ANEKS KUCHENNY||||Wtórny|||Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|22.03.2024|31.03.2024|morizon-8905/1621/OMW|235|2|Tak|2013||1||||||260 cm||||||
Gdańsk Oliwa ul. Spacerowa, po remoncie, 2 pok|3 000 zł|Gdańsk, |Oliwa, ||63,08 m²|1/1|1|||||Wtórny|||||||04.04.2024|05.04.2024|morizon-8491/1621/OMW|124|2||1950||||||||||||||
Rezerwacja - Borkowo, Kasztanowa|1 600 zł|Gdańsk, |Łostowice||21 m²||1|||||Wtórny|||Na wyłączność|Historyczny/zabytkowy|Cegła|Gazowe|25.03.2024|12.04.2024|morizon-NIK140689|331|2||2022||||||||||||||
Letnica 2 pokoje z widokiem, hala garażowa|2 400 zł|Gdańsk, |Letnica, ||40 m²|8/17|17|||||Wtórny|01.04.2024||Na wyłączność|APARTAMENTOWIEC|||01.03.2024|04.04.2024|morizon-7970/1621/OMW|529|2||2021||||||||||||||
ul. Św Barbary. Kawalerka dla Singla lub pary|2 600 zł|Gdańsk, |Śródmieście, ||35 m²|5/6|6|||||Wtórny|||Na wyłączność||||08.03.2024|31.03.2024|morizon-8372/1621/OMW|253|2||2019||||||||||||||
Dla singla lub pary - duża kawalerka z kominkiem|1 900 zł|Gdańsk, |Ujeścisko, ||40 m²|Suterena/2|2|||||Wtórny|||Na wyłączność|Blok Mieszkalny|Pustak|Co Własne|25.03.2024|12.04.2024|morizon-804715|200|2||||||||||||||||
Słoneczne 2 pokoje! Balkon! Szlaban! Chełm|2 300 zł|Gdańsk, |Nieborowska|WYSOKI STANDARD|46,90 m²|3/3|3|ODDZIELNA||||Wtórny|||Na wyłączność|NISKI BLOK|YTONG|C.O. Z SIECI MIEJSKIEJ|03.02.2024|12.04.2024|morizon-8809/1621/OMW|444|2|Tak|2001||1||||||265 cm||||||
ul. Cedrowa 2-pokoje +hala garażowa +piwnica|2 300 zł|Gdańsk, |Ujeścisko-Łostowice, |BARDZO WYSOKI STANDARD|38,62 m²|2/3|3|ANEKS KUCHENNY||||Wtórny||WŁASNOŚĆ|Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|23.02.2024|27.03.2024|morizon-8851/1621/OMW|372|2|Tak|2017||1||||||260 cm||||||
Komfortowe mieszkanie 2 pokojowe na wynajem|2 600 zł|Gdańsk, |Kartuska||36 m²|3/3|3|||||Wtórny|25.09.2023||Na wyłączność|Blok Mieszkalny||Co Miejskie|27.09.2023|11.04.2024|morizon-ON423247|688|2|Tak|2020|1||||||1|||||||
Starogardzka 65, 2 pokoje z parkingiem i piwnicą|2 000 zł|Gdańsk, |Starogardzka|BARDZO WYSOKI STANDARD|35 m²|3/4|4|||||Wtórny|11.03.2024||Na wyłączność|NISKI BLOK||C.O. Z SIECI MIEJSKIEJ|11.03.2024|02.04.2024|morizon-8886/1621/OMW|563|2|Tak|2015||||||||||||||
Lawendowe Wzgórze 2-pokoje + parking w hali|2 300 zł|Gdańsk, |Jasień, |WYSOKI STANDARD|36,74 m²|1/6|6|||||Wtórny|||Na wyłączność|BLOK||C.O. Z SIECI MIEJSKIEJ|05.02.2024|27.03.2024|morizon-8804/1621/OMW|551|2|Tak|2021||||||||||||||
Nowe budownictwo,ul. Kliniczna,świetna komunikacja|2 300 zł|Gdańsk, |Kliniczna||26 m²|1/3|3|||||Wtórny|01.04.2024||Na wyłączność|NISKI BLOK|||08.03.2024|12.04.2024|morizon-7321/1621/OMW|248|2|Tak|2021||||||||||||||
2 duże, słoneczne pokoje na Ujeścisku|2 400 zł|Gdańsk, |Ujeścisko, ||45,50 m²|5/5|5|||||Wtórny|||Na wyłączność||||02.04.2024|04.04.2024|morizon-215948|123|2|Tak|2000|1||||||1|||||||
Mieszkanie - Gdańsk Jasień|2 500 zł|Gdańsk, |Jasień, ||37,21 m²|5/6|6|Półotwarta||||Wtórny|01.03.2024|Własność|Na wyłączność|||C.o. miejskie|01.11.2023|19.02.2024|morizon-MO04036|546|2|Tak|2021||1|Bardzo dobry||Nie|||||||||
Stylowy apartament w prestiżowej lokalizacji|5 000 zł|Gdańsk, |Śródmieście, ||51 m²||5|||||Wtórny|03.04.2024|||Apartamentowiec||Co Miejskie|04.04.2024|04.04.2024|morizon-663576|53|1||2018|1||||Tak||1|||||||
Eleganckie mieszkanie z pięknym widokiem Albatross|4 600 zł|Gdańsk, |Przymorze, ||60 m²|17/17|17|||||Wtórny||||Apartamentowiec|Konstrukcja mieszana|Co Miejskie|10.04.2024|11.04.2024|morizon-PAN486146|24|1|Tak|||||||||||||||
Mieszkanie - Gdańsk Śródmieście|4 900 zł|Gdańsk, |Główne Miasto, ||74 m²|5/5|5|||||Wtórny||||Apartamentowiec||Co Miejskie|09.04.2024|09.04.2024|morizon-423280|33|1|Nie|2010|1||||Tak||2|||||||
2 Pok. Mieszkanie na Jasieniu|2 400 zł|Gdańsk, |Jasień, ||50 m²|3/4|4|||||Wtórny||||Blok Mieszkalny|Inne|Co Miejskie|08.04.2024|10.04.2024|morizon-PAN247351|37|1|Tak|||||||||||||||
Apartament typu studio (31 m 2) w samym centrum mi|2 850 zł|Gdańsk, |Główne Miasto, ||31 m²|5/5|5|||||Wtórny|01.04.2024|||Apartamentowiec|Konstrukcja żelbetowa|Co Miejskie|20.03.2024|06.04.2024|morizon-392678|164|1|Tak|2019|1||||Nie||1|||||||
Mieszkanie 3 pokojowe + miejsce w hali garażowej|3 600 zł|Gdańsk, |Jasień, ||68,71 m²|2/3|3|||||Wtórny|15.04.2024||Na wyłączność|Blok Mieszkalny|YTong|Co Miejskie|20.03.2024|10.04.2024|morizon-PAN873254|165|1|Tak|2012||||||||||||||
Klimatyczne mieszkanie w kamienicy|5 000 zł|Gdańsk, |Śródmieście, ||63 m²|1/4|4|||||Wtórny|12.03.2024||Na wyłączność|Kamienica||Gazowe|21.03.2024|10.04.2024|morizon-386607|145|1|Tak|1920|1||||||2|||||||
"Wzgórze Focha | Pełne wyposażenie | Od zaraz"|3 000 zł|Gdańsk, |Aniołki, ||67 m²|2/4|4|||||Wtórny||||Apartamentowiec||Co Miejskie|14.03.2024|02.04.2024|morizon-890603904|186|1|Tak|2012|1||||||1|||||||
Garnizon - nowe mieszkanie z miejscem postojowym|4 000 zł|Gdańsk, |Wrzeszcz Górny, ||38 m²|2/6|6|||||Wtórny|18.03.2024||Na wyłączność|Blok Mieszkalny||Co Miejskie|18.03.2024|11.04.2024|morizon-571642|167|1|Tak|2023|1|||||||||||||
W pełni wyposażone mieszkanie nad morzem|4 500 zł|Gdańsk, |Letnica, ||68,07 m²|4/5|5|||||Wtórny|01.04.2024|||Blok Mieszkalny||Co Miejskie|21.03.2024|09.04.2024|morizon-719696|128|1|Tak|2022|1||||||2|||||||
"Blisko Uczelni |Świetna Komunikacja |Cicha Okolica"|2 500 zł|Gdańsk, |Zaspa, ||31 m²|2/10|10|||||Wtórny|||Na wyłączność|Blok Mieszkalny|Wielka płyta|Co Miejskie|26.03.2024|03.04.2024|morizon-PAN888934|129|1|Tak|1978|||||Nie|||||||||
Funkcjonalne mieszkanie dla pary|2 850 zł|Gdańsk, |Letnica, ||38,48 m²|10/17|17|||||Wtórny|||Na wyłączność|Apartamentowiec|YTong|Co Miejskie|06.03.2024|11.04.2024|morizon-PAN918884|149|1|Tak||||||Nie|||||||||
Garnizon- nowe 2 pokoje|3 500 zł|Gdańsk, |Wrzeszcz, ||45 m²|2/4|4|||||Wtórny|||Na wyłączność|Blok Mieszkalny|Pustak|Co Miejskie|30.03.2024|08.04.2024|morizon-PAN520454|83|1|Tak|||||||||||||||
Słoneczne mieszkanie (68 m 2) trzy pokojowe|3 800 zł|Gdańsk, |Jasień, |Bardzo dobry|68 m²|1/4|4|Aneks|Tak|||Wtórny|01.06.2024|Własność|Na wyłączność|Dom wielorodzinny|Beton|Miejskie|05.04.2024|05.04.2024|morizon-322748|37|1|Tak|2009|1|1|Bardzo dobry|||||300 cm||||||
