,Unnamed: 0,Nazwa,Cena,Miasto,Dzielnica_N,Dzielnica_Oryg,Pokoje,Stan nieruchomości,Pow. całkowita,Wysokość wnętrza,Piętro,Liczba pięter,Liczba sypialni,Typ kuchni,łazienka razem z WC,Balkon,Stolarka okienna,Depozyt za wynajem,Dodatkowe koszty,Rynek,Forma własności,Rodzaj umowy,Typ budynku,Data dodania,Aktualizacja,Numer ogłoszenia,Liczba odsłon,Liczba Punktów Podbić,Liczba łazienek,Pow. balkonu,Taras,Pow. loggii,Rok budowy,Stan budynku,Ogrzewanie,Dostępne od,Materiał budowlany,Liczba poziomów mieszkania,Pow. łazienki,Pow. tarasu,Pow. ogródka,Pow. użytkowa,Cena do negocjacji,Typ oferty,Inwestycja,Typ nieruchomości,Typ domu,Lokalizacja garażu,Pow. działki
0,0,Opis nieruchomości,2 500 zł,Gdańsk,Gdańsk,"Gdańsk, ", • 2 pokoje,Bardzo dobry,41 m²,255 cm,3,3,1.0,Aneks kuchenny - połączony z salonem,Tak,Tak,PCV,3000.0,500.0,Wtórny,Jeden właściciel,Na wyłączność,Blok,02.04.2024,19.04.2024,morizon-WST-MW-606-2,150,102,,,,,,,,,,,,,,,,Najmu,,,,,
1,1,"PRZYTULNE 2 POK. SUPER LOKALIZACJA, OSIEDLE \'ORO\'",3 500 zł,Gdańsk,Oliwa,"Oliwa, ", • 2 pokoje,,40 m²,,4,7,,Półotwarta,,Nie,,,,Wtórny,Własność,,,18.04.2024,17.04.2024,morizon-IF04224,84,101,1.0,6 m²,Nie,6 m²,2021.0,Wysoki standard,C.o. miejskie,,,,,,,,,Najmu,,,,,
2,2,APARTAMENT salon + 2 sypialnie CHMIELNA 73 WYNAJMĘ,8 500 zł,Gdańsk,Śródmieście,Chmielna, • 3 pokoje,Wysoki standard,75 m²,,2,6,,Aneks,Tak,Tak,,,,Wtórny,,,Apartamentowiec,04.04.2024,04.04.2024,morizon-gratka-34171879,128,100,,,,,,,,05.04.2024,,,,,,,,Najmu,,,,,
3,3,Apartament salon + 2 sypialnie ul. Sadowa 25 WYNAJMĘ,4 800 zł,Gdańsk,Śródmieście,Sadowa, • 3 pokoje,Wysoki standard,"69,76 m²",,1,4,,Aneks,Nie,Tak,,,,Wtórny,,,Apartamentowiec,23.02.2024,25.03.2024,morizon-gratka-33461237,493,100,,,,,2022.0,,,23.02.2024,Inny,,,,,,,Najmu,,,,,
4,4,"mieszkanie 3 pokojowe 64m.kw. Wiszące Ogrody, Gdańsk, ul.Przytulna",3 200 zł,Gdańsk,Jasień,Przytulna 24, • 3 pokoje,,"63,70 m²",,2,4,,Aneks,Nie,Tak,,,,Wtórny,,,Blok,15.04.2024,15.04.2024,morizon-gratka-34289265,99,50,,,,,,,,15.04.2024,,,,,,,,Najmu,,,,,
5,5,"NOWE mieszkanie 3 pokojowe 54m2, Gdańsk Jasień, od zaraz wynajmę",3 300 zł,Gdańsk,Jasień,"Jasień, ", • 3 pokoje,Wysoki standard,54 m²,,1,3,,Aneks,Tak,Tak,,,,Wtórny,,,Blok,17.03.2024,17.04.2024,morizon-gratka-33803631,350,50,,,,,2024.0,,,17.03.2024,Silikat,,,,,,,Najmu,,,,,
6,6,"Wyjątkowe mieszkanie na ekskluzywnym osiedlu, dwa miejsca parkingowe",9 000 zł,Gdańsk,Oliwa,"Oliwa, ", • 5 pokoi,Wysoki standard,110 m²,,2,3,,Aneks,Tak,,,,,Wtórny,,,Apartamentowiec,22.03.2024,22.04.2024,morizon-gratka-33906967,207,50,,,Tak,,2011.0,,,01.08.2024,,,,,,,,Najmu,,,,,
7,7,NOWE 2-pokojowe mieszkanie GDAŃSK SZCZĘŚLIWA,2 800 zł,Gdańsk,Jasień,"Jasień, ", • 2 pokoje,Wysoki standard,"43,68 m²",,4,4,,Aneks,Nie,Tak,,,,Wtórny,,,Blok,20.03.2024,20.04.2024,morizon-gratka-33861057,322,50,,,,,2023.0,,,20.03.2024,Beton,,,,,,,Najmu,,,,,
8,8,Kawalerka na wynajem Gdańsk,2 100 zł,Gdańsk,Gdańsk,, • 1 pokój,Wysoki standard,35 m²,,2,3,,,Tak,,,,,Wtórny,,,Apartamentowiec,19.03.2024,19.04.2024,morizon-gratka-18422941,481,50,,,,,2010.0,,,28.02.2022,Pustak,,,,,,,Najmu,,,,,
9,9,Kawalerka w Sródmieściu Gdańska,1 999 zł,Gdańsk,Śródmieście,Łagiewniki, • 1 pokój,Wysoki standard,40 m²,,1,4,,,Tak,,,,,Wtórny,,,Blok,21.03.2024,21.04.2024,morizon-gratka-33888497,188,50,,,,,,,,06.04.2024,,,,,,,,Najmu,,,,,
