,Unnamed: 0,Nazwa,Cena,Miasto,Dzielnica_N,Dzielnica_Oryg,Pokoje,Stan nieruchomości,Pow. całkowita,Wysokość wnętrza,Piętro,Liczba pięter,Liczba sypialni,Typ kuchni,łazienka razem z WC,Balkon,Stolarka okienna,Depozyt za wynajem,Dodatkowe koszty,Rynek,Forma własności,Rodzaj umowy,Typ budynku,Data dodania,Aktualizacja,Numer ogłoszenia,Liczba odsłon,Liczba Punktów Podbić,Liczba łazienek,Pow. balkonu,Taras,Pow. loggii,Rok budowy,Stan budynku,Ogrzewanie,Dostępne od,Materiał budowlany,Liczba poziomów mieszkania,Pow. łazienki,Pow. tarasu,Pow. ogródka,Pow. użytkowa,Cena do negocjacji,Typ oferty,Inwestycja,Typ nieruchomości,Typ domu,Lokalizacja garażu,Pow. działki
10,10,Kawalerka w centrum Gdańska,2 500 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 2 pokoje,,30 m²,,4,4,,,,,,,,Wtórny,,,Kamienica,19.04.2024,19.04.2024,morizon-gratka-34341033,52,50,,,,,,,,,,,,,,,,Najmu,,,,,
11,11,"Nowe, wyposażone kawalerki, wysoki standard, k/SKM",2 850 zł,Gdańsk,Przymorze,"Przymorze, ", • 1 pokój,,"27,38 m²",,1,5,,Półotwarta,,Nie,,,,Wtórny,Własność,Na wyłączność,,27.01.2024,22.03.2024,morizon-RR02057,566,35,1.0,,Nie,,2022.0,Bardzo dobry,C.o. miejskie,,,,,,,,,Najmu,,,,,
12,12,Kawalerka z balkonem w super lokalizacji-Garnizon,2 800 zł,Gdańsk,Wrzeszcz,"Wrzeszcz, ", • 1 pokój,,26 m²,,2,5,,Półotwarta,,Tak,,,,Wtórny,Własność,,,10.02.2024,13.02.2024,morizon-RR02070,713,35,1.0,,Nie,,2019.0,Bardzo dobry,C.o. miejskie,,,,,,,,,Najmu,,,,,
13,13,Słoneczne 2 pokoje! Balkon! Szlaban! Chełm,2 300 zł,Gdańsk,Chełm,Nieborowska, • 2 pokoje,WYSOKI STANDARD,"46,90 m²",265 cm,3,3,,ODDZIELNA,,Tak,,,,Wtórny,,Na wyłączność,NISKI BLOK,03.02.2024,22.04.2024,morizon-8809/1621/OMW,581,27,1.0,,,,2001.0,,C.O. Z SIECI MIEJSKIEJ,,YTONG,,,,,,,Najmu,,,,,
14,14,3 pokoje po generalnym remoncie. Blisko centrum,3 500 zł,Gdańsk,Siedlce,"Siedlce, ", • 3 pokoje,,"56,12 m²",,9,10,2.0,,,Tak,,,,Wtórny,,Na wyłączność,Wieżowiec,01.12.2023,16.04.2024,morizon-TC765669,282,27,,,,,,,Co Miejskie,,Wielka płyta,1.0,,,,,,Najmu,,,,,
15,15,Jasień 2-pokojowe z ogródkiem i parkingiem,2 200 zł,Gdańsk,Jasień,"Jasień, ", • 2 pokoje,WYSOKI STANDARD,54 m²,,1,4,,ANEKS KUCHENNY,,,,,,Wtórny,,Na wyłączność,NISKI BLOK,09.01.2024,14.04.2024,morizon-8739/1621/OMW,828,27,1.0,,,,2011.0,,C.O. Z SIECI MIEJSKIEJ,,,,,,,,,Najmu,,,,,
16,16,Mieszkanie (54 m 2) dwupokojowe,3 800 zł,Gdańsk,Wrzeszcz,"Wrzeszcz, ", • 2 pokoje,Bardzo dobry,54 m²,300 cm,5,6,,Aneks,Tak,Tak,,,,Wtórny,Własność,Na wyłączność,Dom wielorodzinny,10.04.2024,10.04.2024,morizon-589414,185,26,,,,,2022.0,Bardzo dobry,Miejskie,01.05.2024,Beton,1.0,,,,,,Najmu,,,,,
17,17,Centrum Gdańska | do własnej aranżacji,7 500 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 3 pokoje,,"102,50 m²",,6,6,2.0,,,,,,,Wtórny,,Na wyłączność,Apartamentowiec,20.02.2024,27.03.2024,morizon-848966,481,26,,,Tak,,2013.0,,Co Miejskie,20.02.2024,,1.0,,,,,,Najmu,,,,,
18,18,Wysokość pomieszczeń 330 cm | SPA i basen,9 900 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 3 pokoje,,71 m²,,6,6,2.0,,,Tak,,,,Wtórny,,,Apartamentowiec,28.11.2023,15.04.2024,morizon-248667,730,26,,,Tak,,2020.0,,Co Miejskie,,,1.0,,,,,,Najmu,,,,,
19,19,Stylowy apartament w centrum Gdańska,5 500 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 3 pokoje,,59 m²,,4,5,2.0,,,Tak,,,,Wtórny,,,Apartamentowiec,08.04.2024,08.04.2024,morizon-241776,195,25,,,,,2019.0,,Co Miejskie,09.04.2024,,1.0,,,,,,Najmu,,,,,
20,20,Mieszkanie nad morzem w inwestycji Star Tower,4 200 zł,Gdańsk,Letnica,"Letnica, ", • 4 pokoje,,"56,50 m²",,5,16,3.0,,,Tak,,,,Wtórny,,,Apartamentowiec,08.04.2024,09.04.2024,morizon-545450,181,25,,,Tak,,2021.0,,Co Miejskie,09.04.2024,,1.0,,,,,,Najmu,,,,,
21,21,Komfortowe życie na osiedlu COMO,2 700 zł,Gdańsk,Jasień,Goska, • 2 pokoje,,"32,94 m²",,5,5,1.0,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,01.04.2024,05.04.2024,morizon-EC395566,280,25,,,,,2019.0,,Co Miejskie,03.04.2024,,,,,,,,Najmu,,,,,
22,22,"Zadbane, klimatyczne mieszkanie z 2 sypialniami, miejscem parkingowym i piwnicą",2 800 zł,Gdańsk,Jasień,"Jasień, ", • 3 pokoje,Bardzo dobry,"48,15 m²",260 cm,2,4,,Aneks,Tak,Tak,,,,Wtórny,Własność,Na wyłączność,Blok,11.04.2024,19.04.2024,morizon-665-3,180,25,1.0,,,,2015.0,Bardzo dobry,Miejskie,,,,,,,,,Najmu,,,,,
23,23,Gdańsk SZAFARNIA 2 pikoje z widokiem na Motławę,4 000 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 2 pokoje,,59 m²,,2,4,,Półotwarta,,Nie,,,,Wtórny,(Nieznany),,,23.03.2024,19.04.2024,morizon-ML01130,202,25,,,Nie,,2011.0,,C.o. miejskie,,,,,,,,,Najmu,,,,,
24,24,Mieszkanie - Gdańsk,2 700 zł,Gdańsk,Gdańsk,"Gdańsk, ", • 3 pokoje,,"60,66 m²",,2,4,,Brak,Nie,Tak,,,,Wtórny,Własność,Na wyłączność,,19.03.2024,06.04.2024,morizon-H006209,590,25,1.0,,Nie,,2023.0,Bardzo dobry,,,,,,,,,,Najmu,,,,,
25,25,Duży salon z aneksem kuchennym w sercu Wrzeszcza- WOLNE od 01.05-,2 700 zł,Gdańsk,Wrzeszcz,"Wrzeszcz, ", • 1 pokój,Bardzo dobry,37 m²,,3,7,,Aneks,Tak,Nie,,,,Wtórny,Własność,Na wyłączność,Apartamentowiec,09.04.2024,09.04.2024,morizon-651-1,147,25,1.0,,Nie,,2023.0,Bardzo dobry,Miejskie,,,,,,,,,Najmu,,,,,
26,26,Opis nieruchomości,2 350 zł,Gdańsk,Gdańsk,"Gdańsk, ", • 2 pokoje,Do wprowadzenia,35 m²,250 cm,1,3,1.0,Aneks kuchenny - połączony z salonem,,Tak,PCV,,,Wtórny,,,Blok,27.03.2024,19.04.2024,morizon-WST-MW-605-2,222,25,,,,,2019.0,,C.O. miejskie,,,,,,,,,Najmu,,,,,
27,27,Mieszkanie 3 Pokojowe | Balkon | Garaż - Przymorze | Marina Primore,3 600 zł,Gdańsk,Przymorze,Przymorze, • 3 pokoje,Bardzo dobry,58 m²,,5,7,,Aneks kuchenny,,,,,,Wtórny,Własność,,,01.03.2024,08.03.2024,morizon-22942,740,25,1.0,,,,2010.0,,,,,,,,,,,Najmu,,,,,
28,28,Komfortowy apartament w centrum Gdańska,4 000 zł,Gdańsk,Śródmieście,Stara Stocznia, • 2 pokoje,,"46,60 m²",,5,6,1.0,,,Tak,,,,Wtórny,,Na wyłączność,Apartamentowiec,27.10.2023,05.04.2024,morizon-EC411297,277,25,,,,,2018.0,,Co Miejskie,08.11.2023,,1.0,,,,,,Najmu,,,,,
29,29,"2 pokoje,z balkonem, miejsce parkingowe w cenie",3 000 zł,Gdańsk,Jasień,Lawendowe Wzgórze, • 2 pokoje,BARDZO WYSOKI STANDARD,40 m²,,4,4,,ANEKS KUCHENNY,,Tak,,,,Wtórny,,Na wyłączność,NISKI BLOK,19.01.2024,22.04.2024,morizon-8776/1621/OMW,376,25,1.0,,,,2019.0,,C.O. Z SIECI MIEJSKIEJ,23.01.2024,,,,,,,,Najmu,,,,,
30,30,Gdańsk - studio w samym centrum,2 500 zł,Gdańsk,Śródmieście,"Stare Miasto, ", • 1 pokój,Bardzo dobry,24 m²,,1,4,,Aneks,Tak,,PCV,1000.0,,Wtórny,Inny,Na wyłączność,Inny,09.10.2023,10.04.2024,morizon-180,576,25,,,,,,,Inne,05.03.2024,Inny,,,,,,,Najmu,,,,,
31,31,Bezpośrednio wynajmę słoneczne 2 pokojowe na Zaspie. Umeblowane i wyposażone,2 985 zł,Gdańsk,Zaspa,"Zaspa, ", • 2 pokoje,,40 m²,,3,4,,,Tak,Nie,,,,Wtórny,Własność,,Blok,28.02.2023,23.02.2024,morizon-2-14,3 223,25,1.0,,,,2022.0,Bardzo dobry,Miejskie,01.10.2023,Inna,1.0,,,,,,Najmu,,,,,
32,32,Bezpośrednio wynajmę 1 pokojowe. Słoneczne. Nowe meble i sprzęty AGD,2 422 zł,Gdańsk,Zaspa,"Zaspa, ", • 1 pokój,,25 m²,,3,4,,Aneks,Tak,Nie,,,,Wtórny,Własność,,Blok,16.02.2022,01.03.2024,morizon-2-12,2 719,25,1.0,,,,2022.0,Po remoncie,,22.08.2023,Inna,1.0,"3,90 m²",,,,,Najmu,,,,,
33,33,"Apartament w stylu skandynawskim, 250m od morza",3 600 zł,Gdańsk,Brzeźno,"Brzeźno, ", • 2 pokoje,Do wprowadzenia,47 m²,,3,4,,,,Tak,Nowe PCV,,,Wtórny,,,Apartamentowiec,19.04.2024,19.04.2024,morizon-828118,64,19,,,,,2018.0,,Miejskie,,,,,,,,,Najmu,,,,,
34,34,wynajmę mieszkanie,2 300 zł,Gdańsk,Wrzeszcz,"Wrzeszcz, ", • 2 pokoje,Do wprowadzenia,50 m²,,1,3,,,,Tak,Nowe PCV,,,Wtórny,,,Blok,25.03.2024,25.03.2024,morizon-827858,590,19,,,,,1960.0,,Miejskie,,,,,,,,,Najmu,,,,,
35,35,***3 pokoje/Gdańsk Morena/Nowe budownictwo***,3 800 zł,Gdańsk,Piecki-Migowo,Ferdynanda Magellana, • 3 pokoje,,55 m²,,1,4,,,,,,,,Wtórny,,,,16.03.2024,22.04.2024,morizon-93/5952/OMW,317,8,,,,,,,,,,,,,,,,Najmu,,,,,
36,36,Mieszkanie - Gdańsk Jasień,2 500 zł,Gdańsk,Jasień,"Jasień, ", • 2 pokoje,,"37,21 m²",,5,6,,Półotwarta,,Tak,,,,Wtórny,Własność,Na wyłączność,,01.11.2023,12.04.2024,morizon-MO04036,605,6,1.0,,Nie,,2021.0,Bardzo dobry,C.o. miejskie,01.03.2024,,,,,,,,Najmu,,,,,
37,37,"Nowoczesne, 2 pokoje z halą garażową",3 500 zł,Gdańsk,Aniołki,"Aniołki, ", • 2 pokoje,,"45,09 m²",,3,5,,,,Tak,,,,Wtórny,,Na wyłączność,Apartamentowiec,05.04.2024,11.04.2024,morizon-339640,124,5,,,,,,,Co Miejskie,08.04.2024,,,,,,,,Najmu,,,,,
38,38,Przestronne 4-pok. mieszkanie z balkonem Przymorze,3 600 zł,Gdańsk,Przymorze,"Przymorze, ", • 4 pokoje,DOBRY,77 m²,,6,10,,ODDZIELNA,,Tak,,,,Wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE,Na wyłączność,WIEŻOWIEC,20.03.2024,16.04.2024,morizon-48779/2089/OMW,247,5,1.0,,,,1975.0,,C.O. Z SIECI MIEJSKIEJ,20.03.2024,,,,,,,,Najmu,,,,,
39,39,"Stylowe, 2-pok. mieszkanie, wysoki sufit + balkon",2 200 zł,Gdańsk,Ujeścisko-Łostowice,"Łostowice, ", • 2 pokoje,,38 m²,,4,4,,ANEKS KUCHENNY,,Tak,,,,Wtórny,,Na wyłączność,NISKI BLOK,18.02.2024,12.04.2024,morizon-45254/2089/OMW,318,5,1.0,,,,2022.0,,C.O. Z SIECI MIEJSKIEJ,08.03.2024,,,,,,,,Najmu,,,,,
40,40,"Mieszkanie przy Garnizonie, miejsce parkingowe",2 600 zł,Gdańsk,Wrzeszcz,"Wrzeszcz, ", • 2 pokoje,DOBRY,49 m²,,1,3,,Z OKNEM,,Tak,,,,Wtórny,WŁASNOŚĆ,,KAMIENICA,10.01.2024,11.02.2024,morizon-188/3071/OMW,587,5,1.0,,,,1960.0,,C.O. Z SIECI MIEJSKIEJ,01.02.2024,CEGŁA,,,,,,,Najmu,,,,,
41,41,"3 pokoje, doskonała lokalizacja, Gdańsk Morena",3 200 zł,Gdańsk,Piecki-Migowo,"Morena, ", • 3 pokoje,,"58,25 m²",,9,10,2.0,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,17.04.2024,17.04.2024,morizon-MG253977,38,4,,,,,1980.0,,Co Miejskie,06.05.2024,,,,,,,,Najmu,,,,,
42,42,Kawalerka / Blisko Tramwaj / Wyposażone,2 000 zł,Gdańsk,Jasień,"Jasień, ", • 1 pokój,,"30,32 m²",,5,5,,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,13.03.2024,17.04.2024,morizon-MG543675,312,4,,,,,2014.0,,,,,,,,,,,Najmu,,,,,
43,43,"Stylowa kawalerka, balkon, garaż - Nowa Letnica",2 300 zł,Gdańsk,Letnica,"Letnica, ", • 1 pokój,BARDZO WYSOKI STANDARD,"26,84 m²",,1,4,,ANEKS KUCHENNY,,Tak,,,,Wtórny,,Na wyłączność,WIEŻOWIEC,24.11.2023,18.04.2024,morizon-48128/2089/OMW,323,4,1.0,,,,2022.0,,C.O. Z SIECI MIEJSKIEJ,01.04.2024,,,,,,,,Najmu,,,,,
44,44,Jasień 2-pokoje z widokiem na jezioro + parking,2 700 zł,Gdańsk,Jasień,"Jasień, ", • 2 pokoje,BARDZO WYSOKI STANDARD,35 m²,260 cm,1,4,,ANEKS KUCHENNY,,Tak,,,,Wtórny,WŁASNOŚĆ,Na wyłączność,NISKI BLOK,14.04.2024,14.04.2024,morizon-8946/1621/OMW,103,2,1.0,,,,2024.0,,C.O. Z SIECI MIEJSKIEJ,,,,,,,,,Najmu,,,,,
45,45,"Niepołomicka 26,nowe 2pok z halą i piwnicą",2 500 zł,Gdańsk,Chełm,Niepołomicka, • 2 pokoje,BARDZO WYSOKI STANDARD,41 m²,,3,4,,ANEKS KUCHENNY,,Tak,,,,Wtórny,,Na wyłączność,NISKI BLOK,15.04.2024,22.04.2024,morizon-8951/1621/OMW,106,2,,,,,2022.0,,C.O. Z SIECI MIEJSKIEJ,15.04.2024,,,,,,,,Najmu,,,,,
46,46,Jasień 2-pokoje+garaż. Dla singla lub pary od 1.05,2 400 zł,Gdańsk,Jasień,"Jasień, ", • 2 pokoje,BARDZO WYSOKI STANDARD,42 m²,,1,4,,ANEKS KUCHENNY,,Tak,,,,Wtórny,WŁASNOŚĆ,Na wyłączność,NISKI BLOK,03.04.2024,22.04.2024,morizon-7941/1621/OMW,259,2,1.0,,,,2021.0,,C.O. Z SIECI MIEJSKIEJ,,,,,,,,,Najmu,,,,,
47,47,Dla singla lub pary - Zaspa,2 600 zł,Gdańsk,Zaspa,"Zaspa, ", • 2 pokoje,,36 m²,,3,8,,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,18.04.2024,18.04.2024,morizon-703758,39,2,,,,,1970.0,,Co Własne,,,,,,,,,Najmu,,,,,
48,48,3-pokoje Suchanino Po remoncie / od 1 maja,2 800 zł,Gdańsk,Suchanino,"Suchanino, ", • 3 pokoje,WYSOKI STANDARD,56 m²,,1,10,,ODDZIELNA,,Tak,,,,Wtórny,SPÓŁDZIELCZE WŁASNOŚCIOWE,Na wyłączność,WIEŻOWIEC,18.03.2024,14.04.2024,morizon-8650/1621/OMW,284,2,1.0,,,,1978.0,,C.O. Z SIECI MIEJSKIEJ,,WIELKA PŁYTA,,,,,,,Najmu,,,,,
49,49,Wyposażona kawalerka Przymorze/osobna kuchnia,1 850 zł,Gdańsk,Przymorze,Jagiellońska, • 1 pokój,,20 m²,,4,10,,,,,,,,Wtórny,,,,15.04.2024,15.04.2024,morizon-8607/1621/OMW,223,2,,,,,1977.0,,,,,,,,,,,Najmu,,,,,
50,50,ul. Leskiego 2-pokojowe z piwnicą i parkingiem,2 000 zł,Gdańsk,Jasień,"Jasień, ", • 2 pokoje,WYSOKI STANDARD,42 m²,260 cm,3,4,,ANEKS KUCHENNY,,Tak,,,,Wtórny,,Na wyłączność,NISKI BLOK,22.03.2024,19.04.2024,morizon-8905/1621/OMW,392,2,1.0,,,,2013.0,,C.O. Z SIECI MIEJSKIEJ,,,,,,,,,Najmu,,,,,
51,51,Przymorze/2 pok+kuchnia z oknem/garderoba/tramwaj,2 300 zł,Gdańsk,Przymorze,"Przymorze, ", • 2 pokoje,,38 m²,,4,10,,,,,,,,Wtórny,,,,15.04.2024,15.04.2024,morizon-8035/1621/OMW,249,2,,,,,1988.0,,,,,,,,,,,Najmu,,,,,
52,52,"Kłoczkowskiego,3 pokoje z parkingiem oraz piwnicą",2 500 zł,Gdańsk,Chełm,Wacława Kłoczkowskiego, • 3 pokoje,WYSOKI STANDARD,57 m²,,2,4,,ANEKS KUCHENNY,,Tak,,,,Wtórny,,Na wyłączność,NISKI BLOK,08.04.2024,22.04.2024,morizon-8933/1621/OMW,234,2,,,,,2006.0,,C.O. Z SIECI MIEJSKIEJ,05.04.2024,,,,,,,,Najmu,,,,,
53,53,Dla singla lub pary - duża kawalerka z kominkiem,1 800 zł,Gdańsk,Ujeścisko-Łostowice,"Ujeścisko, ", • 1 pokój,,40 m²,,Suterena,2,,,,,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,14.04.2024,14.04.2024,morizon-639677,141,2,,,,,,,Co Własne,,Pustak,,,,,,,Najmu,,,,,
54,54,ul. Cedrowa 2-pokoje +hala garażowa +piwnica,2 300 zł,Gdańsk,Ujeścisko-Łostowice,"Ujeścisko-Łostowice, ", • 2 pokoje,BARDZO WYSOKI STANDARD,"38,62 m²",260 cm,2,3,,ANEKS KUCHENNY,,Tak,,,,Wtórny,WŁASNOŚĆ,Na wyłączność,NISKI BLOK,23.02.2024,16.04.2024,morizon-8851/1621/OMW,499,2,1.0,,,,2017.0,,C.O. Z SIECI MIEJSKIEJ,,,,,,,,,Najmu,,,,,
55,55,"Starogardzka 65, 2 pokoje z parkingiem i piwnicą",1 900 zł,Gdańsk,Chełm,Starogardzka, • 2 pokoje,BARDZO WYSOKI STANDARD,35 m²,,3,4,,ANEKS KUCHENNY,,Tak,,,,Wtórny,,Na wyłączność,NISKI BLOK,11.03.2024,22.04.2024,morizon-8886/1621/OMW,756,2,,,,,2015.0,,C.O. Z SIECI MIEJSKIEJ,11.03.2024,,,,,,,,Najmu,,,,,
56,56,*2pokoje/Gdańsk Śródmieście/Obok Wyspa Spichrzów*,2 300 zł,Gdańsk,Śródmieście,Śródmieście, • 2 pokoje,DOBRY,"46,30 m²",,2,4,,,,,,,,Wtórny,,,NISKI BLOK,19.04.2024,19.04.2024,morizon-96/5952/OMW,63,2,,,,,1970.0,,,01.05.2024,,,,,,,,Najmu,,,,,
57,57,Lawendowe Wzgórze 2-pokoje + parking w hali,2 200 zł,Gdańsk,Jasień,"Jasień, ", • 2 pokoje,WYSOKI STANDARD,"36,74 m²",,1,6,,,,Tak,,,,Wtórny,,Na wyłączność,BLOK,05.02.2024,22.04.2024,morizon-8804/1621/OMW,640,2,,,,,2021.0,,C.O. Z SIECI MIEJSKIEJ,,,,,,,,,Najmu,,,,,
58,58,ul. Św Barbary. Kawalerka dla Singla lub pary,2 600 zł,Gdańsk,Śródmieście,"Śródmieście, ", • 1 pokój,,35 m²,,5,6,,,,,,,,Wtórny,,Na wyłączność,,08.03.2024,14.04.2024,morizon-8372/1621/OMW,324,2,,,,,2019.0,,,,,,,,,,,Najmu,,,,,
59,59,"Gdańsk Oliwa ul. Spacerowa, po remoncie, 2 pok",3 000 zł,Gdańsk,Oliwa,"Oliwa, ", • 2 pokoje,,"63,08 m²",,1,1,,,,,,,,Wtórny,,,,04.04.2024,05.04.2024,morizon-8491/1621/OMW,259,2,,,,,1950.0,,,,,,,,,,,Najmu,,,,,
60,60,Komfortowe mieszkanie 2 pokojowe na wynajem,2 600 zł,Gdańsk,Jasień,Kartuska, • 2 pokoje,,36 m²,,3,3,1.0,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,27.09.2023,11.04.2024,morizon-ON423247,753,2,,,,,2020.0,,Co Miejskie,25.09.2023,,1.0,,,,,,Najmu,,,,,
61,61,"Nowe budownictwo,ul. Kliniczna,świetna komunikacja",2 200 zł,Gdańsk,Wrzeszcz,Kliniczna, • 1 pokój,,26 m²,,1,3,,,,Tak,,,,Wtórny,,Na wyłączność,NISKI BLOK,08.03.2024,22.04.2024,morizon-7321/1621/OMW,364,2,,,,,2021.0,,,01.04.2024,,,,,,,,Najmu,,,,,
62,62,mieszkanie z balkonem od południa,2 000 zł,Gdańsk,Orunia,"Orunia Górna, ", • 2 pokoje,,37 m²,,4,10,,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,17.04.2024,17.04.2024,morizon-PAN294152,74,1,,,Nie,,1974.0,,Co Miejskie,,Wielka płyta,,,,,,,Najmu,,,,,
63,63,"50m2 - 2 pokoje, widok na las OD ZARAZ",2 600 zł,Gdańsk,Brętowo,"Niedźwiednik, ", • 2 pokoje,DOBRY,50 m²,,1,4,,ODDZIELNA,,Tak,,,,Wtórny,WŁASNOŚĆ,Na wyłączność,WIEŻOWIEC,15.04.2024,18.04.2024,morizon-49025/2089/OMW,81,1,,,,,,,C.O. Z SIECI MIEJSKIEJ,15.04.2024,,,,,,,,Najmu,,,,,
64,64,2 pokoje | Komórka oraz miejsce parkingowe w cenie,3 000 zł,Gdańsk,Piecki-Migowo,"Morena, ", • 2 pokoje,,"41,87 m²",,7,8,,,,Tak,,,,Wtórny,,Na wyłączność,Blok Mieszkalny,13.04.2024,18.04.2024,morizon-PAN684797,78,1,,,,,2016.0,,Co Miejskie,,YTong,,,,,,,Najmu,,,,,
65,65,Mieszkanie - Gdańsk Śródmieście,4 700 zł,Gdańsk,Śródmieście,"Główne Miasto, ", • 3 pokoje,,74 m²,,5,5,2.0,,,Nie,,,,Wtórny,,,Apartamentowiec,09.04.2024,20.04.2024,morizon-423280,134,1,,,Tak,,2010.0,,Co Miejskie,,,1.0,,,,,,Najmu,,,,,
