Cena,Miasto,Dzielnica,Pokoje,Pow. całkowita,Rynek,Rok budowy,Piętro,Liczba pięter,Balkon,Typ oferty,Cena/m2
1350000.0,Gdynia ,Działki Leśne, 3,150.9,Wtórny,1995,1,1.0,Tak,Najmu,8946.32
480000.0,Gdynia ,Pogórze, 2,50.0,Wtórny,1999,4.0,4.0,Tak,Najmu,9600.0
575000.0,Gdynia ,Chylonia, 3,54.0,Wtórny,1972,1.0,4.0,Nie,Najmu,10648.15
474307.0,Gdynia ,Chwarzno-Wiczlino, 2,45.19,Pierwotny,2024,1,5.0,Nie,Najmu,10495.84
475951.0,Gdynia ,Chwarzno-Wiczlino, 2,47.19,Pierwotny,2024,1,3.0,Nie,Najmu,10085.84
490998.0,Gdynia ,Chwarzno-Wiczlino, 2,47.18,Pierwotny,2024,1,3.0,Nie,Najmu,10406.91
515000.0,Gdynia ,Pogórze, 2,43.0,Wtórny,2022,1.0,2.0,Tak,Najmu,11976.74
559000.0,Gdynia ,Chwarzno-Wiczlino, 2,40.86,Wtórny,2014,2.0,3.0,Tak,Najmu,13680.86
589000.0,Gdynia ,Wielki Kack, 2,48.9,Wtórny,1999,1.0,3.0,Tak,Najmu,12044.99
630000.0,Gdynia ,Chwarzno-Wiczlino, 2,43.0,Wtórny,2023,1,3.0,Nie,Najmu,14651.16
648000.0,Gdynia ,Karwiny, 3,63.1,Wtórny,1980,4.0,4.0,Nie,Najmu,10269.41
680000.0,Gdynia ,Oksywie, 2,74.0,Wtórny,1930,2.0,3.0,Tak,Najmu,9189.19
755498.0,Gdynia ,Chwarzno-Wiczlino, 4,85.67,Pierwotny,2024,1,3.0,Nie,Najmu,8818.7
770533.0,Gdynia ,Chwarzno-Wiczlino, 4,86.55,Pierwotny,2024,1,3.0,Nie,Najmu,8902.75
789000.0,Gdynia ,Mały Kack, 4,75.0,Wtórny,1997,2.0,2.0,Tak,Najmu,10520.0
789000.0,Gdynia ,Witomino Leśniczówka, 3,57.59,Wtórny,2003,1.0,13.0,Nie,Najmu,13700.3
849000.0,Gdynia ,Wzgórze Świętego Maksymiliana, 3,49.0,Wtórny,1966,6.0,10.0,Nie,Najmu,17326.53
875000.0,Gdynia ,Chwarzno-Wiczlino, 4,73.0,Wtórny,2011,2.0,3.0,Tak,Najmu,11986.3
