Nazwa|Cena|Miasto|Dzielnica|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Liczba pięter|Typ kuchni|Liczba łazienek|Rynek|Forma własności|Typ budynku|Materiał budowlany|Rok budowy|Ogrzewanie|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Pow. użytkowa|Piętro|Liczba poziomów mieszkania|Dostępne od|Rodzaj umowy|Liczba sypialni|łazienka razem z WC|Balkon|Taras|Stan budynku|Pow. łazienki|Pow. balkonu|Cena do negocjacji|Pow. tarasu|Stolarka okienna|Dodatkowe koszty|Pow. loggii|Typ domu|Urządzony ogród|Typ nieruchomości|Pow. ogródka
Apartament w przedwojennej kamienicy|2 799 000 zł|Sopot, |3 Maja| • 7 pokoi|DOBRY|147,37 m²|320 cm|3|ODDZIELNA|2|Wtórny|WŁASNOŚĆ|KAMIENICA|CEGŁA|1904|C.O. GAZOWE|10.01.2024|17.04.2024|morizon-2107/14016/OMS|292|0||2/3||01.02.2024||||Tak|||||||||||||
Elegancki apartament w świetnej lokalizacji- Sopot|2 600 000 zł|Sopot, |Jana Jerzego Haffnera| • 4 pokoje|WYSOKI STANDARD|165 m²||4|ODDZIELNA||Wtórny||KAMIENICA|CEGŁA|1905||04.04.2024|04.04.2024|morizon-110/14376/OMS|50|0||4/4|||||||||||||||||||
2 pok. mieszkanie z ogródkiem blisko lasu|755 000 zł|Sopot, |Górny, | • 2 pokoje||37,90 m²||2|||Wtórny||Kamienica||1940|Gazowe|03.04.2024|09.04.2024|morizon-DH294788|89|0||1/2||31.03.2024|Na wyłączność|1||Nie|||||||||||||
Mieszkanie przy Monte Cassino|990 000 zł|Sopot, |Dolny, | • 2 pokoje||57,59 m²||3|||Wtórny||Kamienica|Cegła|1950|Co Miejskie|10.04.2024|22.04.2024|morizon-DH385420|102|0||1/3||||||Nie|Nie||||||||||||
Świetna lokalizacja, bardzo blisko morza i centrum|1 499 000 zł|Sopot, |Dolny, | • 2 pokoje||52,60 m²||4|||Wtórny||Kamienica||2000|Co Miejskie|09.04.2024|17.04.2024|morizon-DH982799|83|0||1/4||||||Tak|||||||||||||
KLIMATYCZNE MIESZKANIE SOPOT DOLNY|2 200 000 zł|Sopot, |Dolny, | • 4 pokoje||89 m²||4|Brak|1|Wtórny|Własność|||1900|Pompy ciepła|17.04.2024|17.04.2024|morizon-LX014754|38|0|||||Na wyłączność|||Tak|Nie||||||||||||
Unikalny apartament przy ścianie lasu|2 500 000 zł|Sopot, |Dolny, | • 3 pokoje||55,90 m²||3|||Wtórny||Apartamentowiec||2007|Co Miejskie|14.04.2024|16.04.2024|morizon-380001|76|0||1/3|1||Na wyłączność||||||||||||||||
3 pokoje, widok na zieleń, nowe instalacje|849 000 zł|Sopot, |Przylesie, | • 3 pokoje||46,20 m²||10|||Wtórny||Wieżowiec|Inne|1970|Co Miejskie|19.04.2024|22.04.2024|morizon-PAN487605|19|0||5/10||||||Tak|Nie||||||||||||
Mieszkanie przy plaży i sopockim molo|1 125 000 zł|Sopot, |Dolny, | • 1 pokój||38,09 m²||4|||Wtórny||Kamienica||2000|Co Własne|18.01.2024|18.01.2024|morizon-PARK1752470|193|0||1/4|||Na wyłączność|||Tak|||||||||||||
Apartament w pasie nadmorskiem|1 560 000 zł|Sopot, |Karlikowo, | • 2 pokoje||68,10 m²||3|||Wtórny||Apartamentowiec|Silikat|2005|Co Miejskie|14.04.2024|15.04.2024|morizon-EC579551|73|0||1/3|||Na wyłączność|1||Tak|||||||||||||
Do remontu-z ogródkiem-spokojna okolica|550 000 zł|Sopot, |Kamienny Potok, | • 2 pokoje||34 m²||2|||Wtórny||Kamienica||1930|Gazowe|19.04.2024|19.04.2024|morizon-CP193627|42|0||||||1|||||||||||||||
"2 POKOJE || TARAS || 5 MIN DO PLAŻY"|1 248 000 zł|Sopot, |Dolny, | • 2 pokoje|DOBRY|48,30 m²|294 cm|4|ODDZIELNA|1|Wtórny|WŁASNOŚĆ|KAMIENICA|CEGŁA|1899|C.O. ELEKTRYCZNE|26.03.2024|28.03.2024|morizon-9218/8976/OMS|104|0||2/4|||Na wyłączność||||||||||||||||
