Nazwa|Cena|Miasto|Dzielnica|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji
Przestronne 4-pok. mieszkanie z balkonem Przymorze|3 600 zł|Gdańsk, |Przymorze, | • 4 pokoje|DOBRY|77 m²||6/10|10||ODDZIELNA||Tak||||Wtórny|SPÓŁDZIELCZE WŁASNOŚCIOWE|Na wyłączność|WIEŻOWIEC|20.03.2024|16.04.2024|morizon-48779/2089/OMW|247|5|1||||1975||C.O. Z SIECI MIEJSKIEJ|20.03.2024|||||||
Stylowe, 2-pok. mieszkanie, wysoki sufit + balkon|2 200 zł|Gdańsk, |Łostowice, | • 2 pokoje||38 m²||4/4|4||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|NISKI BLOK|18.02.2024|12.04.2024|morizon-45254/2089/OMW|318|5|1||||2022||C.O. Z SIECI MIEJSKIEJ|08.03.2024|||||||
Mieszkanie przy Garnizonie, miejsce parkingowe|2 600 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje|DOBRY|49 m²||1/3|3||Z OKNEM||Tak||||Wtórny|WŁASNOŚĆ||KAMIENICA|10.01.2024|11.02.2024|morizon-188/3071/OMW|587|5|1||||1960||C.O. Z SIECI MIEJSKIEJ|01.02.2024|CEGŁA||||||
3 pokoje, doskonała lokalizacja, Gdańsk Morena|3 200 zł|Gdańsk, |Morena, | • 3 pokoje||58,25 m²||9/10|10|2|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|17.04.2024|17.04.2024|morizon-MG253977|38|4|||||1980||Co Miejskie|06.05.2024|||||||
Kawalerka / Blisko Tramwaj / Wyposażone|2 000 zł|Gdańsk, |Jasień, | • 1 pokój||30,32 m²||5/5|5||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|13.03.2024|17.04.2024|morizon-MG543675|312|4|||||2014||||||||||
Stylowa kawalerka, balkon, garaż - Nowa Letnica|2 300 zł|Gdańsk, |Letnica, | • 1 pokój|BARDZO WYSOKI STANDARD|26,84 m²|||||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|WIEŻOWIEC|24.11.2023|18.04.2024|morizon-48128/2089/OMW|323|4|1||||2022||C.O. Z SIECI MIEJSKIEJ|01.04.2024|||||||
Jasień 2-pokoje z widokiem na jezioro + parking|2 700 zł|Gdańsk, |Jasień, | • 2 pokoje|BARDZO WYSOKI STANDARD|35 m²|260 cm|1/4|4||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|14.04.2024|14.04.2024|morizon-8946/1621/OMW|103|2|1||||2024||C.O. Z SIECI MIEJSKIEJ||||||||
Niepołomicka 26,nowe 2pok z halą i piwnicą|2 500 zł|Gdańsk, |Niepołomicka| • 2 pokoje|BARDZO WYSOKI STANDARD|41 m²||3/4|4||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|NISKI BLOK|15.04.2024|22.04.2024|morizon-8951/1621/OMW|106|2|||||2022||C.O. Z SIECI MIEJSKIEJ|15.04.2024|||||||
Jasień 2-pokoje+garaż. Dla singla lub pary od 1.05|2 400 zł|Gdańsk, |Jasień, | • 2 pokoje|BARDZO WYSOKI STANDARD|42 m²||1/4|4||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|03.04.2024|22.04.2024|morizon-7941/1621/OMW|259|2|1||||2021||C.O. Z SIECI MIEJSKIEJ||||||||
Dla singla lub pary - Zaspa|2 600 zł|Gdańsk, |Zaspa, | • 2 pokoje||36 m²||3/8|8||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|18.04.2024|18.04.2024|morizon-703758|39|2|||||1970||Co Własne||||||||
3-pokoje Suchanino Po remoncie / od 1 maja|2 800 zł|Gdańsk, |Suchanino, | • 3 pokoje|WYSOKI STANDARD|56 m²||1/10|10||ODDZIELNA||Tak||||Wtórny|SPÓŁDZIELCZE WŁASNOŚCIOWE|Na wyłączność|WIEŻOWIEC|18.03.2024|14.04.2024|morizon-8650/1621/OMW|284|2|1||||1978||C.O. Z SIECI MIEJSKIEJ||WIELKA PŁYTA||||||
Wyposażona kawalerka Przymorze/osobna kuchnia|1 850 zł|Gdańsk, |Jagiellońska| • 1 pokój||20 m²||4/10|10||||||||Wtórny||||15.04.2024|15.04.2024|morizon-8607/1621/OMW|223|2|||||1977||||||||||
ul. Leskiego 2-pokojowe z piwnicą i parkingiem|2 000 zł|Gdańsk, |Jasień, | • 2 pokoje|WYSOKI STANDARD|42 m²|260 cm|3/4|4||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|NISKI BLOK|22.03.2024|19.04.2024|morizon-8905/1621/OMW|392|2|1||||2013||C.O. Z SIECI MIEJSKIEJ||||||||
Przymorze/2 pok+kuchnia z oknem/garderoba/tramwaj|2 300 zł|Gdańsk, |Przymorze, | • 2 pokoje||38 m²||4/10|10||||||||Wtórny||||15.04.2024|15.04.2024|morizon-8035/1621/OMW|249|2|||||1988||||||||||
Kłoczkowskiego,3 pokoje z parkingiem oraz piwnicą|2 500 zł|Gdańsk, |Wacława Kłoczkowskiego| • 3 pokoje|WYSOKI STANDARD|57 m²||2/4|4||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|NISKI BLOK|08.04.2024|22.04.2024|morizon-8933/1621/OMW|234|2|||||2006||C.O. Z SIECI MIEJSKIEJ|05.04.2024|||||||
Dla singla lub pary - duża kawalerka z kominkiem|1 800 zł|Gdańsk, |Ujeścisko, | • 1 pokój||40 m²||Suterena/2|2||||||||Wtórny||Na wyłączność|Blok Mieszkalny|14.04.2024|14.04.2024|morizon-639677|141|2|||||||Co Własne||Pustak||||||
ul. Cedrowa 2-pokoje +hala garażowa +piwnica|2 300 zł|Gdańsk, |Ujeścisko-Łostowice, | • 2 pokoje|BARDZO WYSOKI STANDARD|38,62 m²|260 cm|2/3|3||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|23.02.2024|16.04.2024|morizon-8851/1621/OMW|499|2|1||||2017||C.O. Z SIECI MIEJSKIEJ||||||||
Starogardzka 65, 2 pokoje z parkingiem i piwnicą|1 900 zł|Gdańsk, |Starogardzka| • 2 pokoje|BARDZO WYSOKI STANDARD|35 m²||3/4|4||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|NISKI BLOK|11.03.2024|22.04.2024|morizon-8886/1621/OMW|756|2|||||2015||C.O. Z SIECI MIEJSKIEJ|11.03.2024|||||||
*2pokoje/Gdańsk Śródmieście/Obok Wyspa Spichrzów*|2 300 zł|Gdańsk, |Śródmieście| • 2 pokoje|DOBRY|46,30 m²||2/4|4||||||||Wtórny|||NISKI BLOK|19.04.2024|19.04.2024|morizon-96/5952/OMW|63|2|||||1970|||01.05.2024|||||||
Lawendowe Wzgórze 2-pokoje + parking w hali|2 200 zł|Gdańsk, |Jasień, | • 2 pokoje|WYSOKI STANDARD|36,74 m²||1/6|6||||Tak||||Wtórny||Na wyłączność|BLOK|05.02.2024|22.04.2024|morizon-8804/1621/OMW|640|2|||||2021||C.O. Z SIECI MIEJSKIEJ||||||||
ul. Św Barbary. Kawalerka dla Singla lub pary|2 600 zł|Gdańsk, |Śródmieście, | • 1 pokój||35 m²||5/6|6||||||||Wtórny||Na wyłączność||08.03.2024|14.04.2024|morizon-8372/1621/OMW|324|2|||||2019||||||||||
Gdańsk Oliwa ul. Spacerowa, po remoncie, 2 pok|3 000 zł|Gdańsk, |Oliwa, | • 2 pokoje||63,08 m²||1/1|1||||||||Wtórny||||04.04.2024|05.04.2024|morizon-8491/1621/OMW|259|2|||||1950||||||||||
Komfortowe mieszkanie 2 pokojowe na wynajem|2 600 zł|Gdańsk, |Kartuska| • 2 pokoje||36 m²||3/3|3|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|27.09.2023|11.04.2024|morizon-ON423247|753|2|||||2020||Co Miejskie|25.09.2023||1|||||
Nowe budownictwo,ul. Kliniczna,świetna komunikacja|2 200 zł|Gdańsk, |Kliniczna| • 1 pokój||26 m²||1/3|3||||Tak||||Wtórny||Na wyłączność|NISKI BLOK|08.03.2024|22.04.2024|morizon-7321/1621/OMW|364|2|||||2021|||01.04.2024|||||||
mieszkanie z balkonem od południa|2 000 zł|Gdańsk, |Orunia Górna, | • 2 pokoje||37 m²||4/10|10||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|17.04.2024|17.04.2024|morizon-PAN294152|74|1|||Nie||1974||Co Miejskie||Wielka płyta||||||
50m2 - 2 pokoje, widok na las OD ZARAZ|2 600 zł|Gdańsk, |Niedźwiednik, | • 2 pokoje|DOBRY|50 m²|||||ODDZIELNA||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|WIEŻOWIEC|15.04.2024|18.04.2024|morizon-49025/2089/OMW|81|1|||||||C.O. Z SIECI MIEJSKIEJ|15.04.2024|||||||
"2 pokoje | Komórka oraz miejsce parkingowe w cenie"|3 000 zł|Gdańsk, |Morena, | • 2 pokoje||41,87 m²||7/8|8||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|13.04.2024|18.04.2024|morizon-PAN684797|78|1|||||2016||Co Miejskie||YTong||||||
Mieszkanie - Gdańsk Śródmieście|4 700 zł|Gdańsk, |Główne Miasto, | • 3 pokoje||74 m²||5/5|5|2|||Nie||||Wtórny|||Apartamentowiec|09.04.2024|20.04.2024|morizon-423280|134|1|||Tak||2010||Co Miejskie|||1|||||
3 pokoje z balkonem Chełm, dostępne od zaraz|2 500 zł|Gdańsk, |Ujeścisko, | • 3 pokoje|WYSOKI STANDARD|59 m²|||||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|15.04.2024|22.04.2024|morizon-49024/2089/OMW|135|1|||||||C.O. Z SIECI MIEJSKIEJ|15.04.2024|||||||
Mieszkanie 3 pokojowe + miejsce w hali garażowej|3 800 zł|Gdańsk, |Jasień, | • 3 pokoje||68,71 m²||2/3|3||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|20.03.2024|15.04.2024|morizon-PAN873254|231|1|||||2012||Co Miejskie|15.04.2024|YTong||||||
Klimatyczne mieszkanie w kamienicy|4 500 zł|Gdańsk, |Śródmieście, | • 3 pokoje||63 m²||1/4|4|2|||Tak||||Wtórny||Na wyłączność|Kamienica|21.03.2024|15.04.2024|morizon-386607|203|1|||||1920||Gazowe|12.03.2024||1|||||
Garnizon - nowe mieszkanie z miejscem postojowym|4 000 zł|Gdańsk, |Wrzeszcz Górny, | • 2 pokoje||38 m²||2/6|6||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|18.03.2024|19.04.2024|morizon-571642|226|1|||||2023||Co Miejskie|18.03.2024||1|||||
Stylowy apartament w prestiżowej lokalizacji|5 000 zł|Gdańsk, |Śródmieście, | • 2 pokoje||51 m²|||5|1|||||||Wtórny|||Apartamentowiec|04.04.2024|04.04.2024|morizon-663576|123|1|||Tak||2018||Co Miejskie|03.04.2024||1|||||
Funkcjonalne mieszkanie dla pary|2 850 zł|Gdańsk, |Letnica, | • 2 pokoje||38,48 m²||10/17|17||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|06.03.2024|18.04.2024|morizon-PAN918884|217|1|||Nie||||Co Miejskie||YTong||||||
"Mieszkanie idealne dla rodziny | Osiedle Focha"|4 500 zł|Gdańsk, |Aniołki, | • 4 pokoje||84 m²||2/4|4||||||||Wtórny|||Blok Mieszkalny|18.03.2024|16.04.2024|morizon-342234|294|1|||||2001||Co Miejskie|22.03.2024||1|||||
W pełni wyposażone mieszkanie nad morzem|4 500 zł|Gdańsk, |Letnica, | • 3 pokoje||68,07 m²||4/5|5|2|||Tak||||Wtórny|||Blok Mieszkalny|21.03.2024|17.04.2024|morizon-719696|186|1|||||2022||Co Miejskie|01.04.2024||1|||||
Nowoczesne mieszkanie w centrum Gdańska|4 200 zł|Gdańsk, |Śródmieście, | • 3 pokoje||54 m²||6/17|17||||Tak||||Wtórny|||Wieżowiec|27.02.2024|20.04.2024|morizon-786985|245|1|||||2018||Co Miejskie|02.02.2024|||||||
"Gdańsk Zaspa | Inwestycja Impuls | 2 osobne pokoje"|3 300 zł|Gdańsk, |Zaspa, | • 2 pokoje||44 m²||2/4|4|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|21.02.2024|21.04.2024|morizon-300654|284|1|||||2020||Co Miejskie|01.03.2024||1|||||
Garnizon- nowe 2 pokoje|3 500 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje||45 m²||2/4|4||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|30.03.2024|16.04.2024|morizon-PAN520454|160|1|||||||Co Miejskie||Pustak||||||
Nadmorski apartament z dużym tarasem|6 000 zł|Gdańsk, |Jelitkowo, | • 3 pokoje||64,30 m²||2/3|3|2|||||||Wtórny|||Apartamentowiec|03.03.2024|17.04.2024|morizon-712073|274|1|||Tak||2013||Co Miejskie|||1|||||
Dwa pokoje z balkonem i dostępem do siłowni|2 850 zł|Gdańsk, |Piecki-Migowo, | • 2 pokoje||49 m²||1/3|3|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|01.03.2024|21.04.2024|morizon-PAN242588|289|1|||||2019||Co Miejskie||Silikat||||||
Słoneczne mieszkanie (68 m 2) trzy pokojowe|3 800 zł|Gdańsk, |Jasień, | • 3 pokoje|Bardzo dobry|68 m²|300 cm|1/4|4||Aneks|Tak|Tak||||Wtórny|Własność|Na wyłączność|Dom wielorodzinny|05.04.2024|19.04.2024|morizon-322748|118|1|1||||2009|Bardzo dobry|Miejskie|01.06.2024|Beton|1|||||
Wynajmę 2 pokoje Gdańsk|2 000 zł|Gdańsk, |Orunia Górna, | • 2 pokoje||49,50 m²||2/4|4|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|30.01.2024|16.04.2024|morizon-PAN444746|590|1|||||1990||Co Miejskie||Wielka płyta||||||
Nowy apartament w Śródmieściu|4 000 zł|Gdańsk, |Śródmieście, | • 3 pokoje||52,88 m²||5/8|8||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|19.01.2024|22.04.2024|morizon-PAN643733|291|1|||||2022||Co Miejskie||Pustak||||||
Komfortowe mieszkanie w centrum Wrzeszcza|4 800 zł|Gdańsk, |Wrzeszcz, | • 4 pokoje||85 m²||2/3|3||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|29.02.2024|10.04.2024|morizon-PAN517060|350|1|||||||Co Miejskie|29.02.2024|Pustak|2|||||
