Nazwa|Cena|Miasto|Dzielnica|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji
Opis nieruchomości|2 500 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Bardzo dobry|41 m²|255 cm|3/3|3|1|Aneks kuchenny - połączony z salonem|Tak|Tak|PCV|3000|500|Wtórny|Jeden właściciel|Na wyłączność|Blok|02.04.2024|19.04.2024|morizon-WST-MW-606-2|150|102|||||||||||||||
PRZYTULNE 2 POK. SUPER LOKALIZACJA, OSIEDLE \'ORO\'|3 500 zł|Gdańsk, |Oliwa, | • 2 pokoje||40 m²||4/7|7||Półotwarta||Nie||||Wtórny|Własność|||18.04.2024|17.04.2024|morizon-IF04224|84|101|1|6 m²|Nie|6 m²|2021|Wysoki standard|C.o. miejskie||||||||
APARTAMENT salon + 2 sypialnie CHMIELNA 73 WYNAJMĘ|8 500 zł|Gdańsk, |Chmielna| • 3 pokoje|Wysoki standard|75 m²||2/6|6||Aneks|Tak|Tak||||Wtórny|||Apartamentowiec|04.04.2024|04.04.2024|morizon-gratka-34171879|128|100||||||||05.04.2024|||||||
Apartament salon + 2 sypialnie ul. Sadowa 25 WYNAJMĘ|4 800 zł|Gdańsk, |Sadowa| • 3 pokoje|Wysoki standard|69,76 m²||1/4|4||Aneks|Nie|Tak||||Wtórny|||Apartamentowiec|23.02.2024|25.03.2024|morizon-gratka-33461237|493|100|||||2022|||23.02.2024|Inny||||||
mieszkanie 3 pokojowe 64m.kw. Wiszące Ogrody, Gdańsk, ul.Przytulna|3 200 zł|Gdańsk, |Przytulna 24| • 3 pokoje||63,70 m²||2/4|4||Aneks|Nie|Tak||||Wtórny|||Blok|15.04.2024|15.04.2024|morizon-gratka-34289265|99|50||||||||15.04.2024|||||||
NOWE mieszkanie 3 pokojowe 54m2, Gdańsk Jasień, od zaraz wynajmę|3 300 zł|Gdańsk, |Jasień, | • 3 pokoje|Wysoki standard|54 m²||1/3|3||Aneks|Tak|Tak||||Wtórny|||Blok|17.03.2024|17.04.2024|morizon-gratka-33803631|350|50|||||2024|||17.03.2024|Silikat||||||
Wyjątkowe mieszkanie na ekskluzywnym osiedlu, dwa miejsca parkingowe|9 000 zł|Gdańsk, |Oliwa, | • 5 pokoi|Wysoki standard|110 m²||2/3|3||Aneks|Tak|||||Wtórny|||Apartamentowiec|22.03.2024|22.04.2024|morizon-gratka-33906967|207|50|||Tak||2011|||01.08.2024|||||||
NOWE 2-pokojowe mieszkanie GDAŃSK SZCZĘŚLIWA|2 800 zł|Gdańsk, |Jasień, | • 2 pokoje|Wysoki standard|43,68 m²||4/4|4||Aneks|Nie|Tak||||Wtórny|||Blok|20.03.2024|20.04.2024|morizon-gratka-33861057|322|50|||||2023|||20.03.2024|Beton||||||
Kawalerka na wynajem Gdańsk|2 100 zł|Gdańsk|| • 1 pokój|Wysoki standard|35 m²||2/3|3|||Tak|||||Wtórny|||Apartamentowiec|19.03.2024|19.04.2024|morizon-gratka-18422941|481|50|||||2010|||28.02.2022|Pustak||||||
Kawalerka w Sródmieściu Gdańska|1 999 zł|Gdańsk, |Łagiewniki| • 1 pokój|Wysoki standard|40 m²|||4|||Tak|||||Wtórny|||Blok|21.03.2024|21.04.2024|morizon-gratka-33888497|188|50||||||||06.04.2024|||||||
Kawalerka w centrum Gdańska|2 500 zł|Gdańsk, |Śródmieście, | • 2 pokoje||30 m²||4/4|4||||||||Wtórny|||Kamienica|19.04.2024|19.04.2024|morizon-gratka-34341033|52|50|||||||||||||||
Nowe, wyposażone kawalerki, wysoki standard, k/SKM|2 850 zł|Gdańsk, |Przymorze, | • 1 pokój||27,38 m²||1/5|5||Półotwarta||Nie||||Wtórny|Własność|Na wyłączność||27.01.2024|22.03.2024|morizon-RR02057|566|35|1||Nie||2022|Bardzo dobry|C.o. miejskie||||||||
Kawalerka z balkonem w super lokalizacji-Garnizon|2 800 zł|Gdańsk, |Wrzeszcz, | • 1 pokój||26 m²||2/5|5||Półotwarta||Tak||||Wtórny|Własność|||10.02.2024|13.02.2024|morizon-RR02070|713|35|1||Nie||2019|Bardzo dobry|C.o. miejskie||||||||
Słoneczne 2 pokoje! Balkon! Szlaban! Chełm|2 300 zł|Gdańsk, |Nieborowska| • 2 pokoje|WYSOKI STANDARD|46,90 m²|265 cm|3/3|3||ODDZIELNA||Tak||||Wtórny||Na wyłączność|NISKI BLOK|03.02.2024|22.04.2024|morizon-8809/1621/OMW|581|27|1||||2001||C.O. Z SIECI MIEJSKIEJ||YTONG||||||
3 pokoje po generalnym remoncie. Blisko centrum|3 500 zł|Gdańsk, |Siedlce, | • 3 pokoje||56,12 m²||9/10|10|2|||Tak||||Wtórny||Na wyłączność|Wieżowiec|01.12.2023|16.04.2024|morizon-TC765669|282|27|||||||Co Miejskie||Wielka płyta|1|||||
Jasień 2-pokojowe z ogródkiem i parkingiem|2 200 zł|Gdańsk, |Jasień, | • 2 pokoje|WYSOKI STANDARD|54 m²|||4||ANEKS KUCHENNY||||||Wtórny||Na wyłączność|NISKI BLOK|09.01.2024|14.04.2024|morizon-8739/1621/OMW|828|27|1||||2011||C.O. Z SIECI MIEJSKIEJ||||||||
Mieszkanie (54 m 2) dwupokojowe|3 800 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje|Bardzo dobry|54 m²|300 cm|5/6|6||Aneks|Tak|Tak||||Wtórny|Własność|Na wyłączność|Dom wielorodzinny|10.04.2024|10.04.2024|morizon-589414|185|26|||||2022|Bardzo dobry|Miejskie|01.05.2024|Beton|1|||||
"Centrum Gdańska | do własnej aranżacji"|7 500 zł|Gdańsk, |Śródmieście, | • 3 pokoje||102,50 m²||6/6|6|2|||||||Wtórny||Na wyłączność|Apartamentowiec|20.02.2024|27.03.2024|morizon-848966|481|26|||Tak||2013||Co Miejskie|20.02.2024||1|||||
"Wysokość pomieszczeń 330 cm | SPA i basen"|9 900 zł|Gdańsk, |Śródmieście, | • 3 pokoje||71 m²||6/6|6|2|||Tak||||Wtórny|||Apartamentowiec|28.11.2023|15.04.2024|morizon-248667|730|26|||Tak||2020||Co Miejskie|||1|||||
Stylowy apartament w centrum Gdańska|5 500 zł|Gdańsk, |Śródmieście, | • 3 pokoje||59 m²||4/5|5|2|||Tak||||Wtórny|||Apartamentowiec|08.04.2024|08.04.2024|morizon-241776|195|25|||||2019||Co Miejskie|09.04.2024||1|||||
Mieszkanie nad morzem w inwestycji Star Tower|4 200 zł|Gdańsk, |Letnica, | • 4 pokoje||56,50 m²||5/16|16|3|||Tak||||Wtórny|||Apartamentowiec|08.04.2024|09.04.2024|morizon-545450|181|25|||Tak||2021||Co Miejskie|09.04.2024||1|||||
Komfortowe życie na osiedlu COMO|2 700 zł|Gdańsk, |Goska| • 2 pokoje||32,94 m²||5/5|5|1|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|01.04.2024|05.04.2024|morizon-EC395566|280|25|||||2019||Co Miejskie|03.04.2024|||||||
Zadbane, klimatyczne mieszkanie z 2 sypialniami, miejscem parkingowym i piwnicą|2 800 zł|Gdańsk, |Jasień, | • 3 pokoje|Bardzo dobry|48,15 m²|260 cm|2/4|4||Aneks|Tak|Tak||||Wtórny|Własność|Na wyłączność|Blok|11.04.2024|19.04.2024|morizon-665-3|180|25|1||||2015|Bardzo dobry|Miejskie||||||||
Gdańsk SZAFARNIA 2 pikoje z widokiem na Motławę|4 000 zł|Gdańsk, |Śródmieście, | • 2 pokoje||59 m²||2/4|4||Półotwarta||Nie||||Wtórny|(Nieznany)|||23.03.2024|19.04.2024|morizon-ML01130|202|25|||Nie||2011||C.o. miejskie||||||||
Mieszkanie - Gdańsk|2 700 zł|Gdański, |Gdańsk, | • 3 pokoje||60,66 m²||2/4|4||Brak|Nie|Tak||||Wtórny|Własność|Na wyłączność||19.03.2024|06.04.2024|morizon-H006209|590|25|1||Nie||2023|Bardzo dobry|||||||||
Duży salon z aneksem kuchennym w sercu Wrzeszcza- WOLNE od 01.05-|2 700 zł|Gdańsk, |Wrzeszcz, | • 1 pokój|Bardzo dobry|37 m²||3/7|7||Aneks|Tak|Nie||||Wtórny|Własność|Na wyłączność|Apartamentowiec|09.04.2024|09.04.2024|morizon-651-1|147|25|1||Nie||2023|Bardzo dobry|Miejskie||||||||
Opis nieruchomości|2 350 zł|Gdańsk M., |Gdańsk, | • 2 pokoje|Do wprowadzenia|35 m²|250 cm|1/3|3|1|Aneks kuchenny - połączony z salonem||Tak|PCV|||Wtórny|||Blok|27.03.2024|19.04.2024|morizon-WST-MW-605-2|222|25|||||2019||C.O. miejskie||||||||
"Mieszkanie 3 Pokojowe | Balkon | Garaż - Przymorze | Marina Primore"|3 600 zł|Gdańsk, |Przymorze| • 3 pokoje|Bardzo dobry|58 m²||5/7|7||Aneks kuchenny||||||Wtórny|Własność|||01.03.2024|08.03.2024|morizon-22942|740|25|1||||2010||||||||||
Komfortowy apartament w centrum Gdańska|4 000 zł|Gdańsk, |Stara Stocznia| • 2 pokoje||46,60 m²||5/6|6|1|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|27.10.2023|05.04.2024|morizon-EC411297|277|25|||||2018||Co Miejskie|08.11.2023||1|||||
2 pokoje,z balkonem, miejsce parkingowe w cenie|3 000 zł|Gdańsk, |Lawendowe Wzgórze| • 2 pokoje|BARDZO WYSOKI STANDARD|40 m²||4/4|4||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|NISKI BLOK|19.01.2024|22.04.2024|morizon-8776/1621/OMW|376|25|1||||2019||C.O. Z SIECI MIEJSKIEJ|23.01.2024|||||||
Gdańsk - studio w samym centrum|2 500 zł|Gdańsk, |Stare Miasto, | • 1 pokój|Bardzo dobry|24 m²||1/4|4||Aneks|Tak||PCV|1000||Wtórny|Inny|Na wyłączność|Inny|09.10.2023|10.04.2024|morizon-180|576|25|||||||Inne|05.03.2024|Inny||||||
Bezpośrednio wynajmę słoneczne 2 pokojowe na Zaspie. Umeblowane i wyposażone|2 985 zł|Gdańsk, |Zaspa, | • 2 pokoje||40 m²||3/4|4|||Tak|Nie||||Wtórny|Własność||Blok|28.02.2023|23.02.2024|morizon-2-14|3 223|25|1||||2022|Bardzo dobry|Miejskie|01.10.2023|Inna|1|||||
Bezpośrednio wynajmę 1 pokojowe. Słoneczne. Nowe meble i sprzęty AGD|2 422 zł|Gdańsk, |Zaspa, | • 1 pokój||25 m²||3/4|4||Aneks|Tak|Nie||||Wtórny|Własność||Blok|16.02.2022|01.03.2024|morizon-2-12|2 719|25|1||||2022|Po remoncie||22.08.2023|Inna|1|3,90 m²||||
Apartament w stylu skandynawskim, 250m od morza|3 600 zł|Gdańsk, |Brzeźno, | • 2 pokoje|Do wprowadzenia|47 m²||3/4|4||||Tak|Nowe PCV|||Wtórny|||Apartamentowiec|19.04.2024|19.04.2024|morizon-828118|64|19|||||2018||Miejskie||||||||
wynajmę mieszkanie|2 300 zł|Gdańsk, |Wrzeszcz, | • 2 pokoje|Do wprowadzenia|50 m²||1/3|3||||Tak|Nowe PCV|||Wtórny|||Blok|25.03.2024|25.03.2024|morizon-827858|590|19|||||1960||Miejskie||||||||
***3 pokoje/Gdańsk Morena/Nowe budownictwo***|3 800 zł|Gdańsk, |Ferdynanda Magellana| • 3 pokoje||55 m²|||||||||||Wtórny||||16.03.2024|22.04.2024|morizon-93/5952/OMW|317|8|||||||||||||||
Mieszkanie - Gdańsk Jasień|2 500 zł|Gdańsk, |Jasień, | • 2 pokoje||37,21 m²||5/6|6||Półotwarta||Tak||||Wtórny|Własność|Na wyłączność||01.11.2023|12.04.2024|morizon-MO04036|605|6|1||Nie||2021|Bardzo dobry|C.o. miejskie|01.03.2024|||||||
Nowoczesne, 2 pokoje z halą garażową|3 500 zł|Gdańsk, |Aniołki, | • 2 pokoje||45,09 m²||3/5|5||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|05.04.2024|11.04.2024|morizon-339640|124|5|||||||Co Miejskie|08.04.2024|||||||
