|Nazwa|Cena|Miasto|Dzielnica_N|Dzielnica_Oryg|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji|Typ oferty|Inwestycja|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
2887|Opis nieruchomości|1199000.0|Gdańsk|Orunia|Orunia Górna, | 5||117.9||03-Apr|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|06.02.2024|06.02.2024|morizon-PH261517|195|0|||||||Co Miejskie|||||||||Sprzedaży|||||
2888|Mieszkanie z ogrodem i garażem|1199000.0|Gdańsk|Siedlce|Siedlce, | 3||78.8||01-Apr|||||||||Wtórny|||Kamienica|10.07.2023|15.04.2024|morizon-NN580743|184|0|||||1932.0||Gazowe|07.07.2023|Cegła|||||||Sprzedaży|||||
2889|Apartament w stanie deweloperskim w sercu miasta|1217000.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 4||84.0||05-May||3.0|||Tak||||Wtórny|||Apartamentowiec|13.12.2023|02.04.2024|morizon-PAN340144|439|0|||Nie||2022.0||Co Miejskie||Pustak|||||||Sprzedaży|||||
2890|3 POKOJE Z OGRÓDKIEM|1279653.0|Gdańsk|Oliwa|Oliwa, | 3||64.3||01-Apr|||||||||Wtórny||||19.03.2024|16.03.2024|morizon-HEX781032|43|0||||||||||||||||Sprzedaży|||||
2891|USTAWNE 3 POKOJE W OLIWIE|1287564.0|Gdańsk|Oliwa|Oliwa, | 3||61.31||01-Mar|||||||||Wtórny||||19.03.2024|16.03.2024|morizon-HEX441970|64|0||||||||||||||||Sprzedaży|||||
2892|Stylowe 3 pokoje, blisko centrum, wysoki standard|1299000.0|Gdańsk|Śródmieście|Śródmieście, | 3||60.2||02-Mar||2.0|||Tak||||Wtórny|||Blok Mieszkalny|17.01.2024|04.03.2024|morizon-WE163838|204|0|||Tak||2019.0||Co Miejskie|||||||||Sprzedaży|||||
2893|Gdańsk Oliwa! Apartament 2 pokoje blisko lasu|1335690.0|Gdańsk|Oliwa|Oliwa, | 2||57.1||01-Apr|||||||||Pierwotny|||Apartamentowiec|09.01.2024|10.04.2024|morizon-DH311116|78|0|||||2022.0|||23.03.2023||||||||Sprzedaży|||||
2894|Blisko centrum Gdańska|1490000.0|Gdańsk|Siedlce|Na Zboczu| 5||127.1||01-Apr||4.0|||||||Wtórny||Na wyłączność|Kamienica|06.02.2024|14.02.2024|morizon-436461|124|0||||||||||2.0||||||Sprzedaży|||||
2895|Nowoczesna inwestycja w wyjątkowej lokalizacji|1536833.0|Gdańsk|Oliwa|Oliwa, | 3||72.39||03-Mar||2.0|||Tak||||Pierwotny|||Apartamentowiec|02.02.2024|02.02.2024|morizon-DH604561|101|0|||||2024.0|||31.01.2024||||||||Sprzedaży|||||
2896|Stara Oliwa piękne mieszkanie w wyjątkowym miejscu|1869000.0|Gdańsk|Oliwa|Oliwa, | 2||65.0||01-Feb||1.0|||Nie||||Wtórny|||Kamienica|21.02.2022|04.04.2024|morizon-PAN460306|2 190|0|||Nie||1906.0||Elektryczne||Cegła|||||||Sprzedaży|||||
2897|Wyjątkowy apartament przy Marinie 3 pok. Szafarnia|1980000.0|Gdańsk|Śródmieście|Śródmieście, | 3||76.5||01-May|||||Tak||||Wtórny|||Apartamentowiec|07.02.2024|11.03.2024|morizon-PAN517530|232|0|||Nie||2008.0||Co Miejskie||YTong|||||||Sprzedaży|||||
2898|Apartament z pięknym widokiem w Quattro Towers|2149000.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 3||133.0||Dec-16||2.0|||Tak||||Wtórny|||Apartamentowiec|24.10.2023|12.03.2024|morizon-DH382347|305|0|||||2015.0||Co Miejskie|01.09.2023|YTong|1.0||||||Sprzedaży|||||
2899|Dawna Poczta, wyjątkowe mieszkanie|2199000.0|Gdańsk|Wrzeszcz|Wrzeszcz Dolny, | 4||108.98||02-Feb||3.0|||||||Wtórny||||08.03.2024|08.03.2024|morizon-HEX881230|118|0|||||2021.0|||||||||||Sprzedaży|||||
2900|4 - POKOJOWY APARTAMENT W IDEALNEJ LOKALIZACJI|2418194.0|Gdańsk|Oliwa|Oliwa, | 4||106.08||01-Apr|||||||||Wtórny||||19.03.2024|16.03.2024|morizon-HEX440650|65|0||||||||||||||||Sprzedaży|||||
2901|KOMFORTOWY APARTAMENT W OLIWIE|3266777.0|Gdańsk|Oliwa|Oliwa, | 5||128.08||02-Mar|||||||||Wtórny||||18.03.2024|16.03.2024|morizon-HEX539238|66|0||||||||||||||||Sprzedaży|||||
2902|Kawalerka - Jasień|390000.0|Gdańsk|Jasień|Jasień, | 1 pokój||30.26||02-May|||||||||Wtórny||Na wyłączność||21.02.2024|02.04.2024|morizon-HEX659203|197|0|||||2024.0|||||||||||Sprzedaży|||||
2903|Kawalerka/Blisko Śródmieścia|399000.0|Gdańsk|Siedlce|Siedlce, | 1 pokój||30.94||09-Oct||1.0|||||||Wtórny|||Blok Mieszkalny|28.02.2024|20.04.2024|morizon-784341|153|0|||||1977.0||Co Własne|28.02.2024||1.0||||||Sprzedaży|||||
2904|Apartamenty inwestycyjne w sercu Gdańska|399000.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój||25.4|260 cm|03-Apr|||Aneks|Tak|Tak||||Pierwotny|Własność||Apartamentowiec|12.11.2023|25.03.2024|morizon-47|900|0|1.0|4,50 m²|Nie||2024.0|Rozpoczęta budowa|Miejskie|31.12.2024|Zróżnicowany|1.0|3,40 m²|||||Sprzedaży|||||
2905|Gotowe 2 pokoje|434928.0|Gdańsk|Zakoniczyn|Zakoniczyn, | 2||41.82||02-Apr||1.0|||||||Pierwotny||Na wyłączność||27.03.2024|27.03.2024|morizon-HEX574743215|70|0|||||2024.0|||27.03.2024||||||||Sprzedaży|||||
2906|Mieszkanie gotowe do zamieszkania lub wynajmu|435000.0|Gdańsk|Orunia|Orunia, | 2||36.3||01-Apr||2.0|||||||Wtórny||Na wyłączność|Kamienica|27.02.2024|12.03.2024|morizon-MA340870|302|0|||||||Elektryczne|||||||||Sprzedaży|||||
