|Nazwa|Cena|Miasto|Dzielnica_N|Dzielnica_Oryg|Pokoje|Stan nieruchomości|Pow. całkowita|Wysokość wnętrza|Piętro|Liczba pięter|Liczba sypialni|Typ kuchni|łazienka razem z WC|Balkon|Stolarka okienna|Depozyt za wynajem|Dodatkowe koszty|Rynek|Forma własności|Rodzaj umowy|Typ budynku|Data dodania|Aktualizacja|Numer ogłoszenia|Liczba odsłon|Liczba Punktów Podbić|Liczba łazienek|Pow. balkonu|Taras|Pow. loggii|Rok budowy|Stan budynku|Ogrzewanie|Dostępne od|Materiał budowlany|Liczba poziomów mieszkania|Pow. łazienki|Pow. tarasu|Pow. ogródka|Pow. użytkowa|Cena do negocjacji|Typ oferty|Inwestycja|Typ nieruchomości|Typ domu|Lokalizacja garażu|Pow. działki
0|Opis nieruchomości|2500.0|Gdańsk|Gdańsk|Gdańsk, | 2|Bardzo dobry|41.0|255 cm|03-Mar||1.0|Aneks kuchenny - połączony z salonem|Tak|Tak|PCV|3000.0|500.0|Wtórny|Jeden właściciel|Na wyłączność|Blok|02.04.2024|19.04.2024|morizon-WST-MW-606-2|150|102||||||||||||||||Najmu|||||
1|PRZYTULNE 2 POK. SUPER LOKALIZACJA, OSIEDLE \'ORO\'|3500.0|Gdańsk|Oliwa|Oliwa, | 2||40.0||04-Jul|||Półotwarta||Nie||||Wtórny|Własność|||18.04.2024|17.04.2024|morizon-IF04224|84|101|1.0|6 m²|Nie|6 m²|2021.0|Wysoki standard|C.o. miejskie|||||||||Najmu|||||
2|APARTAMENT salon + 2 sypialnie CHMIELNA 73 WYNAJMĘ|8500.0|Gdańsk|Śródmieście|Chmielna| 3|Wysoki standard|75.0||02-Jun|||Aneks|Tak|Tak||||Wtórny|||Apartamentowiec|04.04.2024|04.04.2024|morizon-gratka-34171879|128|100||||||||05.04.2024||||||||Najmu|||||
3|Apartament salon + 2 sypialnie ul. Sadowa 25 WYNAJMĘ|4800.0|Gdańsk|Śródmieście|Sadowa| 3|Wysoki standard|69.76||01-Apr|||Aneks|Nie|Tak||||Wtórny|||Apartamentowiec|23.02.2024|25.03.2024|morizon-gratka-33461237|493|100|||||2022.0|||23.02.2024|Inny|||||||Najmu|||||
4|mieszkanie 3 pokojowe 64m.kw. Wiszące Ogrody, Gdańsk, ul.Przytulna|3200.0|Gdańsk|Jasień|Przytulna 24| 3||63.7||02-Apr|||Aneks|Nie|Tak||||Wtórny|||Blok|15.04.2024|15.04.2024|morizon-gratka-34289265|99|50||||||||15.04.2024||||||||Najmu|||||
5|NOWE mieszkanie 3 pokojowe 54m2, Gdańsk Jasień, od zaraz wynajmę|3300.0|Gdańsk|Jasień|Jasień, | 3|Wysoki standard|54.0||01-Mar|||Aneks|Tak|Tak||||Wtórny|||Blok|17.03.2024|17.04.2024|morizon-gratka-33803631|350|50|||||2024.0|||17.03.2024|Silikat|||||||Najmu|||||
6|Wyjątkowe mieszkanie na ekskluzywnym osiedlu, dwa miejsca parkingowe|9000.0|Gdańsk|Oliwa|Oliwa, | 5|Wysoki standard|110.0||02-Mar|||Aneks|Tak|||||Wtórny|||Apartamentowiec|22.03.2024|22.04.2024|morizon-gratka-33906967|207|50|||Tak||2011.0|||01.08.2024||||||||Najmu|||||
7|NOWE 2-pokojowe mieszkanie GDAŃSK SZCZĘŚLIWA|2800.0|Gdańsk|Jasień|Jasień, | 2|Wysoki standard|43.68||04-Apr|||Aneks|Nie|Tak||||Wtórny|||Blok|20.03.2024|20.04.2024|morizon-gratka-33861057|322|50|||||2023.0|||20.03.2024|Beton|||||||Najmu|||||
8|Kawalerka na wynajem Gdańsk|2100.0|Gdańsk|Gdańsk|| 1 pokój|Wysoki standard|35.0||02-Mar||||Tak|||||Wtórny|||Apartamentowiec|19.03.2024|19.04.2024|morizon-gratka-18422941|481|50|||||2010.0|||28.02.2022|Pustak|||||||Najmu|||||
9|Kawalerka w Sródmieściu Gdańska|1999.0|Gdańsk|Śródmieście|Łagiewniki| 1 pokój|Wysoki standard|40.0||01-Apr||||Tak|||||Wtórny|||Blok|21.03.2024|21.04.2024|morizon-gratka-33888497|188|50||||||||06.04.2024||||||||Najmu|||||
10|Kawalerka w centrum Gdańska|2500.0|Gdańsk|Śródmieście|Śródmieście, | 2||30.0||04-Apr|||||||||Wtórny|||Kamienica|19.04.2024|19.04.2024|morizon-gratka-34341033|52|50||||||||||||||||Najmu|||||
11|Nowe, wyposażone kawalerki, wysoki standard, k/SKM|2850.0|Gdańsk|Przymorze|Przymorze, | 1 pokój||27.38||01-May|||Półotwarta||Nie||||Wtórny|Własność|Na wyłączność||27.01.2024|22.03.2024|morizon-RR02057|566|35|1.0||Nie||2022.0|Bardzo dobry|C.o. miejskie|||||||||Najmu|||||
12|Kawalerka z balkonem w super lokalizacji-Garnizon|2800.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 1 pokój||26.0||02-May|||Półotwarta||Tak||||Wtórny|Własność|||10.02.2024|13.02.2024|morizon-RR02070|713|35|1.0||Nie||2019.0|Bardzo dobry|C.o. miejskie|||||||||Najmu|||||
13|Słoneczne 2 pokoje! Balkon! Szlaban! Chełm|2300.0|Gdańsk|Chełm|Nieborowska| 2|WYSOKI STANDARD|46.9|265 cm|03-Mar|||ODDZIELNA||Tak||||Wtórny||Na wyłączność|NISKI BLOK|03.02.2024|22.04.2024|morizon-8809/1621/OMW|581|27|1.0||||2001.0||C.O. Z SIECI MIEJSKIEJ||YTONG|||||||Najmu|||||
14|3 pokoje po generalnym remoncie. Blisko centrum|3500.0|Gdańsk|Siedlce|Siedlce, | 3||56.12||09-Oct||2.0|||Tak||||Wtórny||Na wyłączność|Wieżowiec|01.12.2023|16.04.2024|morizon-TC765669|282|27|||||||Co Miejskie||Wielka płyta|1.0||||||Najmu|||||
15|Jasień 2-pokojowe z ogródkiem i parkingiem|2200.0|Gdańsk|Jasień|Jasień, | 2|WYSOKI STANDARD|54.0||01-Apr|||ANEKS KUCHENNY||||||Wtórny||Na wyłączność|NISKI BLOK|09.01.2024|14.04.2024|morizon-8739/1621/OMW|828|27|1.0||||2011.0||C.O. Z SIECI MIEJSKIEJ|||||||||Najmu|||||
16|Mieszkanie (54 m 2) dwupokojowe|3800.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 2|Bardzo dobry|54.0|300 cm|05-Jun|||Aneks|Tak|Tak||||Wtórny|Własność|Na wyłączność|Dom wielorodzinny|10.04.2024|10.04.2024|morizon-589414|185|26|||||2022.0|Bardzo dobry|Miejskie|01.05.2024|Beton|1.0||||||Najmu|||||
17|"Centrum Gdańska | do własnej aranżacji"|7500.0|Gdańsk|Śródmieście|Śródmieście, | 3||102.5||06-Jun||2.0|||||||Wtórny||Na wyłączność|Apartamentowiec|20.02.2024|27.03.2024|morizon-848966|481|26|||Tak||2013.0||Co Miejskie|20.02.2024||1.0||||||Najmu|||||
18|"Wysokość pomieszczeń 330 cm | SPA i basen"|9900.0|Gdańsk|Śródmieście|Śródmieście, | 3||71.0||06-Jun||2.0|||Tak||||Wtórny|||Apartamentowiec|28.11.2023|15.04.2024|morizon-248667|730|26|||Tak||2020.0||Co Miejskie|||1.0||||||Najmu|||||
19|Stylowy apartament w centrum Gdańska|5500.0|Gdańsk|Śródmieście|Śródmieście, | 3||59.0||04-May||2.0|||Tak||||Wtórny|||Apartamentowiec|08.04.2024|08.04.2024|morizon-241776|195|25|||||2019.0||Co Miejskie|09.04.2024||1.0||||||Najmu|||||
20|Mieszkanie nad morzem w inwestycji Star Tower|4200.0|Gdańsk|Letnica|Letnica, | 4||56.5||May-16||3.0|||Tak||||Wtórny|||Apartamentowiec|08.04.2024|09.04.2024|morizon-545450|181|25|||Tak||2021.0||Co Miejskie|09.04.2024||1.0||||||Najmu|||||
21|Komfortowe życie na osiedlu COMO|2700.0|Gdańsk|Jasień|Goska| 2||32.94||05-May||1.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|01.04.2024|05.04.2024|morizon-EC395566|280|25|||||2019.0||Co Miejskie|03.04.2024||||||||Najmu|||||
22|Zadbane, klimatyczne mieszkanie z 2 sypialniami, miejscem parkingowym i piwnicą|2800.0|Gdańsk|Jasień|Jasień, | 3|Bardzo dobry|48.15|260 cm|02-Apr|||Aneks|Tak|Tak||||Wtórny|Własność|Na wyłączność|Blok|11.04.2024|19.04.2024|morizon-665-3|180|25|1.0||||2015.0|Bardzo dobry|Miejskie|||||||||Najmu|||||
23|Gdańsk SZAFARNIA 2 pikoje z widokiem na Motławę|4000.0|Gdańsk|Śródmieście|Śródmieście, | 2||59.0||02-Apr|||Półotwarta||Nie||||Wtórny|(Nieznany)|||23.03.2024|19.04.2024|morizon-ML01130|202|25|||Nie||2011.0||C.o. miejskie|||||||||Najmu|||||
24|Mieszkanie - Gdańsk|2700.0|Gdańsk|Gdańsk|Gdańsk, | 3||60.66||02-Apr|||Brak|Nie|Tak||||Wtórny|Własność|Na wyłączność||19.03.2024|06.04.2024|morizon-H006209|590|25|1.0||Nie||2023.0|Bardzo dobry||||||||||Najmu|||||
25|Duży salon z aneksem kuchennym w sercu Wrzeszcza- WOLNE od 01.05-|2700.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 1 pokój|Bardzo dobry|37.0||03-Jul|||Aneks|Tak|Nie||||Wtórny|Własność|Na wyłączność|Apartamentowiec|09.04.2024|09.04.2024|morizon-651-1|147|25|1.0||Nie||2023.0|Bardzo dobry|Miejskie|||||||||Najmu|||||
26|Opis nieruchomości|2350.0|Gdańsk|Gdańsk|Gdańsk, | 2|Do wprowadzenia|35.0|250 cm|01-Mar||1.0|Aneks kuchenny - połączony z salonem||Tak|PCV|||Wtórny|||Blok|27.03.2024|19.04.2024|morizon-WST-MW-605-2|222|25|||||2019.0||C.O. miejskie|||||||||Najmu|||||
27|"Mieszkanie 3 Pokojowe | Balkon | Garaż - Przymorze | Marina Primore"|3600.0|Gdańsk|Przymorze|Przymorze| 3|Bardzo dobry|58.0||05-Jul|||Aneks kuchenny||||||Wtórny|Własność|||01.03.2024|08.03.2024|morizon-22942|740|25|1.0||||2010.0|||||||||||Najmu|||||
28|Komfortowy apartament w centrum Gdańska|4000.0|Gdańsk|Śródmieście|Stara Stocznia| 2||46.6||05-Jun||1.0|||Tak||||Wtórny||Na wyłączność|Apartamentowiec|27.10.2023|05.04.2024|morizon-EC411297|277|25|||||2018.0||Co Miejskie|08.11.2023||1.0||||||Najmu|||||
29|2 pokoje,z balkonem, miejsce parkingowe w cenie|3000.0|Gdańsk|Jasień|Lawendowe Wzgórze| 2|BARDZO WYSOKI STANDARD|40.0||04-Apr|||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|NISKI BLOK|19.01.2024|22.04.2024|morizon-8776/1621/OMW|376|25|1.0||||2019.0||C.O. Z SIECI MIEJSKIEJ|23.01.2024||||||||Najmu|||||
30|Gdańsk - studio w samym centrum|2500.0|Gdańsk|Śródmieście|Stare Miasto, | 1 pokój|Bardzo dobry|24.0||01-Apr|||Aneks|Tak||PCV|1000.0||Wtórny|Inny|Na wyłączność|Inny|09.10.2023|10.04.2024|morizon-180|576|25|||||||Inne|05.03.2024|Inny|||||||Najmu|||||
31|Bezpośrednio wynajmę słoneczne 2 pokojowe na Zaspie. Umeblowane i wyposażone|2985.0|Gdańsk|Zaspa|Zaspa, | 2||40.0||03-Apr||||Tak|Nie||||Wtórny|Własność||Blok|28.02.2023|23.02.2024|morizon-2-14|3 223|25|1.0||||2022.0|Bardzo dobry|Miejskie|01.10.2023|Inna|1.0||||||Najmu|||||
32|Bezpośrednio wynajmę 1 pokojowe. Słoneczne. Nowe meble i sprzęty AGD|2422.0|Gdańsk|Zaspa|Zaspa, | 1 pokój||25.0||03-Apr|||Aneks|Tak|Nie||||Wtórny|Własność||Blok|16.02.2022|01.03.2024|morizon-2-12|2 719|25|1.0||||2022.0|Po remoncie||22.08.2023|Inna|1.0|3,90 m²|||||Najmu|||||
33|Apartament w stylu skandynawskim, 250m od morza|3600.0|Gdańsk|Brzeźno|Brzeźno, | 2|Do wprowadzenia|47.0||03-Apr|||||Tak|Nowe PCV|||Wtórny|||Apartamentowiec|19.04.2024|19.04.2024|morizon-828118|64|19|||||2018.0||Miejskie|||||||||Najmu|||||
34|wynajmę mieszkanie|2300.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 2|Do wprowadzenia|50.0||01-Mar|||||Tak|Nowe PCV|||Wtórny|||Blok|25.03.2024|25.03.2024|morizon-827858|590|19|||||1960.0||Miejskie|||||||||Najmu|||||
35|***3 pokoje/Gdańsk Morena/Nowe budownictwo***|3800.0|Gdańsk|Piecki-Migowo|Ferdynanda Magellana| 3||55.0||01-Apr|||||||||Wtórny||||16.03.2024|22.04.2024|morizon-93/5952/OMW|317|8||||||||||||||||Najmu|||||
36|Mieszkanie - Gdańsk Jasień|2500.0|Gdańsk|Jasień|Jasień, | 2||37.21||05-Jun|||Półotwarta||Tak||||Wtórny|Własność|Na wyłączność||01.11.2023|12.04.2024|morizon-MO04036|605|6|1.0||Nie||2021.0|Bardzo dobry|C.o. miejskie|01.03.2024||||||||Najmu|||||
37|Nowoczesne, 2 pokoje z halą garażową|3500.0|Gdańsk|Aniołki|Aniołki, | 2||45.09||03-May|||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|05.04.2024|11.04.2024|morizon-339640|124|5|||||||Co Miejskie|08.04.2024||||||||Najmu|||||
38|Przestronne 4-pok. mieszkanie z balkonem Przymorze|3600.0|Gdańsk|Przymorze|Przymorze, | 4|DOBRY|77.0||06-Oct|||ODDZIELNA||Tak||||Wtórny|SPÓŁDZIELCZE WŁASNOŚCIOWE|Na wyłączność|WIEŻOWIEC|20.03.2024|16.04.2024|morizon-48779/2089/OMW|247|5|1.0||||1975.0||C.O. Z SIECI MIEJSKIEJ|20.03.2024||||||||Najmu|||||
39|Stylowe, 2-pok. mieszkanie, wysoki sufit + balkon|2200.0|Gdańsk|Ujeścisko-Łostowice|Łostowice, | 2||38.0||04-Apr|||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|NISKI BLOK|18.02.2024|12.04.2024|morizon-45254/2089/OMW|318|5|1.0||||2022.0||C.O. Z SIECI MIEJSKIEJ|08.03.2024||||||||Najmu|||||
40|Mieszkanie przy Garnizonie, miejsce parkingowe|2600.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 2|DOBRY|49.0||01-Mar|||Z OKNEM||Tak||||Wtórny|WŁASNOŚĆ||KAMIENICA|10.01.2024|11.02.2024|morizon-188/3071/OMW|587|5|1.0||||1960.0||C.O. Z SIECI MIEJSKIEJ|01.02.2024|CEGŁA|||||||Najmu|||||
41|3 pokoje, doskonała lokalizacja, Gdańsk Morena|3200.0|Gdańsk|Piecki-Migowo|Morena, | 3||58.25||09-Oct||2.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|17.04.2024|17.04.2024|morizon-MG253977|38|4|||||1980.0||Co Miejskie|06.05.2024||||||||Najmu|||||
42|Kawalerka / Blisko Tramwaj / Wyposażone|2000.0|Gdańsk|Jasień|Jasień, | 1 pokój||30.32||05-May|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|13.03.2024|17.04.2024|morizon-MG543675|312|4|||||2014.0|||||||||||Najmu|||||
43|Stylowa kawalerka, balkon, garaż - Nowa Letnica|2300.0|Gdańsk|Letnica|Letnica, | 1 pokój|BARDZO WYSOKI STANDARD|26.84||01-Apr|||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|WIEŻOWIEC|24.11.2023|18.04.2024|morizon-48128/2089/OMW|323|4|1.0||||2022.0||C.O. Z SIECI MIEJSKIEJ|01.04.2024||||||||Najmu|||||
44|Jasień 2-pokoje z widokiem na jezioro + parking|2700.0|Gdańsk|Jasień|Jasień, | 2|BARDZO WYSOKI STANDARD|35.0|260 cm|01-Apr|||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|14.04.2024|14.04.2024|morizon-8946/1621/OMW|103|2|1.0||||2024.0||C.O. Z SIECI MIEJSKIEJ|||||||||Najmu|||||
45|Niepołomicka 26,nowe 2pok z halą i piwnicą|2500.0|Gdańsk|Chełm|Niepołomicka| 2|BARDZO WYSOKI STANDARD|41.0||03-Apr|||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|NISKI BLOK|15.04.2024|22.04.2024|morizon-8951/1621/OMW|106|2|||||2022.0||C.O. Z SIECI MIEJSKIEJ|15.04.2024||||||||Najmu|||||
46|Jasień 2-pokoje+garaż. Dla singla lub pary od 1.05|2400.0|Gdańsk|Jasień|Jasień, | 2|BARDZO WYSOKI STANDARD|42.0||01-Apr|||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|03.04.2024|22.04.2024|morizon-7941/1621/OMW|259|2|1.0||||2021.0||C.O. Z SIECI MIEJSKIEJ|||||||||Najmu|||||
47|Dla singla lub pary - Zaspa|2600.0|Gdańsk|Zaspa|Zaspa, | 2||36.0||03-Aug|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|18.04.2024|18.04.2024|morizon-703758|39|2|||||1970.0||Co Własne|||||||||Najmu|||||
48|3-pokoje Suchanino Po remoncie / od 1 maja|2800.0|Gdańsk|Suchanino|Suchanino, | 3|WYSOKI STANDARD|56.0||01-Oct|||ODDZIELNA||Tak||||Wtórny|SPÓŁDZIELCZE WŁASNOŚCIOWE|Na wyłączność|WIEŻOWIEC|18.03.2024|14.04.2024|morizon-8650/1621/OMW|284|2|1.0||||1978.0||C.O. Z SIECI MIEJSKIEJ||WIELKA PŁYTA|||||||Najmu|||||
49|Wyposażona kawalerka Przymorze/osobna kuchnia|1850.0|Gdańsk|Przymorze|Jagiellońska| 1 pokój||20.0||04-Oct|||||||||Wtórny||||15.04.2024|15.04.2024|morizon-8607/1621/OMW|223|2|||||1977.0|||||||||||Najmu|||||
50|ul. Leskiego 2-pokojowe z piwnicą i parkingiem|2000.0|Gdańsk|Jasień|Jasień, | 2|WYSOKI STANDARD|42.0|260 cm|03-Apr|||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|NISKI BLOK|22.03.2024|19.04.2024|morizon-8905/1621/OMW|392|2|1.0||||2013.0||C.O. Z SIECI MIEJSKIEJ|||||||||Najmu|||||
51|Przymorze/2 pok+kuchnia z oknem/garderoba/tramwaj|2300.0|Gdańsk|Przymorze|Przymorze, | 2||38.0||04-Oct|||||||||Wtórny||||15.04.2024|15.04.2024|morizon-8035/1621/OMW|249|2|||||1988.0|||||||||||Najmu|||||
52|Kłoczkowskiego,3 pokoje z parkingiem oraz piwnicą|2500.0|Gdańsk|Chełm|Wacława Kłoczkowskiego| 3|WYSOKI STANDARD|57.0||02-Apr|||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|NISKI BLOK|08.04.2024|22.04.2024|morizon-8933/1621/OMW|234|2|||||2006.0||C.O. Z SIECI MIEJSKIEJ|05.04.2024||||||||Najmu|||||
53|Dla singla lub pary - duża kawalerka z kominkiem|1800.0|Gdańsk|Ujeścisko-Łostowice|Ujeścisko, | 1 pokój||40.0||Suterena|2||||||||Wtórny||Na wyłączność|Blok Mieszkalny|14.04.2024|14.04.2024|morizon-639677|141|2|||||||Co Własne||Pustak|||||||Najmu|||||
54|ul. Cedrowa 2-pokoje +hala garażowa +piwnica|2300.0|Gdańsk|Ujeścisko-Łostowice|Ujeścisko-Łostowice, | 2|BARDZO WYSOKI STANDARD|38.62|260 cm|02-Mar|||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|23.02.2024|16.04.2024|morizon-8851/1621/OMW|499|2|1.0||||2017.0||C.O. Z SIECI MIEJSKIEJ|||||||||Najmu|||||
55|Starogardzka 65, 2 pokoje z parkingiem i piwnicą|1900.0|Gdańsk|Chełm|Starogardzka| 2|BARDZO WYSOKI STANDARD|35.0||03-Apr|||ANEKS KUCHENNY||Tak||||Wtórny||Na wyłączność|NISKI BLOK|11.03.2024|22.04.2024|morizon-8886/1621/OMW|756|2|||||2015.0||C.O. Z SIECI MIEJSKIEJ|11.03.2024||||||||Najmu|||||
56|*2pokoje/Gdańsk Śródmieście/Obok Wyspa Spichrzów*|2300.0|Gdańsk|Śródmieście|Śródmieście| 2|DOBRY|46.3||02-Apr|||||||||Wtórny|||NISKI BLOK|19.04.2024|19.04.2024|morizon-96/5952/OMW|63|2|||||1970.0|||01.05.2024||||||||Najmu|||||
57|Lawendowe Wzgórze 2-pokoje + parking w hali|2200.0|Gdańsk|Jasień|Jasień, | 2|WYSOKI STANDARD|36.74||01-Jun|||||Tak||||Wtórny||Na wyłączność|BLOK|05.02.2024|22.04.2024|morizon-8804/1621/OMW|640|2|||||2021.0||C.O. Z SIECI MIEJSKIEJ|||||||||Najmu|||||
58|ul. Św Barbary. Kawalerka dla Singla lub pary|2600.0|Gdańsk|Śródmieście|Śródmieście, | 1 pokój||35.0||05-Jun|||||||||Wtórny||Na wyłączność||08.03.2024|14.04.2024|morizon-8372/1621/OMW|324|2|||||2019.0|||||||||||Najmu|||||
59|Gdańsk Oliwa ul. Spacerowa, po remoncie, 2 pok|3000.0|Gdańsk|Oliwa|Oliwa, | 2||63.08||01-Jan|||||||||Wtórny||||04.04.2024|05.04.2024|morizon-8491/1621/OMW|259|2|||||1950.0|||||||||||Najmu|||||
60|Komfortowe mieszkanie 2 pokojowe na wynajem|2600.0|Gdańsk|Jasień|Kartuska| 2||36.0||03-Mar||1.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|27.09.2023|11.04.2024|morizon-ON423247|753|2|||||2020.0||Co Miejskie|25.09.2023||1.0||||||Najmu|||||
61|Nowe budownictwo,ul. Kliniczna,świetna komunikacja|2200.0|Gdańsk|Wrzeszcz|Kliniczna| 1 pokój||26.0||01-Mar|||||Tak||||Wtórny||Na wyłączność|NISKI BLOK|08.03.2024|22.04.2024|morizon-7321/1621/OMW|364|2|||||2021.0|||01.04.2024||||||||Najmu|||||
62|mieszkanie z balkonem od południa|2000.0|Gdańsk|Orunia|Orunia Górna, | 2||37.0||04-Oct|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|17.04.2024|17.04.2024|morizon-PAN294152|74|1|||Nie||1974.0||Co Miejskie||Wielka płyta|||||||Najmu|||||
63|50m2 - 2 pokoje, widok na las OD ZARAZ|2600.0|Gdańsk|Brętowo|Niedźwiednik, | 2|DOBRY|50.0||01-Apr|||ODDZIELNA||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|WIEŻOWIEC|15.04.2024|18.04.2024|morizon-49025/2089/OMW|81|1|||||||C.O. Z SIECI MIEJSKIEJ|15.04.2024||||||||Najmu|||||
64|"2 pokoje | Komórka oraz miejsce parkingowe w cenie"|3000.0|Gdańsk|Piecki-Migowo|Morena, | 2||41.87||07-Aug|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|13.04.2024|18.04.2024|morizon-PAN684797|78|1|||||2016.0||Co Miejskie||YTong|||||||Najmu|||||
65|Mieszkanie - Gdańsk Śródmieście|4700.0|Gdańsk|Śródmieście|Główne Miasto, | 3||74.0||05-May||2.0|||Nie||||Wtórny|||Apartamentowiec|09.04.2024|20.04.2024|morizon-423280|134|1|||Tak||2010.0||Co Miejskie|||1.0||||||Najmu|||||
66|3 pokoje z balkonem Chełm, dostępne od zaraz|2500.0|Gdańsk|Chełm|Ujeścisko, | 3|WYSOKI STANDARD|59.0||01-Apr|||ANEKS KUCHENNY||Tak||||Wtórny|WŁASNOŚĆ|Na wyłączność|NISKI BLOK|15.04.2024|22.04.2024|morizon-49024/2089/OMW|135|1|||||||C.O. Z SIECI MIEJSKIEJ|15.04.2024||||||||Najmu|||||
67|Mieszkanie 3 pokojowe + miejsce w hali garażowej|3800.0|Gdańsk|Jasień|Jasień, | 3||68.71||02-Mar|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|20.03.2024|15.04.2024|morizon-PAN873254|231|1|||||2012.0||Co Miejskie|15.04.2024|YTong|||||||Najmu|||||
68|Klimatyczne mieszkanie w kamienicy|4500.0|Gdańsk|Śródmieście|Śródmieście, | 3||63.0||01-Apr||2.0|||Tak||||Wtórny||Na wyłączność|Kamienica|21.03.2024|15.04.2024|morizon-386607|203|1|||||1920.0||Gazowe|12.03.2024||1.0||||||Najmu|||||
69|Garnizon - nowe mieszkanie z miejscem postojowym|4000.0|Gdańsk|Wrzeszcz|Wrzeszcz Górny, | 2||38.0||02-Jun|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|18.03.2024|19.04.2024|morizon-571642|226|1|||||2023.0||Co Miejskie|18.03.2024||1.0||||||Najmu|||||
70|Stylowy apartament w prestiżowej lokalizacji|5000.0|Gdańsk|Śródmieście|Śródmieście, | 2||51.0||01-Apr||1.0|||||||Wtórny|||Apartamentowiec|04.04.2024|04.04.2024|morizon-663576|123|1|||Tak||2018.0||Co Miejskie|03.04.2024||1.0||||||Najmu|||||
71|Funkcjonalne mieszkanie dla pary|2850.0|Gdańsk|Letnica|Letnica, | 2||38.48||Oct-17|||||Tak||||Wtórny||Na wyłączność|Apartamentowiec|06.03.2024|18.04.2024|morizon-PAN918884|217|1|||Nie||||Co Miejskie||YTong|||||||Najmu|||||
72|"Mieszkanie idealne dla rodziny | Osiedle Focha"|4500.0|Gdańsk|Aniołki|Aniołki, | 4||84.0||02-Apr|||||||||Wtórny|||Blok Mieszkalny|18.03.2024|16.04.2024|morizon-342234|294|1|||||2001.0||Co Miejskie|22.03.2024||1.0||||||Najmu|||||
73|W pełni wyposażone mieszkanie nad morzem|4500.0|Gdańsk|Letnica|Letnica, | 3||68.07||04-May||2.0|||Tak||||Wtórny|||Blok Mieszkalny|21.03.2024|17.04.2024|morizon-719696|186|1|||||2022.0||Co Miejskie|01.04.2024||1.0||||||Najmu|||||
74|Nowoczesne mieszkanie w centrum Gdańska|4200.0|Gdańsk|Śródmieście|Śródmieście, | 3||54.0||Jun-17|||||Tak||||Wtórny|||Wieżowiec|27.02.2024|20.04.2024|morizon-786985|245|1|||||2018.0||Co Miejskie|02.02.2024||||||||Najmu|||||
75|"Gdańsk Zaspa | Inwestycja Impuls | 2 osobne pokoje"|3300.0|Gdańsk|Zaspa|Zaspa, | 2||44.0||02-Apr||1.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|21.02.2024|21.04.2024|morizon-300654|284|1|||||2020.0||Co Miejskie|01.03.2024||1.0||||||Najmu|||||
76|Garnizon- nowe 2 pokoje|3500.0|Gdańsk|Wrzeszcz|Wrzeszcz, | 2||45.0||02-Apr|||||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|30.03.2024|16.04.2024|morizon-PAN520454|160|1|||||||Co Miejskie||Pustak|||||||Najmu|||||
77|Nadmorski apartament z dużym tarasem|6000.0|Gdańsk|Jelitkowo|Jelitkowo, | 3||64.3||02-Mar||2.0|||||||Wtórny|||Apartamentowiec|03.03.2024|17.04.2024|morizon-712073|274|1|||Tak||2013.0||Co Miejskie|||1.0||||||Najmu|||||
78|Dwa pokoje z balkonem i dostępem do siłowni|2850.0|Gdańsk|Piecki-Migowo|Piecki-Migowo, | 2||49.0||01-Mar||1.0|||Tak||||Wtórny||Na wyłączność|Blok Mieszkalny|01.03.2024|21.04.2024|morizon-PAN242588|289|1|||||2019.0||Co Miejskie||Silikat|||||||Najmu|||||
